Seed	Name	Perfection	Ship_Hyperdrive_JumpDistance
0	Fragile Stellar Processor	0.6	80 ly
1	Fragile Stellar Processor	0.04	52 ly
2	Threaded Sensory Veil	0.24	62 ly
3	Moistened Bio-Reality Generator	0.06	53 ly
4	Moistened Bio-Reality Generator	0.8	90 ly
5	Gooey Emotal Core	0.16	58 ly
6	Threaded Lobe Actuator	0.02	51 ly
7	Fragile Bio-Reality Generator	0.44	72 ly
8	Clammy Sensory Veil	0.7	85 ly
9	Clammy Emotal Core	0.1	55 ly
10	Gooey Emotal Core	0.04	52 ly
11	Moistened Stellar Processor	0.0	50 ly
12	Moistened Sensory Veil	0.44	72 ly
13	Clammy Lobes	0.16	58 ly
14	Clammy Memory Calculus	0.02	51 ly
15	Moistened Memory Calculus	0.18	59 ly
16	Threaded Lobes	0.84	92 ly
17	Gooey Hive Stem	0.82	91 ly
18	Gooey Cluster Stem	0.58	79 ly
19	Threaded Stellar Processor	0.0	50 ly
20	Clammy Hive Stem	0.92	96 ly
21	Gooey Sensory Veil	0.72	86 ly
22	Moistened Bio-Reality Generator	0.78	89 ly
23	Fragile Bio-Reality Generator	0.06	53 ly
24	Threaded Hive Stem	0.1	55 ly
25	Gooey Memory Calculus	0.1	55 ly
26	Gooey Hive Stem	0.6	80 ly
27	Fragile Cluster Stem	0.02	51 ly
28	Gooey Memory Calculus	0.1	55 ly
29	Gooey Sensory Veil	0.0	50 ly
30	Clammy Sensory Veil	0.18	59 ly
31	Clammy Lobes	0.34	67 ly
32	Fragile Bio-Reality Generator	0.68	84 ly
33	Clammy Memory Calculus	0.6	80 ly
34	Fragile Cluster Stem	0.06	53 ly
35	Fragile Hive Stem	0.26	63 ly
36	Gooey Hive Stem	0.38	69 ly
37	Threaded Lobes	0.94	97 ly
38	Moistened Neural Matrix	0.02	51 ly
39	Fragile Stellar Processor	0.02	51 ly
40	Fragile Bio-Reality Generator	0.54	77 ly
41	Fragile Lobe Actuator	0.6	80 ly
42	Gooey Hive Stem	0.86	93 ly
43	Fragile Lobe Actuator	0.88	94 ly
44	Clammy Cluster Stem	0.82	91 ly
45	Clammy Sensory Veil	0.02	51 ly
46	Fragile Hive Stem	0.18	59 ly
47	Moistened Stellar Processor	0.02	51 ly
48	Gooey Cluster Stem	0.06	53 ly
49	Threaded Bio-Reality Generator	0.04	52 ly
50	Threaded Lobes	0.8	90 ly
51	Moistened Bio-Reality Generator	0.04	52 ly
52	Threaded Sensory Veil	0.04	52 ly
53	Moistened Stellar Processor	0.04	52 ly
54	Moistened Hive Stem	0.02	51 ly
55	Moistened Bio-Reality Generator	0.08	54 ly
56	Moistened Memory Calculus	0.16	58 ly
57	Fragile Lobe Actuator	0.52	76 ly
58	Gooey Lobes	0.46	73 ly
59	Clammy Bio-Reality Generator	0.06	53 ly
60	Clammy Hive Stem	0.66	83 ly
