Seed,Name,Perfection,Ship_Hyperdrive_JumpDistance,Ship_Hyperdrive_JumpsPerCell
0,Tremendous Stellar Processor,0.68,184 ly,
1,Tremendous Stellar Processor,1.0,,+100%
2,Glassy Sensory Veil,1.0,,+100%
3,Beloved Bio-Reality Generator,1.0,,+100%
4,Beloved Bio-Reality Generator,0.24,162 ly,
5,Glorious Emotal Core,1.0,,+100%
6,Glassy Lobe Actuator,1.0,,+100%
7,Tremendous Bio-Reality Generator,0.66,183 ly,
8,Engorged Sensory Veil,0.38,169 ly,
9,Engorged Emotal Core,1.0,,+100%
10,Glorious Emotal Core,1.0,,+100%
11,Beloved Stellar Processor,1.0,,+100%
12,Beloved Sensory Veil,0.04,152 ly,
13,Engorged Lobes,1.0,,+100%
14,Engorged Memory Calculus,1.0,,+100%
15,Beloved Memory Calculus,1.0,,+100%
16,Glassy Lobes,0.06,153 ly,
17,Glorious Hive Stem,0.06,153 ly,
18,Glorious Cluster Stem,0.02,151 ly,
19,Glassy Stellar Processor,1.0,,+100%
20,Engorged Hive Stem,0.16,158 ly,
21,Glorious Sensory Veil,0.1,155 ly,
22,Beloved Bio-Reality Generator,0.18,159 ly,
23,Tremendous Bio-Reality Generator,1.0,,+100%
24,Glassy Hive Stem,1.0,,+100%
25,Glorious Memory Calculus,1.0,,+100%
26,Glorious Hive Stem,0.26,163 ly,
27,Tremendous Cluster Stem,1.0,,+100%
28,Glorious Memory Calculus,1.0,,+100%
29,Glorious Sensory Veil,1.0,,+100%
30,Engorged Sensory Veil,1.0,,+100%
31,Engorged Lobes,0.24,162 ly,
32,Tremendous Bio-Reality Generator,0.46,173 ly,
33,Engorged Memory Calculus,0.6,180 ly,
34,Tremendous Cluster Stem,1.0,,+100%
35,Tremendous Hive Stem,0.4,170 ly,
36,Glorious Hive Stem,0.04,152 ly,
37,Glassy Lobes,0.9,195 ly,
38,Beloved Neural Matrix,1.0,,+100%
39,Tremendous Stellar Processor,1.0,,+100%
40,Tremendous Bio-Reality Generator,0.3,165 ly,
41,Tremendous Lobe Actuator,0.16,158 ly,
42,Glorious Hive Stem,0.04,152 ly,
43,Tremendous Lobe Actuator,0.16,158 ly,
44,Engorged Cluster Stem,0.6,180 ly,
45,Engorged Sensory Veil,1.0,,+100%
46,Tremendous Hive Stem,1.0,,+100%
47,Beloved Stellar Processor,1.0,,+100%
48,Glorious Cluster Stem,1.0,,+100%
49,Glassy Bio-Reality Generator,1.0,,+100%
50,Glassy Lobes,0.34,167 ly,
51,Beloved Bio-Reality Generator,1.0,,+100%
