Seed	Name	Perfection	Ship_Launcher_TakeOffCost
0	Mucilaginous Jelly	0.25	-7%
1	Mucilaginous Jelly	0.0	-6%
2	Soft Clusters	0.0	-6%
3	Fibrous Coils	0.0	-6%
4	Fibrous Coils	0.5	-8%
5	Glutinous Nodules	0.0	-6%
6	Soft Brain Node	0.0	-6%
7	Mucilaginous Coils	0.0	-6%
8	Viscous Clusters	0.25	-7%
9	Viscous Nodules	0.0	-6%
10	Glutinous Nodules	0.0	-6%
11	Fibrous Jelly	0.0	-6%
12	Fibrous Clusters	0.0	-6%
13	Viscous Membrane	0.0	-6%
14	Viscous Lobes	0.0	-6%
15	Fibrous Lobes	0.0	-6%
16	Soft Membrane	0.5	-8%
17	Glutinous Bio-Anomaly	0.5	-8%
18	Glutinous Brain Node	0.0	-6%
19	Soft Jelly	0.0	-6%
20	Viscous Bio-Anomaly	0.75	-9%
21	Glutinous Clusters	0.25	-7%
22	Fibrous Coils	0.5	-8%
23	Mucilaginous Coils	0.0	-6%
24	Soft Bio-Anomaly	0.0	-6%
25	Glutinous Lobes	0.0	-6%
26	Glutinous Bio-Anomaly	0.25	-7%
27	Mucilaginous Brain Node	0.0	-6%
28	Glutinous Lobes	0.0	-6%
29	Glutinous Clusters	0.0	-6%
30	Viscous Clusters	0.0	-6%
31	Viscous Membrane	0.0	-6%
32	Mucilaginous Coils	0.25	-7%
33	Viscous Lobes	0.25	-7%
34	Mucilaginous Brain Node	0.0	-6%
35	Mucilaginous Bio-Anomaly	0.0	-6%
36	Glutinous Bio-Anomaly	0.0	-6%
37	Soft Membrane	1.0	-10%
38	Fibrous Tendril	0.0	-6%
39	Mucilaginous Jelly	0.0	-6%
40	Mucilaginous Coils	0.0	-6%
41	Mucilaginous Brain Node	0.25	-7%
42	Glutinous Bio-Anomaly	0.5	-8%
43	Mucilaginous Brain Node	0.75	-9%
44	Viscous Brain Node	0.5	-8%
45	Viscous Clusters	0.0	-6%
46	Mucilaginous Bio-Anomaly	0.0	-6%
47	Fibrous Jelly	0.0	-6%
48	Glutinous Brain Node	0.0	-6%
49	Soft Coils	0.0	-6%
50	Soft Membrane	0.5	-8%
51	Fibrous Coils	0.0	-6%
52	Soft Clusters	0.0	-6%
53	Fibrous Jelly	0.0	-6%
54	Fibrous Bio-Anomaly	0.0	-6%
55	Fibrous Coils	0.0	-6%
56	Fibrous Lobes	0.0	-6%
57	Mucilaginous Brain Node	0.0	-6%
58	Glutinous Membrane	0.0	-6%
59	Viscous Coils	0.0	-6%
60	Viscous Bio-Anomaly	0.25	-7%
61	Mucilaginous Brain Node	0.0	-6%
62	Mucilaginous Clusters	0.0	-6%
63	Fibrous Tendril	0.0	-6%
64	Fibrous Brain Node	1.0	-10%
65	Soft Clusters	0.0	-6%
66	Glutinous Tendril	0.0	-6%
67	Soft Coils	0.0	-6%
68	Soft Jelly	0.0	-6%
69	Glutinous Coils	0.0	-6%
70	Glutinous Brain Node	0.0	-6%
71	Viscous Lobes	0.0	-6%
72	Glutinous Nodules	0.0	-6%
73	Glutinous Membrane	0.0	-6%
74	Soft Clusters	0.25	-7%
75	Glutinous Brain Node	0.0	-6%
