Seed,Name,Perfection,Ship_Launcher_TakeOffCost
0,Dripping Jelly,1.0,-20%
1,Dripping Jelly,0.75,-19%
2,Prismatic Clusters,1.0,-20%
3,Inverted Coils,0.75,-19%
4,Inverted Coils,1.0,-20%
5,Thinking Nodules,1.0,-20%
6,Prismatic Brain Node,0.5,-18%
7,Dripping Coils,1.0,-20%
8,Invisible Clusters,1.0,-20%
9,Invisible Nodules,0.75,-19%
10,Thinking Nodules,0.5,-18%
11,Inverted Jelly,0.0,-16%
12,Inverted Clusters,1.0,-20%
13,Invisible Membrane,1.0,-20%
14,Invisible Lobes,0.5,-18%
15,Inverted Lobes,1.0,-20%
16,Prismatic Membrane,1.0,-20%
17,Thinking Bio-Anomaly,1.0,-20%
18,Thinking Brain Node,1.0,-20%
19,Prismatic Jelly,0.25,-17%
20,Invisible Bio-Anomaly,1.0,-20%
21,Thinking Clusters,1.0,-20%
22,Inverted Coils,1.0,-20%
23,Dripping Coils,0.75,-19%
24,Prismatic Bio-Anomaly,0.75,-19%
25,Thinking Lobes,0.75,-19%
26,Thinking Bio-Anomaly,1.0,-20%
27,Dripping Brain Node,0.5,-18%
28,Thinking Lobes,0.75,-19%
29,Thinking Clusters,0.25,-17%
30,Invisible Clusters,1.0,-20%
31,Invisible Membrane,1.0,-20%
32,Dripping Coils,1.0,-20%
33,Invisible Lobes,1.0,-20%
34,Dripping Brain Node,0.75,-19%
35,Dripping Bio-Anomaly,1.0,-20%
36,Thinking Bio-Anomaly,1.0,-20%
37,Prismatic Membrane,1.0,-20%
38,Inverted Tendril,0.5,-18%
39,Dripping Jelly,0.5,-18%
40,Dripping Coils,1.0,-20%
41,Dripping Brain Node,1.0,-20%
42,Thinking Bio-Anomaly,1.0,-20%
43,Dripping Brain Node,1.0,-20%
44,Invisible Brain Node,1.0,-20%
45,Invisible Clusters,0.5,-18%
46,Dripping Bio-Anomaly,1.0,-20%
47,Inverted Jelly,0.5,-18%
48,Thinking Brain Node,0.75,-19%
49,Prismatic Coils,0.75,-19%
50,Prismatic Membrane,1.0,-20%
51,Inverted Coils,0.75,-19%
52,Prismatic Clusters,0.75,-19%
53,Inverted Jelly,0.5,-18%
54,Inverted Bio-Anomaly,0.5,-18%
55,Inverted Coils,0.75,-19%
56,Inverted Lobes,1.0,-20%
57,Dripping Brain Node,1.0,-20%
58,Thinking Membrane,1.0,-20%
59,Invisible Coils,0.75,-19%
60,Invisible Bio-Anomaly,1.0,-20%
61,Dripping Brain Node,1.0,-20%
62,Dripping Clusters,1.0,-20%
63,Inverted Tendril,1.0,-20%
64,Inverted Brain Node,1.0,-20%
65,Prismatic Clusters,1.0,-20%
66,Thinking Tendril,1.0,-20%
67,Prismatic Coils,1.0,-20%
68,Prismatic Jelly,1.0,-20%
69,Thinking Coils,1.0,-20%
70,Thinking Brain Node,1.0,-20%
71,Invisible Lobes,0.5,-18%
72,Thinking Nodules,0.75,-19%
73,Thinking Membrane,0.0,-16%
74,Prismatic Clusters,1.0,-20%
75,Thinking Brain Node,0.75,-19%
76,Prismatic Clusters,0.5,-18%
77,Invisible Coils,1.0,-20%
78,Thinking Clusters,0.5,-18%
79,Dripping Membrane,1.0,-20%
80,Dripping Tendril,1.0,-20%
81,Thinking Coils,1.0,-20%
82,Prismatic Bio-Anomaly,1.0,-20%
83,Prismatic Tendril,1.0,-20%
84,Dripping Tendril,0.25,-17%
85,Inverted Nodules,1.0,-20%
86,Invisible Bio-Anomaly,1.0,-20%
87,Thinking Brain Node,1.0,-20%
88,Inverted Bio-Anomaly,1.0,-20%
89,Thinking Coils,1.0,-20%
90,Inverted Brain Node,1.0,-20%
91,Prismatic Jelly,0.25,-17%
92,Dripping Brain Node,0.75,-19%
93,Dripping Lobes,1.0,-20%
94,Invisible Coils,0.75,-19%
95,Dripping Jelly,1.0,-20%
96,Dripping Brain Node,0.75,-19%
97,Thinking Jelly,0.75,-19%
98,Invisible Brain Node,1.0,-20%
99,Inverted Tendril,0.5,-18%
100,Inverted Clusters,1.0,-20%
101,Dripping Membrane,1.0,-20%
102,Thinking Jelly,1.0,-20%
103,Invisible Nodules,1.0,-20%
104,Invisible Clusters,0.75,-19%
105,Invisible Jelly,0.75,-19%
106,Invisible Jelly,0.0,-16%
107,Invisible Bio-Anomaly,1.0,-20%
108,Dripping Bio-Anomaly,1.0,-20%
