sep=,
Seed,Name,Perfection,Ship_PulseDrive_MiniJumpFuelSpending,Ship_Boost,Ship_BoostManeuverability
0,Sticky Thorax,0.25,+8%,,
1,Sticky Thorax,0.375,,+4%,
2,Pungent Muscle,0.125,+7%,,
3,Slimy Aorta,0.125,,,+2%
4,Slimy Aorta,0.125,,+2%,
5,Congealed Blood Sac,0.0,+6%,,
6,Pungent Blood Pump,0.5,,,+5%
7,Sticky Aorta,0.125,+7%,,
8,Gooey Muscle,0.0,+6%,,
9,Gooey Blood Sac,0.125,,+2%,
10,Congealed Blood Sac,0.125,,,+2%
11,Slimy Thorax,0.125,,,+2%
12,Slimy Muscle,0.125,,,+2%
13,Gooey Vessel,0.25,,,+3%
14,Gooey Chamber,0.125,,,+2%
15,Slimy Chamber,0.125,+7%,,
16,Pungent Vessel,0.125,,+2%,
17,Congealed Trunk Tissue,0.125,+6%,+2%,
18,Congealed Heart Lump,0.125,,+2%,
19,Pungent Thorax,0.25,,+2%,+2%
20,Gooey Trunk Tissue,0.125,+6%,+2%,
21,Congealed Muscle,0.5,,+5%,
22,Slimy Aorta,0.125,,+2%,
23,Sticky Aorta,0.125,,,+2%
24,Pungent Trunk Tissue,0.0,,,+1%
25,Congealed Chamber,0.125,,,+2%
26,Congealed Trunk Tissue,0.5,+10%,,
27,Sticky Heart Lump,0.125,,+2%,
28,Congealed Chamber,0.25,,,+3%
29,Congealed Muscle,0.25,,,+3%
30,Gooey Muscle,0.125,,,+2%
31,Gooey Vessel,0.625,+10%,,+2%
32,Sticky Aorta,0.5,+10%,,
33,Gooey Chamber,0.125,+6%,+2%,
34,Sticky Heart Lump,0.5,,,+5%
35,Sticky Trunk Tissue,0.125,+7%,,
36,Congealed Trunk Tissue,0.125,,,+2%
37,Pungent Vessel,0.375,+9%,,
38,Slimy Ventricle,0.625,,+5%,+2%
39,Sticky Thorax,0.375,,,+4%
40,Sticky Aorta,0.125,+7%,,
41,Sticky Blood Pump,0.125,,+2%,
42,Congealed Trunk Tissue,0.25,,+3%,
43,Sticky Blood Pump,0.125,,+2%,
44,Gooey Heart Lump,0.0,+6%,,
45,Gooey Muscle,0.25,,+2%,+2%
46,Sticky Trunk Tissue,0.125,+7%,,
47,Slimy Thorax,0.25,,,+3%
48,Congealed Heart Lump,0.125,,,+2%
49,Pungent Aorta,0.375,,+4%,
50,Pungent Vessel,0.0,+6%,,
51,Slimy Aorta,0.125,,+2%,
52,Pungent Muscle,0.25,,+3%,
53,Slimy Thorax,0.375,,,+4%
54,Slimy Trunk Tissue,0.5,,+3%,+3%
55,Slimy Aorta,0.75,,+3%,+5%
56,Slimy Chamber,0.125,,,+2%
57,Sticky Blood Pump,0.5,,+5%,
58,Congealed Vessel,0.0,+6%,,
59,Gooey Aorta,0.25,,+3%,
60,Gooey Trunk Tissue,0.375,,+4%,
61,Sticky Blood Pump,0.125,+7%,,
62,Sticky Muscle,0.125,,+2%,
63,Slimy Ventricle,0.125,,,+2%
64,Slimy Blood Pump,0.375,,+4%,
65,Pungent Muscle,0.375,+9%,,
66,Congealed Ventricle,0.125,+7%,,
67,Pungent Aorta,0.125,,+2%,
68,Pungent Thorax,0.125,,,+2%
69,Congealed Aorta,0.125,+7%,,
70,Congealed Blood Pump,0.125,,,+2%
71,Gooey Chamber,0.125,,+2%,
72,Congealed Blood Sac,0.125,,+2%,
73,Congealed Vessel,0.125,,,+2%
74,Pungent Muscle,0.125,,+2%,
75,Congealed Heart Lump,0.5,,,+5%
76,Pungent Muscle,0.5,,+5%,
77,Gooey Aorta,0.375,+8%,,+2%
78,Congealed Muscle,0.375,,+4%,
79,Sticky Vessel,0.25,,+3%,
80,Sticky Ventricle,0.0,+6%,,
81,Congealed Aorta,0.125,,+2%,
82,Pungent Trunk Tissue,0.375,,+4%,
83,Pungent Ventricle,0.5,,,+5%
84,Sticky Ventricle,0.25,,,+3%
85,Slimy Blood Sac,0.0,+6%,,
86,Gooey Trunk Tissue,0.125,+7%,,
87,Congealed Heart Lump,0.625,+9%,,+3%
88,Slimy Trunk Tissue,0.0,+6%,,
89,Congealed Aorta,0.125,,,+2%
90,Slimy Blood Pump,0.5,,+5%,
91,Pungent Thorax,0.125,,+2%,
92,Sticky Blood Pump,0.125,,,+2%
93,Sticky Chamber,0.125,,,+2%
94,Gooey Aorta,0.25,,,+3%
95,Sticky Thorax,0.25,+8%,,
96,Sticky Heart Lump,0.125,,,+2%
97,Congealed Thorax,0.125,,,+2%
98,Gooey Blood Pump,0.375,+8%,,+2%
99,Slimy Ventricle,0.125,,+2%,
100,Slimy Muscle,0.125,+7%,,
101,Sticky Vessel,0.125,,+2%,
102,Congealed Thorax,0.375,+9%,,
103,Gooey Blood Sac,0.125,,,+2%
104,Gooey Muscle,0.125,,,+2%
105,Gooey Thorax,0.125,,+2%,
106,Gooey Thorax,0.375,,+4%,
107,Gooey Trunk Tissue,0.25,+8%,,
108,Sticky Trunk Tissue,0.125,,+2%,
109,Gooey Blood Sac,0.25,,+3%,
110,Congealed Muscle,0.375,+9%,,
111,Pungent Chamber,0.25,,,+3%
112,Sticky Thorax,0.375,+9%,,
113,Slimy Aorta,0.25,,,+3%
114,Pungent Muscle,0.125,,,+2%
115,Sticky Muscle,0.125,,+2%,
116,Sticky Blood Pump,0.5,,+5%,
117,Slimy Muscle,0.125,,,+2%
118,Sticky Blood Pump,0.5,,,+5%
119,Gooey Aorta,0.5,,,+5%
120,Sticky Heart Lump,0.125,,+2%,
121,Sticky Blood Pump,0.125,,+2%,
122,Sticky Aorta,0.25,,+3%,
123,Gooey Blood Pump,0.125,,+2%,
124,Pungent Aorta,0.25,,+3%,
125,Congealed Ventricle,0.5,,,+5%
126,Pungent Chamber,0.0,+6%,,
127,Sticky Blood Sac,0.25,,,+3%
128,Gooey Ventricle,0.5,+10%,,
129,Slimy Ventricle,0.5,,+2%,+4%
130,Slimy Blood Pump,0.5,,+5%,
131,Gooey Thorax,0.125,,+2%,
132,Gooey Blood Pump,0.25,,,+3%
133,Pungent Blood Pump,0.125,,,+2%
134,Sticky Vessel,0.5,+10%,,
135,Congealed Ventricle,0.125,,,+2%
136,Sticky Muscle,0.625,,+5%,+2%
137,Gooey Ventricle,0.5,+10%,,
138,Sticky Heart Lump,0.125,,+2%,
139,Gooey Vessel,0.125,,+2%,
140,Sticky Chamber,0.0,+6%,,
141,Pungent Trunk Tissue,0.0,+6%,,
142,Sticky Chamber,0.125,,,+2%
143,Slimy Muscle,0.375,+9%,,
144,Gooey Ventricle,0.125,,+2%,
145,Slimy Blood Sac,0.125,,,+2%
146,Congealed Heart Lump,0.5,,+5%,
147,Gooey Aorta,0.0,+6%,,
148,Slimy Thorax,0.5,,+5%,
149,Pungent Vessel,0.25,,,+3%
150,Slimy Heart Lump,0.0,+6%,,
151,Pungent Vessel,0.125,,+2%,
152,Pungent Thorax,0.25,,,+3%
153,Slimy Trunk Tissue,0.125,,+2%,
154,Slimy Blood Pump,0.125,,,+2%
155,Congealed Blood Pump,0.0,+6%,,
156,Pungent Aorta,0.375,,+4%,
157,Gooey Heart Lump,0.25,+6%,+3%,
158,Pungent Trunk Tissue,0.375,,+4%,
159,Gooey Thorax,0.125,,,+2%
160,Pungent Thorax,0.0,+6%,,
161,Pungent Aorta,0.125,,+2%,
162,Pungent Muscle,0.125,,+2%,
163,Sticky Heart Lump,0.125,+7%,,
164,Slimy Thorax,0.375,+8%,+2%,
165,Gooey Aorta,0.125,,,+2%
166,Gooey Muscle,0.25,+8%,,
167,Sticky Trunk Tissue,0.125,,,+2%
168,Sticky Chamber,0.125,,,+2%
169,Slimy Ventricle,0.25,,,+3%
170,Congealed Blood Sac,0.25,+8%,,
171,Congealed Chamber,0.125,,,+2%
172,Pungent Blood Sac,0.25,,,+3%
173,Sticky Ventricle,0.125,+7%,,
174,Pungent Blood Pump,0.125,,,+2%
175,Gooey Muscle,0.125,,+2%,
176,Slimy Chamber,0.375,,,+4%
177,Sticky Blood Pump,0.25,+8%,,
178,Congealed Chamber,0.125,,+2%,
179,Gooey Ventricle,0.125,,+2%,
180,Slimy Blood Sac,0.5,+10%,,
181,Congealed Ventricle,0.0,+6%,,
182,Congealed Aorta,0.875,,+5%,+4%
183,Gooey Vessel,0.25,+8%,,
184,Slimy Aorta,0.125,+7%,,
185,Slimy Blood Pump,0.0,+6%,,
186,Pungent Vessel,0.125,,+2%,
187,Slimy Chamber,0.5,,+3%,+3%
188,Congealed Aorta,0.125,+7%,,+1%
189,Sticky Blood Sac,0.125,,,+2%
190,Congealed Blood Sac,0.125,+6%,,+2%
191,Congealed Heart Lump,0.375,,+4%,
192,Congealed Trunk Tissue,0.625,+7%,+5%,
193,Pungent Aorta,0.375,+6%,+4%,
194,Slimy Trunk Tissue,0.25,,+3%,
195,Sticky Chamber,0.5,,,+5%
196,Gooey Chamber,0.125,,+2%,
197,Congealed Blood Pump,0.125,,,+2%
198,Congealed Thorax,0.125,,+2%,
199,Slimy Blood Sac,0.375,,+4%,
200,Congealed Heart Lump,0.125,,+2%,
201,Congealed Blood Pump,0.125,+7%,,
202,Gooey Blood Pump,0.125,,,+2%
203,Congealed Blood Sac,0.0,+6%,,
204,Congealed Aorta,0.125,,,+2%
205,Sticky Ventricle,0.375,,,+4%
206,Gooey Blood Sac,0.375,,,+4%
207,Pungent Thorax,0.0,+6%,,
208,Congealed Blood Pump,0.875,+10%,,+4%
209,Gooey Ventricle,0.5,,,+5%
210,Gooey Heart Lump,0.25,,,+3%
211,Gooey Aorta,0.125,,,+2%
212,Sticky Thorax,0.375,,,+4%
213,Slimy Blood Sac,0.125,,+2%,
214,Congealed Heart Lump,0.125,,,+2%
215,Slimy Ventricle,0.125,+7%,,
216,Pungent Trunk Tissue,0.125,,+2%,
217,Congealed Chamber,0.125,,+2%,
218,Sticky Aorta,0.125,,+2%,
219,Congealed Blood Sac,0.25,,+3%,
220,Gooey Vessel,0.25,,,+3%
221,Slimy Vessel,0.375,,,+4%
222,Gooey Chamber,0.125,,+2%,
223,Pungent Chamber,0.25,,+3%,
224,Slimy Muscle,0.25,,,+3%
225,Sticky Blood Sac,0.5,,,+5%
226,Congealed Muscle,0.25,,+2%,+2%
227,Sticky Vessel,0.5,,+5%,
228,Sticky Trunk Tissue,0.125,+6%,+2%,
229,Congealed Blood Pump,0.125,,,+2%
230,Gooey Vessel,0.5,,+5%,
231,Gooey Heart Lump,0.125,,,+2%
232,Sticky Thorax,0.5,+10%,,
233,Slimy Vessel,0.125,,+2%,
234,Pungent Muscle,0.375,,,+4%
235,Sticky Thorax,0.0,+6%,,
236,Pungent Chamber,0.0,,,+1%
237,Gooey Blood Sac,0.125,,,+2%
238,Gooey Aorta,0.625,,+2%,+5%
239,Pungent Trunk Tissue,0.125,,,+2%
240,Gooey Trunk Tissue,0.125,,,+2%
241,Congealed Thorax,0.125,,+2%,
242,Gooey Blood Pump,0.125,,+2%,
243,Pungent Blood Pump,0.125,,,+2%
244,Slimy Trunk Tissue,0.5,,+5%,
245,Pungent Blood Pump,0.5,+10%,,
246,Slimy Chamber,0.25,,,+3%
247,Congealed Trunk Tissue,0.25,,+3%,
248,Sticky Thorax,0.25,,+2%,+2%
249,Gooey Muscle,0.125,+7%,,
250,Sticky Muscle,0.25,+7%,,+2%
251,Congealed Thorax,0.5,,,+5%
252,Pungent Vessel,0.125,,,+2%
253,Slimy Blood Sac,0.0,+6%,,
254,Gooey Chamber,0.0,+6%,,
255,Pungent Trunk Tissue,0.25,+8%,,
256,Sticky Blood Sac,0.25,+8%,,
257,Sticky Trunk Tissue,0.5,,+5%,
258,Congealed Muscle,0.375,,,+4%
259,Gooey Muscle,0.125,,,+2%
260,Gooey Muscle,0.0,+6%,,
261,Sticky Heart Lump,0.125,,+2%,
262,Sticky Thorax,0.125,,,+2%
263,Gooey Vessel,0.375,+8%,,+2%
264,Sticky Thorax,0.125,,,+2%
265,Pungent Ventricle,0.0,+6%,,
266,Sticky Muscle,0.125,,,+2%
267,Slimy Heart Lump,0.375,,+4%,
268,Sticky Ventricle,0.5,+10%,,
269,Pungent Vessel,0.5,+8%,,+3%
270,Gooey Chamber,0.5,,+5%,
271,Sticky Aorta,0.375,,+4%,
272,Gooey Ventricle,0.125,,,+2%
