Seed,Name,Perfection,Ship_PulseDrive_MiniJumpFuelSpending,Ship_Boost,Ship_BoostManeuverability
0,Twitching Thorax,0.45,+13%,+7%,
1,Twitching Thorax,0.456,,+9%,+2%
2,Writhing Muscle,0.181,+12%,,+2%
3,Wriggling Aorta,0.256,,+7%,+2%
4,Wriggling Aorta,0.225,+12%,+6%,
5,Germinated Blood Sac,0.056,+11%,,+2%
6,Writhing Blood Pump,0.8,,+8%,+10%
7,Twitching Aorta,0.181,+12%,,+2%
8,Growing Muscle,0.4,+11%,+9%,
9,Growing Blood Sac,0.211,,+6%,+3%
10,Germinated Blood Sac,0.256,,+7%,+2%
11,Wriggling Thorax,0.256,,+7%,+2%
12,Wriggling Muscle,0.431,+14%,,+2%
13,Growing Vessel,0.347,+12%,,+5%
14,Growing Chamber,0.156,,+6%,+2%
15,Wriggling Chamber,0.181,+12%,,+2%
16,Writhing Vessel,0.225,+12%,+6%,
17,Germinated Trunk Tissue,0.1,+11%,+6%,
18,Germinated Heart Lump,0.1,+11%,+6%,
19,Writhing Thorax,0.156,,+6%,+2%
20,Growing Trunk Tissue,0.1,+11%,+6%,
21,Germinated Muscle,0.5,+11%,+10%,
22,Wriggling Aorta,0.35,+13%,+6%,
23,Twitching Aorta,0.256,,+7%,+2%
24,Writhing Trunk Tissue,0.1,,+6%,+1%
25,Germinated Chamber,0.211,,+6%,+3%
26,Germinated Trunk Tissue,0.6,+15%,+6%,
27,Twitching Heart Lump,0.156,,+6%,+2%
28,Germinated Chamber,0.622,,+9%,+5%
29,Germinated Muscle,0.322,,+6%,+5%
30,Growing Muscle,0.056,+11%,,+2%
31,Growing Vessel,0.556,+15%,,+2%
32,Twitching Aorta,0.6,+15%,+6%,
33,Growing Chamber,0.1,+11%,+6%,
34,Twitching Heart Lump,0.844,,+9%,+9%
35,Twitching Trunk Tissue,0.236,+12%,,+3%
36,Germinated Trunk Tissue,0.056,+11%,,+2%
37,Writhing Vessel,0.475,+14%,+6%,
38,Wriggling Ventricle,0.556,,+10%,+2%
39,Twitching Thorax,0.889,,+10%,+8%
40,Twitching Aorta,0.225,+12%,+6%,
41,Twitching Blood Pump,0.1,+11%,+6%,
42,Germinated Trunk Tissue,0.2,+11%,+7%,
43,Twitching Blood Pump,0.475,+14%,+6%,
44,Growing Heart Lump,0.2,+11%,+7%,
45,Growing Muscle,0.156,,+6%,+2%
46,Twitching Trunk Tissue,0.181,+12%,,+2%
47,Wriggling Thorax,0.422,,+7%,+5%
48,Germinated Heart Lump,0.156,,+6%,+2%
49,Writhing Aorta,0.4,,+9%,+1%
50,Writhing Vessel,0.4,+11%,+9%,
51,Wriggling Aorta,0.256,,+7%,+2%
52,Writhing Muscle,0.256,,+7%,+2%
53,Wriggling Thorax,0.433,,+6%,+7%
54,Wriggling Trunk Tissue,0.522,,+8%,+5%
55,Wriggling Aorta,0.644,,+7%,+9%
56,Wriggling Chamber,0.111,+11%,,+3%
57,Twitching Blood Pump,0.4,+11%,+9%,
58,Germinated Vessel,0.1,+11%,+6%,
59,Growing Aorta,0.256,,+7%,+2%
60,Growing Trunk Tissue,0.55,+13%,+8%,
61,Twitching Blood Pump,0.181,+12%,,+2%
62,Twitching Muscle,0.475,+14%,+6%,
63,Wriggling Ventricle,0.556,+15%,,+2%
64,Wriggling Blood Pump,0.525,+12%,+9%,
65,Writhing Muscle,0.431,+14%,,+2%
