sep=,
Seed,Name,Perfection,Ship_Weapons_Guns_Damage,Ship_Weapons_Guns_Rate,Ship_Weapons_Guns_HeatTime
0,Bloated Cavity,0.0,+2%,,
1,Bloated Cavity,0.0,,+1%,
2,Additional Gills,0.5,+4%,,
3,Hexed Crevice,0.5,,,+1%
4,Hexed Crevice,0.0,,+1%,
5,Cursed Pouch,0.5,+4%,,
6,Additional Lips,0.5,,,+1%
7,Bloated Crevice,0.5,+4%,,
8,Distended Gills,0.5,+4%,,
9,Distended Pouch,0.0,,+1%,
10,Cursed Pouch,0.5,,,+1%
11,Hexed Cavity,0.5,,,+1%
12,Hexed Gills,0.5,,,+1%
13,Distended Vent Chamber,0.5,,,+1%
14,Distended Mouth,0.5,,,+1%
15,Hexed Mouth,0.5,+4%,,
16,Additional Vent Chamber,0.0,,+1%,
17,Cursed Beak,0.0,+2%,+1%,
18,Cursed Gas Sac,0.5,,+2%,
19,Additional Cavity,0.5,,+1%,+1%
20,Distended Beak,0.5,+2%,+2%,
21,Cursed Gills,0.0,,+1%,
22,Hexed Crevice,0.0,,+1%,
23,Bloated Crevice,0.5,,,+1%
24,Additional Beak,0.5,,,+1%
25,Cursed Mouth,0.5,,,+1%
26,Cursed Beak,0.5,+4%,,
27,Bloated Gas Sac,0.0,,+1%,
28,Cursed Mouth,0.5,,,+1%
29,Cursed Gills,0.5,,,+1%
30,Distended Gills,0.5,,,+1%
31,Distended Vent Chamber,0.75,+3%,,+1%
32,Bloated Crevice,0.5,+4%,,
33,Distended Mouth,0.25,+3%,+1%,
34,Bloated Gas Sac,0.5,,,+1%
35,Bloated Beak,0.5,+4%,,
36,Cursed Beak,0.5,,,+1%
37,Additional Vent Chamber,0.25,+3%,,
38,Hexed Cyst,0.5,,+1%,+1%
39,Bloated Cavity,0.5,,,+1%
40,Bloated Crevice,0.0,+2%,,
41,Bloated Lips,0.0,,+1%,
42,Cursed Beak,0.0,,+1%,
43,Bloated Lips,0.0,,+1%,
44,Distended Gas Sac,0.0,+2%,,
45,Distended Gills,0.5,,+1%,+1%
46,Bloated Beak,0.25,+3%,,
47,Hexed Cavity,0.5,,,+1%
48,Cursed Gas Sac,0.5,,,+1%
49,Additional Crevice,0.0,,+1%,
50,Additional Vent Chamber,0.25,+3%,,
51,Hexed Crevice,0.0,,+1%,
52,Additional Gills,0.0,,+1%,
53,Hexed Cavity,0.5,,,+1%
54,Hexed Beak,0.5,,+1%,+1%
55,Hexed Crevice,0.5,,+1%,+1%
56,Hexed Mouth,0.5,,,+1%
57,Bloated Lips,0.0,,+1%,
58,Cursed Vent Chamber,0.25,+3%,,
59,Distended Crevice,0.0,,+1%,
60,Distended Beak,0.0,,+1%,
61,Bloated Lips,0.0,+2%,,
62,Bloated Gills,0.0,,+1%,
63,Hexed Cyst,0.5,,,+1%
64,Hexed Lips,0.0,,+1%,
65,Additional Gills,0.5,+4%,,
66,Cursed Cyst,0.5,+4%,,
67,Additional Crevice,0.0,,+1%,
68,Additional Cavity,0.5,,,+1%
69,Cursed Crevice,0.0,+2%,,
70,Cursed Lips,0.5,,,+1%
71,Distended Mouth,0.0,,+1%,
72,Cursed Pouch,0.0,,+1%,
73,Cursed Vent Chamber,0.5,,,+1%
74,Additional Gills,0.0,,+1%,
75,Cursed Gas Sac,0.5,,,+1%
76,Additional Gills,0.0,,+1%,
77,Distended Crevice,0.5,+2%,,+1%
78,Cursed Gills,0.0,,+1%,
79,Bloated Vent Chamber,0.0,,+1%,
80,Bloated Cyst,0.25,+3%,,
81,Cursed Crevice,0.0,,+1%,
82,Additional Beak,0.0,,+1%,
83,Additional Cyst,0.5,,,+1%
84,Bloated Cyst,0.5,,,+1%
85,Hexed Pouch,0.0,+2%,,
86,Distended Beak,0.0,+2%,,
87,Cursed Gas Sac,0.75,+3%,,+1%
88,Hexed Beak,0.25,+3%,,
89,Cursed Crevice,0.5,,,+1%
90,Hexed Lips,0.0,,+1%,
91,Additional Cavity,0.0,,+1%,
92,Bloated Lips,0.5,,,+1%
93,Bloated Mouth,0.5,,,+1%
94,Distended Crevice,0.5,,,+1%
95,Bloated Cavity,0.5,+4%,,
96,Bloated Gas Sac,0.5,,,+1%
97,Cursed Cavity,0.5,,,+1%
98,Distended Lips,0.75,+3%,,+1%
99,Hexed Cyst,0.0,,+1%,
100,Hexed Gills,0.5,+4%,,
101,Bloated Vent Chamber,0.0,,+1%,
102,Cursed Cavity,0.5,+4%,,
103,Distended Pouch,0.5,,,+1%
104,Distended Gills,0.5,,,+1%
105,Distended Cavity,0.0,,+1%,
106,Distended Cavity,0.0,,+1%,
107,Distended Beak,0.5,+4%,,
108,Bloated Beak,0.0,,+1%,
109,Distended Pouch,0.0,,+1%,
110,Cursed Gills,0.0,+2%,,
111,Additional Mouth,0.5,,,+1%
112,Bloated Cavity,0.25,+3%,,
113,Hexed Crevice,0.5,,,+1%
114,Additional Gills,0.5,,,+1%
115,Bloated Gills,0.5,,+2%,
116,Bloated Lips,0.0,,+1%,
117,Hexed Gills,0.5,,,+1%
118,Bloated Lips,0.5,,,+1%
119,Distended Crevice,0.5,,,+1%
120,Bloated Gas Sac,0.0,,+1%,
121,Bloated Lips,0.0,,+1%,
122,Bloated Crevice,0.0,,+1%,
123,Distended Lips,0.0,,+1%,
124,Additional Crevice,0.0,,+1%,
125,Cursed Cyst,0.5,,,+1%
126,Additional Mouth,0.5,+4%,,
127,Bloated Pouch,0.5,,,+1%
128,Distended Cyst,0.25,+3%,,
129,Hexed Cyst,0.5,,+1%,+1%
130,Hexed Lips,0.5,,+2%,
131,Distended Cavity,0.0,,+1%,
132,Distended Lips,0.5,,,+1%
133,Additional Lips,0.5,,,+1%
134,Bloated Vent Chamber,0.0,+2%,,
135,Cursed Cyst,0.5,,,+1%
136,Bloated Gills,0.5,,+1%,+1%
137,Distended Cyst,0.0,+2%,,
138,Bloated Gas Sac,0.0,,+1%,
139,Distended Vent Chamber,0.0,,+1%,
140,Bloated Mouth,0.0,+2%,,
141,Additional Beak,0.25,+3%,,
142,Bloated Mouth,0.5,,,+1%
143,Hexed Gills,0.25,+3%,,
144,Distended Cyst,0.0,,+1%,
145,Hexed Pouch,0.5,,,+1%
146,Cursed Gas Sac,0.0,,+1%,
147,Distended Crevice,0.25,+3%,,
148,Hexed Cavity,0.0,,+1%,
149,Additional Vent Chamber,0.5,,,+1%
150,Hexed Gas Sac,0.25,+3%,,
151,Additional Vent Chamber,0.0,,+1%,
152,Additional Cavity,0.5,,,+1%
153,Hexed Beak,0.0,,+1%,
154,Hexed Lips,0.5,,,+1%
155,Cursed Lips,0.25,+3%,,
156,Additional Crevice,0.0,,+1%,
157,Distended Gas Sac,0.25,+3%,+1%,
158,Additional Beak,0.0,,+1%,
159,Distended Cavity,0.5,,,+1%
160,Additional Cavity,0.0,+2%,,
161,Additional Crevice,0.0,,+1%,
162,Additional Gills,0.0,,+1%,
163,Bloated Gas Sac,0.0,+2%,,
164,Hexed Cavity,0.0,+2%,+1%,
165,Distended Crevice,0.5,,,+1%
166,Distended Gills,0.0,+2%,,
167,Bloated Beak,0.5,,,+1%
168,Bloated Mouth,0.5,,,+1%
169,Hexed Cyst,0.5,,,+1%
170,Cursed Pouch,0.25,+3%,,
171,Cursed Mouth,0.5,,,+1%
172,Additional Pouch,0.5,,,+1%
173,Bloated Cyst,0.0,+2%,,
174,Additional Lips,0.5,,,+1%
175,Distended Gills,0.0,,+1%,
176,Hexed Mouth,0.5,,,+1%
177,Bloated Lips,0.25,+3%,,
178,Cursed Mouth,0.0,,+1%,
179,Distended Cyst,0.0,,+1%,
180,Hexed Pouch,0.0,+2%,,
181,Cursed Cyst,0.5,+4%,,
182,Cursed Crevice,0.5,,+1%,+1%
183,Distended Vent Chamber,0.0,+2%,,
184,Hexed Crevice,0.0,+2%,,
185,Hexed Lips,0.0,+2%,,
186,Additional Vent Chamber,0.5,,+2%,
187,Hexed Mouth,0.5,,+1%,+1%
188,Cursed Crevice,0.5,+2%,,+1%
189,Bloated Pouch,0.5,,,+1%
190,Cursed Pouch,0.75,+3%,,+1%
191,Cursed Gas Sac,0.0,,+1%,
192,Cursed Beak,0.5,+4%,+1%,
193,Additional Crevice,1.0,+4%,+2%,
194,Hexed Beak,0.0,,+1%,
195,Bloated Mouth,0.5,,,+1%
196,Distended Mouth,0.0,,+1%,
197,Cursed Lips,0.5,,,+1%
198,Cursed Cavity,0.0,,+1%,
199,Hexed Pouch,0.0,,+1%,
200,Cursed Gas Sac,0.0,,+1%,
201,Cursed Lips,0.25,+3%,,
202,Distended Lips,0.5,,,+1%
203,Cursed Pouch,0.25,+3%,,
204,Cursed Crevice,0.5,,,+1%
205,Bloated Cyst,0.5,,,+1%
206,Distended Pouch,0.5,,,+1%
207,Additional Cavity,0.0,+2%,,
208,Cursed Lips,0.5,+2%,,+1%
209,Distended Cyst,0.5,,,+1%
210,Distended Gas Sac,0.5,,,+1%
211,Distended Crevice,0.5,,,+1%
212,Bloated Cavity,0.5,,,+1%
213,Hexed Pouch,0.0,,+1%,
214,Cursed Gas Sac,0.5,,,+1%
215,Hexed Cyst,0.25,+3%,,
216,Additional Beak,0.0,,+1%,
217,Cursed Mouth,0.0,,+1%,
218,Bloated Crevice,0.0,,+1%,
219,Cursed Pouch,0.0,,+1%,
220,Distended Vent Chamber,0.5,,,+1%
221,Hexed Vent Chamber,0.5,,,+1%
222,Distended Mouth,0.0,,+1%,
223,Additional Mouth,0.0,,+1%,
224,Hexed Gills,0.5,,,+1%
225,Bloated Pouch,0.5,,,+1%
226,Cursed Gills,0.5,,+1%,+1%
227,Bloated Vent Chamber,0.5,,+2%,
228,Bloated Beak,0.0,+2%,+1%,
229,Cursed Lips,0.5,,,+1%
230,Distended Vent Chamber,0.0,,+1%,
231,Distended Gas Sac,0.5,,,+1%
232,Bloated Cavity,0.5,+4%,,
233,Hexed Vent Chamber,0.0,,+1%,
234,Additional Gills,0.5,,,+1%
235,Bloated Cavity,0.0,+2%,,
236,Additional Mouth,0.5,,,+1%
237,Distended Pouch,0.5,,,+1%
238,Distended Crevice,0.5,,+1%,+1%
239,Additional Beak,0.5,,,+1%
240,Distended Beak,0.5,,,+1%
241,Cursed Cavity,0.0,,+1%,
242,Distended Lips,0.0,,+1%,
243,Additional Lips,0.5,,,+1%
244,Hexed Beak,0.0,,+1%,
245,Additional Lips,0.25,+3%,,
246,Hexed Mouth,0.5,,,+1%
247,Cursed Beak,0.0,,+1%,
248,Bloated Cavity,0.5,,+1%,+1%
249,Distended Gills,0.5,+4%,,
250,Bloated Gills,0.5,+2%,,+1%
251,Cursed Cavity,0.5,,,+1%
252,Additional Vent Chamber,0.5,,,+1%
253,Hexed Pouch,0.0,+2%,,
254,Distended Mouth,0.0,+2%,,
255,Additional Beak,0.0,+2%,,
256,Bloated Pouch,0.0,+2%,,
257,Bloated Beak,0.0,,+1%,
258,Cursed Gills,0.5,,,+1%
259,Distended Gills,0.5,,,+1%
260,Distended Gills,0.0,+2%,,
261,Bloated Gas Sac,0.0,,+1%,
262,Bloated Cavity,0.5,,,+1%
263,Distended Vent Chamber,0.75,+3%,,+1%
264,Bloated Cavity,0.5,,,+1%
265,Additional Cyst,0.25,+3%,,
266,Bloated Gills,0.5,,,+1%
267,Hexed Gas Sac,0.0,,+1%,
268,Bloated Cyst,0.25,+3%,,
269,Additional Vent Chamber,0.75,+3%,,+1%
270,Distended Mouth,0.0,,+1%,
271,Bloated Crevice,0.0,,+1%,
272,Distended Cyst,0.5,,,+1%
273,Distended Gas Sac,0.5,+2%,,+1%
274,Distended Lips,0.0,,+1%,
275,Additional Lips,0.25,+3%,,
276,Additional Pouch,0.25,+3%,+1%,
277,Hexed Cyst,0.5,,,+1%
278,Additional Gas Sac,0.0,+2%,+1%,
279,Cursed Mouth,0.25,+3%,,
280,Hexed Cavity,0.0,,+1%,
281,Additional Crevice,0.25,+3%,,
282,Bloated Crevice,0.5,,,+1%
283,Bloated Pouch,0.5,+4%,,
284,Bloated Crevice,0.0,+2%,,
285,Distended Mouth,0.0,+2%,,
286,Bloated Gills,0.5,,,+1%
287,Bloated Lips,0.0,,+1%,
288,Bloated Beak,0.0,+2%,,
289,Distended Beak,0.25,+3%,,
290,Hexed Vent Chamber,0.0,,+1%,
291,Additional Vent Chamber,0.25,+3%,,
292,Hexed Beak,0.5,,,+1%
293,Additional Gills,0.0,,+1%,
294,Hexed Vent Chamber,0.75,+3%,,+1%
295,Hexed Vent Chamber,0.75,+3%,,+1%
296,Bloated Cyst,1.0,+4%,,+1%
297,Additional Cavity,0.5,+2%,,+1%
298,Hexed Beak,0.5,,,+1%
299,Additional Mouth,0.0,,+1%,
300,Cursed Mouth,0.0,+2%,,
301,Distended Gills,0.5,+4%,+1%,
302,Cursed Pouch,0.0,,+1%,
303,Cursed Gas Sac,0.0,,+1%,
304,Distended Mouth,0.5,,+2%,
305,Additional Cyst,0.5,,,+1%
306,Additional Pouch,0.5,+4%,,
307,Additional Cyst,1.0,,+2%,+1%
308,Distended Beak,0.0,,+1%,
309,Cursed Beak,0.0,,+1%,
310,Hexed Cavity,0.5,,,+1%
311,Hexed Crevice,0.0,+2%,,
312,Cursed Crevice,0.25,+3%,,
313,Bloated Gills,0.0,+2%,,
314,Cursed Cavity,0.5,+4%,,
315,Additional Crevice,0.0,+2%,,
316,Cursed Pouch,1.0,+4%,,+1%
317,Bloated Pouch,0.75,+3%,,+1%
318,Hexed Cavity,0.25,+3%,,
319,Bloated Lips,0.0,,+1%,
320,Hexed Vent Chamber,0.5,,,+1%
321,Bloated Cavity,0.75,+3%,,+1%
322,Hexed Beak,0.5,,,+1%
323,Additional Crevice,0.0,+2%,,
324,Hexed Vent Chamber,0.5,+4%,,
325,Cursed Vent Chamber,0.75,+3%,,+1%
326,Cursed Cyst,0.0,,+1%,
327,Additional Gas Sac,0.5,+4%,,
328,Distended Gills,0.0,,+1%,
329,Distended Cyst,0.5,,,+1%
330,Cursed Cyst,0.5,,,+1%
331,Additional Mouth,0.5,,,+1%
332,Distended Vent Chamber,0.0,,+1%,
333,Distended Mouth,0.0,,+1%,
334,Bloated Cavity,0.0,,+1%,
335,Cursed Lips,0.25,+3%,+1%,
336,Additional Cavity,0.25,+3%,,
337,Cursed Beak,0.0,,+1%,
338,Hexed Beak,0.0,,+1%,
339,Bloated Vent Chamber,0.5,,,+1%
340,Additional Gills,0.5,,,+1%
341,Hexed Beak,0.5,,,+1%
342,Additional Crevice,0.25,+3%,+1%,
