Seed	Name	Perfection	Ship_Weapons_Guns_Damage	Ship_Weapons_Guns_Rate	Ship_Weapons_Guns_HeatTime
0	Foul Cavity	0.667	+6%	+3%	+3%
1	Foul Cavity	0.667	+6%	+3%	+3%
2	Vast Gills	1.0	+8%	+3%	+3%
3	Infinite Crevice	0.667	+6%	+3%	+3%
4	Infinite Crevice	0.667	+6%	+3%	+3%
5	Boundless Pouch	1.0	+8%	+3%	+3%
6	Vast Lips	0.833	+7%	+3%	+3%
7	Foul Crevice	1.0	+8%	+3%	+3%
8	Vile Gills	1.0	+8%	+3%	+3%
9	Vile Pouch	0.833	+7%	+3%	+3%
10	Boundless Pouch	0.833	+7%	+3%	+3%
11	Infinite Cavity	0.667	+6%	+3%	+3%
12	Infinite Gills	0.667	+6%	+3%	+3%
13	Vile Vent Chamber	0.833	+7%	+3%	+3%
14	Vile Mouth	0.667	+6%	+3%	+3%
15	Infinite Mouth	1.0	+8%	+3%	+3%
16	Vast Vent Chamber	0.667	+6%	+3%	+3%
17	Boundless Beak	0.667	+6%	+3%	+3%
18	Boundless Gas Sac	0.667	+6%	+3%	+3%
19	Vast Cavity	0.667	+6%	+3%	+3%
20	Vile Beak	0.667	+6%	+3%	+3%
21	Boundless Gills	1.0	+8%	+3%	+3%
22	Infinite Crevice	0.667	+6%	+3%	+3%
23	Foul Crevice	0.833	+7%	+3%	+3%
24	Vast Beak	0.667	+6%	+3%	+3%
25	Boundless Mouth	0.667	+6%	+3%	+3%
26	Boundless Beak	1.0	+8%	+3%	+3%
27	Foul Gas Sac	0.667	+6%	+3%	+3%
28	Boundless Mouth	1.0	+8%	+3%	+3%
29	Boundless Gills	0.667	+6%	+3%	+3%
30	Vile Gills	0.667	+6%	+3%	+3%
31	Vile Vent Chamber	0.667	+6%	+3%	+3%
32	Foul Crevice	1.0	+8%	+3%	+3%
33	Vile Mouth	0.833	+7%	+3%	+3%
34	Foul Gas Sac	1.0	+8%	+3%	+3%
35	Foul Beak	1.0	+8%	+3%	+3%
36	Boundless Beak	0.667	+6%	+3%	+3%
37	Vast Vent Chamber	0.833	+7%	+3%	+3%
38	Infinite Cyst	0.667	+6%	+3%	+3%
39	Foul Cavity	1.0	+8%	+3%	+3%
40	Foul Crevice	0.667	+6%	+3%	+3%
41	Foul Lips	0.667	+6%	+3%	+3%
42	Boundless Beak	0.833	+7%	+3%	+3%
43	Foul Lips	0.667	+6%	+3%	+3%
44	Vile Gas Sac	0.667	+6%	+3%	+3%
45	Vile Gills	0.667	+6%	+3%	+3%
46	Foul Beak	0.833	+7%	+3%	+3%
47	Infinite Cavity	0.833	+7%	+3%	+3%
48	Boundless Gas Sac	0.667	+6%	+3%	+3%
49	Vast Crevice	0.667	+6%	+3%	+3%
50	Vast Vent Chamber	0.667	+6%	+3%	+3%
51	Infinite Crevice	0.833	+7%	+3%	+3%
52	Vast Gills	0.667	+6%	+3%	+3%
53	Infinite Cavity	0.667	+6%	+3%	+3%
54	Infinite Beak	0.833	+7%	+3%	+3%
