sep=,
Seed,Name,Perfection,Ship_Weapons_Lasers_HeatTime,Ship_Weapons_Lasers_Damage
0,Fidgety Cornea,0.354,+28%,
1,Fidgety Cornea,0.0,,+12%
2,Leaking Reflector,0.5,,+15%
3,Stretched Fluids,0.5,,+15%
4,Stretched Fluids,0.125,+17%,
5,Fissured Retina,0.333,,+14%
6,Leaking Projector,0.333,,+14%
7,Fidgety Fluids,0.333,+27%,
8,Nervous Reflector,0.188,+20%,
9,Nervous Retina,0.0,,+12%
10,Fissured Retina,0.167,,+13%
11,Stretched Cornea,0.5,,+15%
12,Stretched Reflector,0.021,+12%,
13,Nervous Iris,0.0,,+12%
14,Nervous Aperture,0.5,,+15%
15,Stretched Aperture,0.167,,+13%
16,Leaking Iris,0.021,+12%,
17,Fissured Pupil,0.354,+12%,+14%
18,Fissured Lens,0.0,+11%,
19,Leaking Cornea,0.125,+17%,+12%
20,Nervous Pupil,0.562,+14%,+15%
21,Fissured Reflector,0.042,+13%,
22,Stretched Fluids,0.083,+15%,
23,Fidgety Fluids,0.167,,+13%
24,Leaking Pupil,0.333,,+14%
25,Fissured Aperture,0.5,,+15%
26,Fissured Pupil,0.125,+17%,
27,Fidgety Lens,0.0,,+12%
28,Fissured Aperture,0.167,,+13%
29,Fissured Reflector,0.5,,+15%
30,Nervous Reflector,0.0,,+12%
31,Nervous Iris,0.438,+16%,+14%
32,Fidgety Fluids,0.229,+22%,
33,Nervous Aperture,0.479,+26%,+13%
34,Fidgety Lens,0.167,,+13%
35,Fidgety Pupil,0.208,+21%,
36,Fissured Pupil,0.021,+12%,
37,Leaking Iris,0.458,+33%,
38,Stretched Mirror,0.146,+18%,+12%
39,Fidgety Cornea,0.5,,+15%
40,Fidgety Fluids,0.146,+18%,
41,Fidgety Projector,0.062,+14%,
42,Fissured Pupil,0.021,+12%,
43,Fidgety Projector,0.062,+14%,
44,Nervous Lens,0.312,+26%,
45,Nervous Reflector,0.917,+31%,+15%
46,Fidgety Pupil,0.167,,+13%
47,Stretched Cornea,0.5,,+15%
48,Fissured Lens,0.333,,+14%
49,Leaking Fluids,0.0,,+12%
50,Leaking Iris,0.167,+19%,
51,Stretched Fluids,0.0,,+12%
52,Leaking Reflector,0.0,,+12%
53,Stretched Cornea,0.167,,+13%
54,Stretched Pupil,0.0,+11%,+12%
55,Stretched Fluids,0.083,+15%,+12%
56,Stretched Aperture,0.0,,+12%
57,Fidgety Projector,0.083,+15%,
58,Fissured Iris,0.208,+21%,
59,Nervous Fluids,0.0,,+12%
60,Nervous Pupil,0.042,+13%,
61,Fidgety Projector,0.167,,+13%
62,Fidgety Reflector,0.021,+12%,
63,Stretched Mirror,0.0,,+12%
64,Stretched Projector,0.0,+11%,
65,Leaking Reflector,0.438,+32%,
66,Fissured Mirror,0.167,+19%,
67,Leaking Fluids,0.021,+12%,
68,Leaking Cornea,0.062,+14%,
69,Fissured Fluids,0.333,,+14%
70,Fissured Projector,0.0,+11%,
71,Nervous Aperture,0.0,,+12%
72,Fissured Retina,0.0,,+12%
73,Fissured Iris,0.167,,+13%
74,Leaking Reflector,0.0,+11%,
75,Fissured Lens,0.167,,+13%
76,Leaking Reflector,0.0,,+12%
77,Nervous Fluids,0.333,+11%,+14%
78,Fissured Reflector,0.0,,+12%
79,Fidgety Iris,0.0,+11%,
80,Fidgety Mirror,0.333,,+14%
81,Fissured Fluids,0.042,+13%,
82,Leaking Pupil,0.021,+12%,
83,Leaking Mirror,0.083,+15%,
84,Fidgety Mirror,0.5,,+15%
85,Stretched Retina,0.167,,+13%
86,Nervous Pupil,0.333,,+14%
87,Fissured Lens,0.521,+28%,+13%
88,Stretched Pupil,0.271,+24%,
89,Fissured Fluids,0.0,+11%,
90,Stretched Projector,0.083,+15%,
91,Leaking Cornea,0.0,,+12%
92,Fidgety Projector,0.333,,+14%
93,Fidgety Aperture,0.0,,+12%
94,Nervous Fluids,0.167,,+13%
95,Fidgety Cornea,0.354,+28%,
96,Fidgety Lens,0.5,,+15%
97,Fissured Cornea,0.167,,+13%
98,Nervous Projector,0.312,+26%,+12%
99,Stretched Mirror,0.0,,+12%
100,Stretched Reflector,0.167,,+13%
101,Fidgety Iris,0.0,+11%,
102,Fissured Cornea,0.229,+22%,
103,Nervous Retina,0.062,+14%,
104,Nervous Reflector,0.5,,+15%
105,Nervous Cornea,0.0,,+12%
106,Nervous Cornea,0.0,,+12%
107,Nervous Pupil,0.354,+28%,
108,Fidgety Pupil,0.021,+12%,
109,Nervous Retina,0.0,,+12%
110,Fissured Reflector,0.333,,+14%
111,Leaking Aperture,0.021,+12%,
112,Fidgety Cornea,0.375,+29%,
113,Stretched Fluids,0.062,+14%,
114,Leaking Reflector,0.167,,+13%
115,Fidgety Reflector,0.0,,+12%
116,Fidgety Projector,0.0,,+12%
117,Stretched Reflector,0.0,,+12%
118,Fidgety Projector,0.5,,+15%
119,Nervous Fluids,0.167,,+13%
120,Fidgety Lens,0.0,,+12%
121,Fidgety Projector,0.083,+15%,
122,Fidgety Fluids,0.0,+11%,
123,Nervous Projector,0.0,,+12%
124,Leaking Fluids,0.0,+11%,
125,Fissured Mirror,0.0,,+12%
126,Leaking Aperture,0.396,+30%,
127,Fidgety Retina,0.0,,+12%
128,Nervous Mirror,0.146,+18%,
129,Stretched Mirror,0.292,+17%,+13%
130,Stretched Projector,0.0,,+12%
131,Nervous Cornea,0.0,+11%,
132,Nervous Projector,0.0,,+12%
133,Leaking Projector,0.062,+14%,
134,Fidgety Iris,0.417,+31%,
135,Fissured Mirror,0.0,,+12%
136,Fidgety Reflector,0.438,+32%,+12%
137,Nervous Mirror,0.458,+33%,
138,Fidgety Lens,0.0,,+12%
139,Nervous Iris,0.083,+15%,
140,Fidgety Aperture,0.375,+29%,
141,Leaking Pupil,0.479,+34%,
142,Fidgety Aperture,0.0,,+12%
143,Stretched Reflector,0.188,+20%,
144,Nervous Mirror,0.0,,+12%
145,Stretched Retina,0.167,,+13%
146,Fissured Lens,0.0,,+12%
147,Nervous Fluids,0.25,+23%,
148,Stretched Cornea,0.0,,+12%
149,Leaking Iris,0.167,,+13%
150,Stretched Lens,0.146,+18%,
151,Leaking Iris,0.021,+12%,
152,Leaking Cornea,0.333,,+14%
153,Stretched Pupil,0.0,,+12%
154,Stretched Projector,0.167,,+13%
155,Fissured Projector,0.146,+18%,
156,Leaking Fluids,0.021,+12%,
157,Nervous Lens,0.208,+13%,+13%
158,Leaking Pupil,0.021,+12%,
159,Nervous Cornea,0.0,,+12%
160,Leaking Cornea,0.375,+29%,
161,Leaking Fluids,0.062,+14%,
162,Leaking Reflector,0.0,,+12%
163,Fidgety Lens,0.333,,+14%
164,Stretched Cornea,0.271,+24%,+12%
165,Nervous Fluids,0.5,,+15%
166,Nervous Reflector,0.229,+22%,
167,Fidgety Pupil,0.333,,+14%
168,Fidgety Aperture,0.021,+12%,
169,Stretched Mirror,0.0,,+12%
170,Fissured Retina,0.375,+29%,
171,Fissured Aperture,0.021,+12%,
172,Leaking Retina,0.0,+11%,
173,Fidgety Mirror,0.458,+33%,
