sep=,
Seed,Name,Perfection,Ship_Weapons_Lasers_HeatTime,Ship_Weapons_Lasers_Damage,Ship_Weapons_ShieldLeech
0,Glassy Cornea,0.0,+36%,,
1,Glassy Cornea,0.739,,+18%,+68%
2,Restless Reflector,0.5,+55%,,
3,Wandering Fluids,0.188,,,+59%
4,Wandering Fluids,0.167,,+17%,
5,Focused Retina,0.395,+51%,,
6,Restless Projector,0.062,,,+53%
7,Glassy Fluids,0.5,+55%,,
8,Fixated Reflector,0.781,+50%,+19%,
9,Fixated Retina,0.0,,+16%,
10,Focused Retina,0.229,,,+61%
11,Wandering Cornea,0.062,,,+53%
12,Wandering Reflector,0.139,+37%,,+55%
13,Fixated Iris,0.0,,,+50%
14,Fixated Aperture,0.083,,,+54%
15,Wandering Aperture,0.474,+54%,,
16,Restless Iris,0.0,,+16%,
17,Focused Pupil,0.111,+36%,+18%,
18,Focused Lens,0.211,+37%,+19%,
19,Restless Cornea,0.0,,+16%,+50%
20,Fixated Pupil,0.211,+37%,+19%,
21,Focused Reflector,0.702,+52%,+16%,
22,Wandering Fluids,0.5,,+19%,
23,Glassy Fluids,0.062,,,+53%
24,Restless Pupil,0.125,,,+56%
25,Focused Aperture,0.0,,,+50%
26,Focused Pupil,0.474,+54%,,
27,Glassy Lens,0.0,,+16%,
28,Focused Aperture,0.703,,+18%,+67%
29,Focused Reflector,0.0,,,+50%
30,Fixated Reflector,0.0,,,+50%
31,Fixated Iris,0.441,+40%,,+65%
32,Glassy Fluids,0.421,+52%,,
33,Fixated Aperture,0.418,+43%,+18%,
34,Glassy Lens,0.062,,,+53%
35,Glassy Pupil,0.395,+51%,,
36,Focused Pupil,0.5,,,+74%
37,Restless Iris,0.158,+42%,,
38,Wandering Mirror,0.764,,+17%,+70%
39,Glassy Cornea,0.083,,,+54%
40,Glassy Fluids,0.0,+36%,,
41,Glassy Projector,0.167,,+17%,
42,Focused Pupil,0.0,,+16%,
43,Glassy Projector,0.088,+38%,+16%,
44,Fixated Lens,0.053,+38%,,
45,Fixated Reflector,0.718,,+16%,+70%
46,Glassy Pupil,0.184,+43%,,
47,Wandering Cornea,0.146,,,+57%
48,Focused Lens,0.292,,,+64%
49,Restless Fluids,0.0,,+16%,
50,Restless Iris,0.105,+40%,,
51,Wandering Fluids,0.0,,+16%,
52,Restless Reflector,0.167,,+17%,
53,Wandering Cornea,0.042,,,+52%
54,Wandering Pupil,0.395,,+16%,+61%
55,Wandering Fluids,0.323,,+16%,+59%
56,Wandering Aperture,0.167,,,+58%
57,Glassy Projector,0.0,,+16%,
58,Focused Iris,0.237,+45%,,
59,Fixated Fluids,0.0,,+16%,
60,Fixated Pupil,0.333,,+18%,
61,Glassy Projector,0.026,+37%,,
62,Glassy Reflector,0.5,,+19%,
63,Wandering Mirror,0.25,,,+62%
64,Wandering Projector,0.0,,+16%,
65,Restless Reflector,0.474,+54%,,
66,Focused Mirror,0.474,+54%,,
67,Restless Fluids,0.5,,+19%,
68,Restless Cornea,0.167,,,+58%
69,Focused Fluids,0.093,+36%,,+54%
70,Focused Projector,0.396,,,+69%
71,Fixated Aperture,0.333,,+18%,
72,Focused Retina,0.0,,+16%,
73,Focused Iris,0.375,,,+68%
74,Restless Reflector,0.0,,+16%,
75,Focused Lens,0.25,,,+62%
76,Restless Reflector,0.5,,+19%,
77,Fixated Fluids,0.417,+37%,,+67%
78,Focused Reflector,0.333,,+18%,
79,Glassy Iris,0.219,+41%,+16%,
80,Glassy Mirror,0.132,+41%,,
81,Focused Fluids,0.167,,+17%,
82,Restless Pupil,0.0,,+16%,
83,Restless Mirror,0.271,,,+63%
84,Glassy Mirror,0.312,,,+65%
85,Wandering Retina,0.053,+38%,,
86,Fixated Pupil,0.0,+36%,,
87,Focused Lens,0.187,+44%,,+50%
