Seed	Name	Perfection	Ship_Weapons_Lasers_HeatTime	Ship_Weapons_Lasers_Damage
0	Sleepless Cornea	0.35	+89%	+24%
1	Sleepless Cornea	0.375	+90%	+24%
2	Translucent Reflector	1.0	+95%	+27%
3	Heavenly Fluids	0.7	+83%	+27%
4	Heavenly Fluids	0.292	+80%	+25%
5	Vibrant Retina	0.733	+91%	+26%
6	Translucent Projector	0.408	+78%	+26%
7	Sleepless Fluids	0.85	+89%	+27%
8	Chromatic Reflector	0.533	+83%	+26%
9	Chromatic Retina	0.025	+76%	+24%
10	Vibrant Retina	0.417	+85%	+25%
11	Heavenly Cornea	0.6	+79%	+27%
12	Heavenly Reflector	0.025	+76%	+24%
13	Chromatic Iris	0.025	+76%	+24%
14	Chromatic Aperture	0.6	+79%	+27%
15	Heavenly Aperture	0.642	+94%	+25%
16	Translucent Iris	0.05	+77%	+24%
17	Vibrant Pupil	0.383	+77%	+26%
18	Vibrant Lens	0.525	+76%	+27%
19	Translucent Cornea	0.125	+80%	+24%
20	Chromatic Pupil	0.6	+79%	+27%
21	Vibrant Reflector	0.05	+77%	+24%
22	Heavenly Fluids	0.6	+79%	+27%
23	Sleepless Fluids	0.242	+78%	+25%
24	Translucent Pupil	0.483	+81%	+26%
25	Vibrant Aperture	0.525	+76%	+27%
26	Vibrant Pupil	0.65	+81%	+27%
27	Sleepless Lens	0.025	+76%	+24%
28	Vibrant Aperture	0.517	+89%	+25%
29	Vibrant Reflector	0.525	+76%	+27%
30	Chromatic Reflector	0.025	+76%	+24%
31	Chromatic Iris	0.458	+80%	+26%
32	Sleepless Fluids	0.75	+85%	+27%
33	Chromatic Aperture	0.492	+88%	+25%
34	Sleepless Lens	0.267	+79%	+25%
35	Sleepless Pupil	0.725	+84%	+27%
36	Vibrant Pupil	0.525	+76%	+27%
37	Translucent Iris	0.617	+93%	+25%
38	Heavenly Mirror	0.175	+82%	+24%
39	Sleepless Cornea	0.6	+79%	+27%
40	Sleepless Fluids	0.175	+82%	+24%
41	Sleepless Projector	0.267	+79%	+25%
42	Vibrant Pupil	0.025	+76%	+24%
43	Sleepless Projector	0.1	+79%	+24%
44	Chromatic Lens	0.325	+88%	+24%
45	Chromatic Reflector	0.925	+92%	+27%
46	Sleepless Pupil	0.367	+83%	+25%
47	Heavenly Cornea	0.675	+82%	+27%
48	Vibrant Lens	0.633	+87%	+26%
49	Translucent Fluids	0.125	+80%	+24%
50	Translucent Iris	0.175	+82%	+24%
51	Heavenly Fluids	0.125	+80%	+24%
52	Translucent Reflector	0.225	+84%	+24%
53	Heavenly Cornea	0.217	+77%	+25%
54	Heavenly Pupil	0.025	+76%	+24%
55	Heavenly Fluids	0.1	+79%	+24%
56	Heavenly Aperture	0.175	+82%	+24%
57	Sleepless Projector	0.1	+79%	+24%
58	Vibrant Iris	0.392	+84%	+25%
