Seed,Name,Perfection,Ship_Armour_Shield_Strength
0,Dripping Rind,0.625,+12%
1,Dripping Rind,0.125,+8%
2,Notched Bark,0.25,+9%
3,Infused Crust,0.125,+8%
4,Infused Crust,0.75,+13%
5,Coarse Skin,0.125,+8%
6,Notched Shell,0.0,+7%
7,Dripping Crust,0.5,+11%
8,Parasitic Bark,0.75,+13%
9,Parasitic Skin,0.125,+8%
10,Coarse Skin,0.125,+8%
11,Infused Rind,0.0,+7%
12,Infused Bark,0.5,+11%
13,Parasitic Teeth,0.125,+8%
14,Parasitic Plating,0.0,+7%
15,Infused Plating,0.25,+9%
16,Notched Teeth,0.875,+14%
17,Coarse Carapace,0.875,+14%
18,Coarse Scales,0.625,+12%
19,Notched Rind,0.0,+7%
20,Parasitic Carapace,0.875,+14%
21,Coarse Bark,0.75,+13%
22,Infused Crust,0.75,+13%
23,Dripping Crust,0.125,+8%
24,Notched Carapace,0.125,+8%
25,Coarse Plating,0.125,+8%
26,Coarse Carapace,0.625,+12%
27,Dripping Scales,0.0,+7%
28,Coarse Plating,0.125,+8%
29,Coarse Bark,0.0,+7%
30,Parasitic Bark,0.25,+9%
31,Parasitic Teeth,0.375,+10%
32,Dripping Crust,0.625,+12%
33,Parasitic Plating,0.625,+12%
34,Dripping Scales,0.125,+8%
35,Dripping Carapace,0.25,+9%
36,Coarse Carapace,0.375,+10%
37,Notched Teeth,0.875,+14%
38,Infused Husk,0.0,+7%
39,Dripping Rind,0.0,+7%
40,Dripping Crust,0.5,+11%
41,Dripping Shell,0.625,+12%
42,Coarse Carapace,0.875,+14%
43,Dripping Shell,0.875,+14%
44,Parasitic Scales,0.75,+13%
45,Parasitic Bark,0.0,+7%
46,Dripping Carapace,0.25,+9%
47,Infused Rind,0.0,+7%
48,Coarse Scales,0.125,+8%
49,Notched Crust,0.125,+8%
50,Notched Teeth,0.75,+13%
51,Infused Crust,0.125,+8%
52,Notched Bark,0.125,+8%
53,Infused Rind,0.0,+7%
54,Infused Carapace,0.0,+7%
