sep=,
Seed,Name,Perfection,Ship_Armour_Shield_Strength
0,Armoured Rind,0.6,+24%
1,Armoured Rind,0.067,+16%
2,Reactive Bark,0.267,+19%
3,Durable Crust,0.067,+16%
4,Durable Crust,0.8,+27%
5,Resilient Skin,0.133,+17%
6,Reactive Shell,0.0,+15%
7,Armoured Crust,0.467,+22%
8,Evolved Bark,0.733,+26%
9,Evolved Skin,0.067,+16%
10,Resilient Skin,0.067,+16%
11,Durable Rind,0.0,+15%
12,Durable Bark,0.467,+22%
13,Evolved Teeth,0.133,+17%
14,Evolved Plating,0.0,+15%
15,Durable Plating,0.2,+18%
16,Reactive Teeth,0.867,+28%
17,Resilient Carapace,0.867,+28%
18,Resilient Scales,0.6,+24%
19,Reactive Rind,0.0,+15%
20,Evolved Carapace,0.933,+29%
21,Resilient Bark,0.733,+26%
22,Durable Crust,0.8,+27%
23,Armoured Crust,0.067,+16%
24,Reactive Carapace,0.067,+16%
25,Resilient Plating,0.067,+16%
26,Resilient Carapace,0.6,+24%
27,Armoured Scales,0.0,+15%
28,Resilient Plating,0.067,+16%
29,Resilient Bark,0.0,+15%
30,Evolved Bark,0.2,+18%
31,Evolved Teeth,0.333,+20%
32,Armoured Crust,0.667,+25%
33,Evolved Plating,0.6,+24%
34,Armoured Scales,0.067,+16%
35,Armoured Carapace,0.267,+19%
36,Resilient Carapace,0.4,+21%
37,Reactive Teeth,0.933,+29%
38,Durable Husk,0.0,+15%
39,Armoured Rind,0.0,+15%
40,Armoured Crust,0.533,+23%
41,Armoured Shell,0.6,+24%
42,Resilient Carapace,0.867,+28%
43,Armoured Shell,0.933,+29%
44,Evolved Scales,0.8,+27%
45,Evolved Bark,0.0,+15%
46,Armoured Carapace,0.2,+18%
47,Durable Rind,0.0,+15%
48,Resilient Scales,0.067,+16%
49,Reactive Crust,0.067,+16%
50,Reactive Teeth,0.8,+27%
51,Durable Crust,0.067,+16%
52,Reactive Bark,0.067,+16%
53,Durable Rind,0.0,+15%
54,Durable Carapace,0.0,+15%
55,Durable Crust,0.067,+16%
56,Durable Plating,0.133,+17%
57,Armoured Shell,0.533,+23%
58,Resilient Teeth,0.467,+22%
59,Evolved Crust,0.067,+16%
60,Evolved Carapace,0.667,+25%
61,Armoured Shell,0.133,+17%
62,Armoured Bark,0.533,+23%
63,Durable Husk,0.267,+19%
64,Durable Shell,0.933,+29%
65,Reactive Bark,0.333,+20%
66,Resilient Husk,0.533,+23%
67,Reactive Crust,0.467,+22%
68,Reactive Rind,0.267,+19%
69,Resilient Crust,0.133,+17%
70,Resilient Shell,0.333,+20%
71,Evolved Plating,0.0,+15%
72,Resilient Skin,0.067,+16%
73,Resilient Teeth,0.0,+15%
74,Reactive Bark,0.667,+25%
75,Resilient Scales,0.067,+16%
76,Reactive Bark,0.0,+15%
77,Evolved Crust,0.4,+21%
78,Resilient Bark,0.0,+15%
79,Armoured Teeth,1.0,+30%
80,Armoured Husk,0.133,+17%
81,Resilient Crust,0.533,+23%
82,Reactive Carapace,0.667,+25%
83,Reactive Husk,0.4,+21%
84,Armoured Husk,0.0,+15%
85,Durable Skin,0.133,+17%
86,Evolved Carapace,0.2,+18%
87,Resilient Scales,0.267,+19%
88,Durable Carapace,0.733,+26%
89,Resilient Crust,0.333,+20%
90,Durable Shell,1.0,+30%
91,Reactive Rind,0.0,+15%
92,Armoured Shell,0.067,+16%
93,Armoured Plating,0.267,+19%
94,Evolved Crust,0.067,+16%
95,Armoured Rind,0.533,+23%
96,Armoured Scales,0.067,+16%
97,Resilient Rind,0.067,+16%
98,Evolved Shell,0.267,+19%
99,Durable Husk,0.0,+15%
100,Durable Bark,0.267,+19%
101,Armoured Teeth,0.867,+28%
102,Resilient Rind,0.4,+21%
103,Evolved Skin,0.267,+19%
104,Evolved Bark,0.067,+16%
105,Evolved Rind,0.067,+16%
106,Evolved Rind,0.0,+15%
107,Evolved Carapace,0.6,+24%
