Seed	Name	Perfection	Ship_Armour_Shield_Strength
0	Screaming Rind	1.0	+30%
1	Screaming Rind	1.0	+30%
2	Incorruptible Bark	1.0	+30%
3	Unyielding Crust	1.0	+30%
4	Unyielding Crust	1.0	+30%
5	Everlasting Skin	1.0	+30%
6	Incorruptible Shell	1.0	+30%
7	Screaming Crust	1.0	+30%
8	Unbreakable Bark	1.0	+30%
9	Unbreakable Skin	1.0	+30%
10	Everlasting Skin	1.0	+30%
11	Unyielding Rind	1.0	+30%
12	Unyielding Bark	1.0	+30%
13	Unbreakable Teeth	1.0	+30%
14	Unbreakable Plating	1.0	+30%
15	Unyielding Plating	1.0	+30%
16	Incorruptible Teeth	1.0	+30%
17	Everlasting Carapace	1.0	+30%
18	Everlasting Scales	1.0	+30%
19	Incorruptible Rind	1.0	+30%
20	Unbreakable Carapace	1.0	+30%
21	Everlasting Bark	1.0	+30%
22	Unyielding Crust	1.0	+30%
23	Screaming Crust	1.0	+30%
24	Incorruptible Carapace	1.0	+30%
25	Everlasting Plating	1.0	+30%
26	Everlasting Carapace	1.0	+30%
27	Screaming Scales	1.0	+30%
28	Everlasting Plating	1.0	+30%
29	Everlasting Bark	1.0	+30%
30	Unbreakable Bark	1.0	+30%
31	Unbreakable Teeth	1.0	+30%
32	Screaming Crust	1.0	+30%
33	Unbreakable Plating	1.0	+30%
34	Screaming Scales	1.0	+30%
35	Screaming Carapace	1.0	+30%
36	Everlasting Carapace	1.0	+30%
37	Incorruptible Teeth	1.0	+30%
38	Unyielding Husk	1.0	+30%
39	Screaming Rind	1.0	+30%
40	Screaming Crust	1.0	+30%
41	Screaming Shell	1.0	+30%
42	Everlasting Carapace	1.0	+30%
43	Screaming Shell	1.0	+30%
44	Unbreakable Scales	1.0	+30%
45	Unbreakable Bark	1.0	+30%
46	Screaming Carapace	1.0	+30%
47	Unyielding Rind	1.0	+30%
48	Everlasting Scales	1.0	+30%
49	Incorruptible Crust	1.0	+30%
50	Incorruptible Teeth	1.0	+30%
51	Unyielding Crust	1.0	+30%
52	Incorruptible Bark	1.0	+30%
53	Unyielding Rind	1.0	+30%
54	Unyielding Carapace	1.0	+30%
55	Unyielding Crust	1.0	+30%
56	Unyielding Plating	1.0	+30%
57	Screaming Shell	1.0	+30%
58	Everlasting Teeth	1.0	+30%
59	Unbreakable Crust	1.0	+30%
60	Unbreakable Carapace	1.0	+30%
61	Screaming Shell	1.0	+30%
62	Screaming Bark	1.0	+30%
63	Unyielding Husk	1.0	+30%
64	Unyielding Shell	1.0	+30%
65	Incorruptible Bark	1.0	+30%
66	Everlasting Husk	1.0	+30%
67	Incorruptible Crust	1.0	+30%
68	Incorruptible Rind	1.0	+30%
69	Everlasting Crust	1.0	+30%
70	Everlasting Shell	1.0	+30%
71	Unbreakable Plating	1.0	+30%
72	Everlasting Skin	1.0	+30%
73	Everlasting Teeth	1.0	+30%
74	Incorruptible Bark	1.0	+30%
75	Everlasting Scales	1.0	+30%
76	Incorruptible Bark	1.0	+30%
77	Unbreakable Crust	1.0	+30%
78	Everlasting Bark	1.0	+30%
79	Screaming Teeth	1.0	+30%
80	Screaming Husk	1.0	+30%
81	Everlasting Crust	1.0	+30%
82	Incorruptible Carapace	1.0	+30%
83	Incorruptible Husk	1.0	+30%
84	Screaming Husk	1.0	+30%
85	Unyielding Skin	1.0	+30%
86	Unbreakable Carapace	1.0	+30%
87	Everlasting Scales	1.0	+30%
88	Unyielding Carapace	1.0	+30%
89	Everlasting Crust	1.0	+30%
90	Unyielding Shell	1.0	+30%
91	Incorruptible Rind	1.0	+30%
92	Screaming Shell	1.0	+30%
93	Screaming Plating	1.0	+30%
94	Unbreakable Crust	1.0	+30%
95	Screaming Rind	1.0	+30%
96	Screaming Scales	1.0	+30%
97	Everlasting Rind	1.0	+30%
