Seed	Name	Perfection	Vehicle_BoostSpeed	Vehicle_BoostTanks
0	Augmented Jets	0.667	+16%	
1	Augmented Jets	0.222		+12%
2	Upgraded Diffuser	0.778		+17%
3	Synchronised Dynamo	1.0		+19%
4	Synchronised Dynamo	0.222	+12%	
5	Specialist Igniter	0.778		+17%
6	Upgraded Nozzles	0.778		+17%
7	Augmented Dynamo	0.667	+16%	
8	Unstable Diffuser	0.333	+13%	
9	Unstable Igniter	0.111		+11%
10	Specialist Igniter	0.222		+12%
11	Synchronised Jets	0.889		+18%
12	Synchronised Diffuser	0.0	+10%	
13	Unstable Pump	0.0		+10%
14	Unstable Exhaust	1.0		+19%
15	Synchronised Exhaust	0.333		+13%
16	Upgraded Pump	0.0	+10%	
17	Specialist Turbine	0.0	+10%	
18	Specialist Tanks	0.0	+10%	
19	Upgraded Jets	0.0		+10%
20	Unstable Turbine	0.111	+11%	
21	Specialist Diffuser	0.0	+10%	
22	Synchronised Dynamo	0.111	+11%	
23	Augmented Dynamo	0.222		+12%
24	Upgraded Turbine	0.556		+15%
25	Specialist Exhaust	0.778		+17%
26	Specialist Turbine	0.222	+12%	
27	Augmented Tanks	0.0		+10%
28	Specialist Exhaust	0.444		+14%
29	Specialist Diffuser	0.778		+17%
30	Unstable Diffuser	0.0		+10%
31	Unstable Pump	0.222	+12%	
32	Augmented Dynamo	0.444	+14%	
33	Unstable Exhaust	0.667	+16%	
34	Augmented Tanks	0.333		+13%
35	Augmented Turbine	0.444	+14%	
36	Specialist Turbine	0.0	+10%	
37	Upgraded Pump	0.889	+18%	
38	Synchronised Combustion Unit	0.222		+12%
39	Augmented Jets	0.889		+18%
40	Augmented Dynamo	0.333	+13%	
41	Augmented Nozzles	0.111	+11%	
42	Specialist Turbine	0.0	+10%	
43	Augmented Nozzles	0.111	+11%	
44	Unstable Tanks	0.667	+16%	
45	Unstable Diffuser	1.0		+19%
46	Augmented Turbine	0.444		+14%
47	Synchronised Jets	0.889		+18%
48	Specialist Tanks	0.556		+15%
49	Upgraded Dynamo	0.111		+11%
50	Upgraded Pump	0.333	+13%	
51	Synchronised Dynamo	0.0		+10%
52	Upgraded Diffuser	0.222		+12%
53	Synchronised Jets	0.333		+13%
54	Synchronised Turbine	0.0		+10%
55	Synchronised Dynamo	0.111		+11%
56	Synchronised Exhaust	0.0		+10%
57	Augmented Nozzles	0.111	+11%	
58	Specialist Pump	0.444	+14%	
59	Unstable Dynamo	0.0		+10%
60	Unstable Turbine	0.0	+10%	
61	Augmented Nozzles	0.444		+14%
62	Augmented Diffuser	0.0	+10%	
63	Synchronised Combustion Unit	0.111		+11%
64	Synchronised Nozzles	0.0	+10%	
65	Upgraded Diffuser	0.889	+18%	
66	Specialist Combustion Unit	0.333	+13%	
67	Upgraded Dynamo	0.0	+10%	
68	Upgraded Jets	0.111	+11%	
69	Specialist Dynamo	0.556		+15%
70	Specialist Nozzles	0.0	+10%	
71	Unstable Exhaust	0.0		+10%
72	Specialist Igniter	0.0		+10%
73	Specialist Pump	0.444		+14%
74	Upgraded Diffuser	0.0	+10%	
75	Specialist Tanks	0.444		+14%
76	Upgraded Diffuser	0.111		+11%
77	Unstable Dynamo	0.0	+10%	
78	Specialist Diffuser	0.222		+12%
79	Augmented Pump	0.0	+10%	
80	Augmented Combustion Unit	0.667		+16%
81	Specialist Dynamo	0.0	+10%	
82	Upgraded Turbine	0.0	+10%	
83	Upgraded Combustion Unit	0.111	+11%	
84	Augmented Combustion Unit	0.889		+18%
85	Synchronised Igniter	0.444		+14%
86	Unstable Turbine	0.556		+15%
87	Specialist Tanks	0.778	+17%	
88	Synchronised Turbine	0.556	+15%	
89	Specialist Dynamo	0.0	+10%	
90	Synchronised Nozzles	0.111	+11%	
91	Upgraded Jets	0.0		+10%
92	Augmented Nozzles	0.667		+16%
93	Augmented Exhaust	0.0		+10%
94	Unstable Dynamo	0.222		+12%
95	Augmented Jets	0.667	+16%	
96	Augmented Tanks	0.778		+17%
97	Specialist Jets	0.333		+13%
98	Unstable Nozzles	0.0		+10%
99	Synchronised Combustion Unit	0.111		+11%
100	Synchronised Diffuser	0.444		+14%
101	Augmented Pump	0.0	+10%	
102	Specialist Jets	0.444	+14%	
103	Unstable Igniter	0.111	+11%	
104	Unstable Diffuser	0.889		+18%
105	Unstable Jets	0.0		+10%
106	Unstable Jets	0.111		+11%
107	Unstable Turbine	0.667	+16%	
108	Augmented Turbine	0.0	+10%	
109	Unstable Igniter	0.0		+10%
110	Specialist Diffuser	0.556		+15%
111	Upgraded Exhaust	0.0	+10%	
112	Augmented Jets	0.778	+17%	
113	Synchronised Dynamo	0.111	+11%	
114	Upgraded Diffuser	0.222		+12%
115	Augmented Diffuser	0.0		+10%
116	Augmented Nozzles	0.0		+10%
117	Synchronised Diffuser	0.0		+10%
118	Augmented Nozzles	0.778		+17%
119	Unstable Dynamo	0.444		+14%
120	Augmented Tanks	0.0		+10%
121	Augmented Nozzles	0.111	+11%	
122	Augmented Dynamo	0.0	+10%	
123	Unstable Nozzles	0.222		+12%
124	Upgraded Dynamo	0.0	+10%	
125	Specialist Combustion Unit	0.222		+12%
126	Upgraded Exhaust	0.778	+17%	
127	Augmented Igniter	0.111		+11%
128	Unstable Combustion Unit	0.333	+13%	
129	Synchronised Combustion Unit	0.222		+12%
130	Synchronised Nozzles	0.222		+12%
131	Unstable Jets	0.0	+10%	
132	Unstable Nozzles	0.0		+10%
133	Upgraded Nozzles	0.111	+11%	
134	Augmented Pump	0.889	+18%	
135	Specialist Combustion Unit	0.111		+11%
136	Augmented Diffuser	0.0		+10%
137	Unstable Combustion Unit	0.889	+18%	
138	Augmented Tanks	0.111		+11%
139	Unstable Pump	0.111	+11%	
140	Augmented Exhaust	0.778	+17%	
141	Upgraded Turbine	1.0	+19%	
142	Augmented Exhaust	0.0		+10%
143	Synchronised Diffuser	0.333	+13%	
144	Unstable Combustion Unit	0.0		+10%
145	Synchronised Igniter	0.333		+13%
146	Specialist Tanks	0.111		+11%
147	Unstable Dynamo	0.444	+14%	
148	Synchronised Jets	0.0		+10%
149	Upgraded Pump	0.444		+14%
150	Synchronised Tanks	0.222	+12%	
151	Upgraded Pump	0.0	+10%	
152	Upgraded Jets	0.556		+15%
153	Synchronised Turbine	0.0		+10%
154	Synchronised Nozzles	0.333		+13%
155	Specialist Nozzles	0.222	+12%	
156	Upgraded Dynamo	0.0	+10%	
157	Unstable Tanks	0.0	+10%	
158	Upgraded Turbine	0.0	+10%	
159	Unstable Jets	0.0		+10%
160	Upgraded Jets	0.778	+17%	
161	Upgraded Dynamo	0.111	+11%	
162	Upgraded Diffuser	0.0		+10%
163	Augmented Tanks	0.667		+16%
164	Synchronised Jets	0.556	+15%	
165	Unstable Dynamo	0.889		+18%
166	Unstable Diffuser	0.444	+14%	
167	Augmented Turbine	0.556		+15%
168	Augmented Exhaust	0.0	+10%	
169	Synchronised Combustion Unit	0.0		+10%
170	Specialist Igniter	0.778	+17%	
171	Specialist Exhaust	0.0	+10%	
172	Upgraded Igniter	0.0	+10%	
173	Augmented Combustion Unit	0.889	+18%	
174	Upgraded Nozzles	0.222		+12%
175	Unstable Diffuser	0.222	+12%	
176	Synchronised Exhaust	1.0		+19%
177	Augmented Nozzles	0.778	+17%	
178	Specialist Exhaust	0.111	+11%	
179	Unstable Combustion Unit	0.0		+10%
180	Synchronised Igniter	0.667	+16%	
181	Specialist Combustion Unit	0.333	+13%	
182	Specialist Dynamo	0.0		+10%
183	Unstable Pump	0.333	+13%	
184	Synchronised Dynamo	0.444	+14%	
185	Synchronised Nozzles	0.556	+15%	
186	Upgraded Pump	0.111		+11%
187	Synchronised Exhaust	0.111		+11%
188	Specialist Dynamo	0.0	+10%	
189	Augmented Igniter	0.444		+14%
190	Specialist Igniter	0.111		+11%
191	Specialist Tanks	0.111		+11%
192	Specialist Turbine	0.111	+11%	
193	Upgraded Dynamo	0.0	+10%	
194	Synchronised Turbine	0.222		+12%
195	Augmented Exhaust	0.889		+18%
196	Unstable Exhaust	0.0		+10%
197	Specialist Nozzles	0.444		+14%
198	Specialist Jets	0.111	+11%	
199	Synchronised Igniter	0.0		+10%
200	Specialist Tanks	0.0	+10%	
201	Specialist Nozzles	0.778	+17%	
202	Unstable Nozzles	0.0	+10%	
203	Specialist Igniter	0.444	+14%	
204	Specialist Dynamo	0.889		+18%
205	Augmented Combustion Unit	0.667		+16%
206	Unstable Igniter	0.111		+11%
207	Upgraded Jets	0.333		+13%
208	Specialist Nozzles	0.889	+18%	
