Seed,Name,Perfection,Vehicle_BoostSpeed,Vehicle_BoostTanks
0,Uranium Jets,0.357,+30%,
1,Uranium Jets,0.107,,+18%
2,Catalyst Diffuser,0.393,,+26%
3,Uranium Dynamo,0.5,,+29%
4,Uranium Dynamo,0.107,+23%,
5,Bypass Igniter,0.357,,+25%
6,Catalyst Nozzles,0.357,,+25%
7,Uranium Dynamo,0.357,+30%,
8,Plasma Diffuser,0.179,+25%,
9,Plasma Igniter,0.071,,+17%
10,Bypass Igniter,0.143,,+19%
11,Uranium Jets,0.429,,+27%
12,Uranium Diffuser,0.0,+20%,
13,Plasma Pump,0.0,,+15%
14,Plasma Exhaust,0.5,,+29%
15,Uranium Exhaust,0.143,,+19%
16,Catalyst Pump,0.0,+20%,
17,Bypass Turbine,0.0,+20%,
18,Bypass Tanks,0.0,+20%,
19,Catalyst Jets,0.107,+23%,+15%
20,Plasma Turbine,0.571,+22%,+29%
21,Bypass Diffuser,0.036,+21%,
22,Uranium Dynamo,0.071,+22%,
23,Uranium Dynamo,0.143,,+19%
24,Catalyst Turbine,0.25,,+22%
25,Bypass Exhaust,0.393,,+26%
26,Bypass Turbine,0.107,+23%,
27,Uranium Tanks,0.036,,+16%
28,Bypass Exhaust,0.25,,+22%
29,Bypass Diffuser,0.393,,+26%
30,Plasma Diffuser,0.036,,+16%
31,Plasma Pump,0.429,+23%,+24%
32,Uranium Dynamo,0.214,+26%,
33,Plasma Exhaust,0.5,+29%,+20%
34,Uranium Tanks,0.179,,+20%
35,Uranium Turbine,0.214,+26%,
36,Bypass Turbine,0.0,+20%,
37,Catalyst Pump,0.464,+33%,
38,Uranium Combustion Unit,0.107,,+18%
39,Uranium Jets,0.429,,+27%
40,Uranium Dynamo,0.143,+24%,
41,Uranium Nozzles,0.071,+22%,
42,Bypass Turbine,0.0,+20%,
43,Uranium Nozzles,0.071,+22%,
44,Plasma Tanks,0.321,+29%,
45,Plasma Diffuser,0.893,+32%,+28%
