sep=,
Seed,Name,Perfection,Vehicle_BoostSpeed,Vehicle_BoostTanks
0,Liquid Fuel Jets,0.342,+48%,
1,Liquid Fuel Jets,0.474,+49%,+34%
2,Multi-Tube Diffuser,0.395,,+45%
3,Tritium Dynamo,0.5,,+49%
4,Tritium Dynamo,0.105,+39%,
5,Frictionless Igniter,0.368,,+44%
6,Multi-Tube Nozzles,0.368,,+44%
7,Liquid Fuel Dynamo,0.342,+48%,
8,Hybrid Diffuser,0.553,+42%,+44%
9,Hybrid Igniter,0.053,,+32%
10,Frictionless Igniter,0.132,,+35%
11,Tritium Jets,0.421,,+46%
12,Tritium Diffuser,0.105,+35%,+34%
13,Hybrid Pump,0.0,,+30%
14,Hybrid Exhaust,0.5,,+49%
15,Tritium Exhaust,0.158,,+36%
16,Multi-Tube Pump,0.026,+36%,
17,Frictionless Turbine,0.289,+36%,+40%
18,Frictionless Tanks,0.5,+35%,+49%
19,Multi-Tube Jets,0.105,+39%,+30%
20,Hybrid Turbine,0.579,+38%,+49%
21,Frictionless Diffuser,0.026,+36%,+30%
22,Tritium Dynamo,0.079,+38%,
23,Liquid Fuel Dynamo,0.132,,+35%
24,Multi-Tube Turbine,0.263,,+40%
25,Frictionless Exhaust,0.395,,+45%
26,Frictionless Turbine,0.132,+40%,
27,Liquid Fuel Tanks,0.026,,+31%
28,Frictionless Exhaust,0.579,+48%,+39%
29,Frictionless Diffuser,0.395,,+45%
30,Hybrid Diffuser,0.026,,+31%
31,Hybrid Pump,0.421,+39%,+42%
32,Liquid Fuel Dynamo,0.237,+44%,
33,Hybrid Exhaust,0.5,+47%,+37%
34,Liquid Fuel Tanks,0.184,,+37%
35,Liquid Fuel Turbine,0.211,+43%,
36,Frictionless Turbine,0.0,+35%,
37,Multi-Tube Pump,0.447,+52%,
38,Tritium Combustion Unit,0.263,+41%,+34%
39,Liquid Fuel Jets,0.447,,+47%
40,Liquid Fuel Dynamo,0.158,+41%,
41,Liquid Fuel Nozzles,0.079,+38%,
42,Frictionless Turbine,0.0,+35%,
43,Liquid Fuel Nozzles,0.105,+38%,+31%
44,Hybrid Tanks,0.316,+47%,
45,Hybrid Diffuser,0.895,+51%,+48%
46,Liquid Fuel Turbine,0.237,,+39%
47,Tritium Jets,0.447,,+47%
48,Frictionless Tanks,0.263,,+40%
49,Multi-Tube Dynamo,0.079,,+33%
50,Multi-Tube Pump,0.158,+41%,
51,Tritium Dynamo,0.0,,+30%
52,Multi-Tube Diffuser,0.105,,+34%
53,Tritium Jets,0.184,,+37%
54,Tritium Turbine,0.0,+35%,+30%
55,Tritium Dynamo,0.132,+38%,+32%
56,Tritium Exhaust,0.026,,+31%
57,Liquid Fuel Nozzles,0.079,+38%,
58,Frictionless Pump,0.211,+43%,
59,Hybrid Dynamo,0.0,,+30%
60,Hybrid Turbine,0.026,+36%,
61,Liquid Fuel Nozzles,0.211,,+38%
62,Liquid Fuel Diffuser,0.026,+36%,
63,Tritium Combustion Unit,0.053,,+32%
64,Tritium Nozzles,0.0,+35%,
65,Multi-Tube Diffuser,0.447,+52%,
66,Frictionless Combustion Unit,0.158,+41%,
67,Multi-Tube Dynamo,0.026,+36%,
68,Multi-Tube Jets,0.053,+37%,
69,Frictionless Dynamo,0.263,+35%,+40%
70,Frictionless Nozzles,0.0,+35%,
71,Hybrid Exhaust,0.0,,+30%
72,Frictionless Igniter,0.0,,+30%
73,Frictionless Pump,0.237,,+39%
74,Multi-Tube Diffuser,0.0,+35%,
75,Frictionless Tanks,0.237,,+39%
76,Multi-Tube Diffuser,0.053,,+32%
77,Hybrid Dynamo,0.368,+35%,+44%
78,Frictionless Diffuser,0.105,,+34%
79,Liquid Fuel Pump,0.0,+35%,+30%
80,Liquid Fuel Combustion Unit,0.342,,+43%
81,Frictionless Dynamo,0.026,+36%,
82,Multi-Tube Turbine,0.026,+36%,
83,Multi-Tube Combustion Unit,0.079,+38%,
84,Liquid Fuel Combustion Unit,0.447,,+47%
85,Tritium Igniter,0.237,,+39%
86,Hybrid Turbine,0.289,,+41%
87,Frictionless Tanks,0.579,+49%,+38%
88,Tritium Turbine,0.421,+45%,+36%
89,Frictionless Dynamo,0.0,+35%,
90,Tritium Nozzles,0.079,+38%,
91,Multi-Tube Jets,0.026,,+31%
92,Liquid Fuel Nozzles,0.342,,+43%
93,Liquid Fuel Exhaust,0.0,,+30%
94,Hybrid Dynamo,0.132,,+35%
95,Liquid Fuel Jets,0.342,+48%,
96,Liquid Fuel Tanks,0.395,,+45%
97,Frictionless Jets,0.158,,+36%
98,Hybrid Nozzles,0.316,+47%,+30%
99,Tritium Combustion Unit,0.053,,+32%
100,Tritium Diffuser,0.737,+54%,+39%
101,Liquid Fuel Pump,0.0,+35%,
102,Frictionless Jets,0.237,+44%,
103,Hybrid Igniter,0.053,+37%,
104,Hybrid Diffuser,0.421,,+46%
105,Hybrid Jets,0.026,,+31%
106,Hybrid Jets,0.053,,+32%
107,Hybrid Turbine,0.342,+48%,
108,Liquid Fuel Turbine,0.026,+36%,
109,Hybrid Igniter,0.0,+35%,+30%
110,Frictionless Diffuser,0.342,+38%,+40%
111,Multi-Tube Exhaust,0.421,+36%,+45%
112,Liquid Fuel Jets,0.395,+50%,
113,Tritium Dynamo,0.053,+37%,
114,Multi-Tube Diffuser,0.132,,+35%
115,Liquid Fuel Diffuser,0.026,,+31%
116,Liquid Fuel Nozzles,0.0,,+30%
117,Tritium Diffuser,0.0,,+30%
118,Liquid Fuel Nozzles,0.395,,+45%
119,Hybrid Dynamo,0.211,,+38%
120,Liquid Fuel Tanks,0.0,,+30%
121,Liquid Fuel Nozzles,0.184,+38%,+34%
122,Liquid Fuel Dynamo,0.0,+35%,
123,Hybrid Nozzles,0.421,+47%,+34%
124,Multi-Tube Dynamo,0.0,+35%,
125,Frictionless Combustion Unit,0.105,,+34%
126,Multi-Tube Exhaust,0.395,+50%,
127,Liquid Fuel Igniter,0.079,,+33%
128,Hybrid Combustion Unit,0.158,+41%,
129,Tritium Combustion Unit,0.263,+40%,+35%
130,Tritium Nozzles,0.105,,+34%
131,Hybrid Jets,0.158,+35%,+36%
132,Hybrid Nozzles,0.0,,+30%
133,Multi-Tube Nozzles,0.053,+37%,
134,Liquid Fuel Pump,0.421,+51%,
135,Frictionless Combustion Unit,0.079,,+33%
136,Liquid Fuel Diffuser,0.474,+52%,+31%
137,Hybrid Combustion Unit,0.447,+52%,
138,Liquid Fuel Tanks,0.053,,+32%
139,Hybrid Pump,0.079,+38%,
140,Liquid Fuel Exhaust,0.368,+49%,
141,Multi-Tube Turbine,0.474,+53%,
142,Liquid Fuel Exhaust,0.026,,+31%
143,Tritium Diffuser,0.184,+42%,
144,Hybrid Combustion Unit,0.0,,+30%
145,Tritium Igniter,0.184,,+37%
146,Frictionless Tanks,0.053,,+32%
147,Hybrid Dynamo,0.237,+44%,
148,Tritium Jets,0.0,,+30%
149,Multi-Tube Pump,0.211,,+38%
150,Tritium Tanks,0.132,+40%,
151,Multi-Tube Pump,0.026,+36%,
152,Multi-Tube Jets,0.289,,+41%
153,Tritium Turbine,0.0,,+30%
154,Tritium Nozzles,0.184,,+37%
155,Frictionless Nozzles,0.132,+40%,
156,Multi-Tube Dynamo,0.026,+36%,
157,Hybrid Tanks,0.211,+36%,+37%
158,Multi-Tube Turbine,0.0,+35%,
159,Hybrid Jets,0.0,,+30%
160,Multi-Tube Jets,0.368,+49%,
161,Multi-Tube Dynamo,0.105,+37%,+32%
162,Multi-Tube Diffuser,0.0,,+30%
163,Liquid Fuel Tanks,0.342,,+43%
164,Tritium Jets,0.263,+45%,+30%
165,Hybrid Dynamo,0.421,,+46%
