Seed,Name,Perfection,Vehicle_EngineFuelUse,Vehicle_EngineTopSpeed
0,Alternate Magnetic Fan,0.25,-2%,
1,Alternate Magnetic Fan,0.5,,+2%
2,Backup Neutrino Injector,1.0,,+3%
3,Tuned Hydrogen Dynamo,1.0,,+3%
4,Tuned Hydrogen Dynamo,0.5,-3%,
5,Secondary Shockwave Shield,1.0,,+3%
6,Backup Electron Loom,1.0,,+3%
7,Alternate Hydrogen Dynamo,0.25,-2%,
8,Efficient Neutrino Injector,0.25,-2%,
9,Efficient Shockwave Shield,0.5,,+2%
10,Secondary Shockwave Shield,0.5,,+2%
11,Tuned Magnetic Fan,1.0,,+3%
12,Tuned Neutrino Injector,0.75,-4%,
13,Efficient Thrust Controller,0.5,,+2%
14,Efficient Impulse Nozzle,1.0,,+3%
15,Tuned Impulse Nozzle,0.5,,+2%
16,Backup Thrust Controller,0.75,-4%,
17,Secondary Plasma Exhaust,0.75,-4%,
18,Secondary Propulsion Unit,0.75,-4%,
19,Backup Magnetic Fan,0.5,,+2%
20,Efficient Plasma Exhaust,0.5,-3%,
21,Secondary Neutrino Injector,0.5,-3%,
22,Tuned Hydrogen Dynamo,0.5,-3%,
23,Alternate Hydrogen Dynamo,0.5,,+2%
24,Backup Plasma Exhaust,1.0,,+3%
25,Secondary Impulse Nozzle,1.0,,+3%
26,Secondary Plasma Exhaust,0.25,-2%,
27,Alternate Propulsion Unit,0.5,,+2%
28,Secondary Impulse Nozzle,0.5,,+2%
29,Secondary Neutrino Injector,1.0,,+3%
30,Efficient Neutrino Injector,0.5,,+2%
31,Efficient Thrust Controller,0.5,-3%,
32,Alternate Hydrogen Dynamo,0.25,-2%,
33,Efficient Impulse Nozzle,0.25,-2%,
34,Alternate Propulsion Unit,0.5,,+2%
35,Alternate Plasma Exhaust,0.25,-2%,
36,Secondary Plasma Exhaust,0.75,-4%,
37,Backup Thrust Controller,0.25,-2%,
38,Tuned Fuel Pipes,0.5,,+2%
39,Alternate Magnetic Fan,1.0,,+3%
40,Alternate Hydrogen Dynamo,0.25,-2%,
41,Alternate Electron Loom,0.5,-3%,
42,Secondary Plasma Exhaust,0.75,-4%,
43,Alternate Electron Loom,0.5,-3%,
44,Efficient Propulsion Unit,0.25,-2%,
45,Efficient Neutrino Injector,1.0,,+3%
46,Alternate Plasma Exhaust,0.5,,+2%
47,Tuned Magnetic Fan,1.0,,+3%
48,Secondary Propulsion Unit,1.0,,+3%
49,Backup Hydrogen Dynamo,0.5,,+2%
50,Backup Thrust Controller,0.25,-2%,
51,Tuned Hydrogen Dynamo,0.5,,+2%
52,Backup Neutrino Injector,0.5,,+2%
53,Tuned Magnetic Fan,0.5,,+2%
54,Tuned Plasma Exhaust,0.5,,+2%
55,Tuned Hydrogen Dynamo,0.5,,+2%
56,Tuned Impulse Nozzle,0.5,,+2%
57,Alternate Electron Loom,0.5,-3%,
58,Secondary Thrust Controller,0.25,-2%,
59,Efficient Hydrogen Dynamo,0.5,,+2%
60,Efficient Plasma Exhaust,0.5,-3%,
61,Alternate Electron Loom,0.5,,+2%
62,Alternate Neutrino Injector,0.75,-4%,
63,Tuned Fuel Pipes,0.5,,+2%
64,Tuned Electron Loom,1.0,-5%,
65,Backup Neutrino Injector,0.25,-2%,
66,Secondary Fuel Pipes,0.25,-2%,
67,Backup Hydrogen Dynamo,0.75,-4%,
68,Backup Magnetic Fan,0.5,-3%,
69,Secondary Hydrogen Dynamo,1.0,,+3%
70,Secondary Electron Loom,1.0,-5%,
71,Efficient Impulse Nozzle,0.5,,+2%
72,Secondary Shockwave Shield,0.5,,+2%
73,Secondary Thrust Controller,0.5,,+2%
74,Backup Neutrino Injector,0.75,-4%,
75,Secondary Propulsion Unit,0.5,,+2%
76,Backup Neutrino Injector,0.5,,+2%
77,Efficient Hydrogen Dynamo,1.0,-5%,
78,Secondary Neutrino Injector,0.5,,+2%
79,Alternate Thrust Controller,1.0,-5%,
80,Alternate Fuel Pipes,1.0,,+3%
81,Secondary Hydrogen Dynamo,0.5,-3%,
82,Backup Plasma Exhaust,0.75,-4%,
83,Backup Fuel Pipes,0.5,-3%,
84,Alternate Fuel Pipes,1.0,,+3%
85,Tuned Shockwave Shield,0.5,,+2%
86,Efficient Plasma Exhaust,1.0,,+3%
87,Secondary Propulsion Unit,0.25,-2%,
88,Tuned Plasma Exhaust,0.25,-2%,
89,Secondary Hydrogen Dynamo,1.0,-5%,
90,Tuned Electron Loom,0.5,-3%,
91,Backup Magnetic Fan,0.5,,+2%
92,Alternate Electron Loom,1.0,,+3%
93,Alternate Impulse Nozzle,0.5,,+2%
94,Efficient Hydrogen Dynamo,0.5,,+2%
95,Alternate Magnetic Fan,0.25,-2%,
96,Alternate Propulsion Unit,1.0,,+3%
97,Secondary Magnetic Fan,0.5,,+2%
98,Efficient Electron Loom,0.5,,+2%
99,Tuned Fuel Pipes,0.5,,+2%
100,Tuned Neutrino Injector,0.5,,+2%
101,Alternate Thrust Controller,1.0,-5%,
102,Secondary Magnetic Fan,0.25,-2%,
103,Efficient Shockwave Shield,0.5,-3%,
104,Efficient Neutrino Injector,1.0,,+3%
105,Efficient Magnetic Fan,0.5,,+2%
106,Efficient Magnetic Fan,0.5,,+2%
107,Efficient Plasma Exhaust,0.25,-2%,
108,Alternate Plasma Exhaust,0.75,-4%,
109,Efficient Shockwave Shield,0.5,,+2%
110,Secondary Neutrino Injector,1.0,,+3%
111,Backup Impulse Nozzle,0.75,-4%,
112,Alternate Magnetic Fan,0.25,-2%,
113,Tuned Hydrogen Dynamo,0.5,-3%,
114,Backup Neutrino Injector,0.5,,+2%
115,Alternate Neutrino Injector,0.5,,+2%
116,Alternate Electron Loom,0.5,,+2%
