sep=,
Seed,Name,Perfection,Vehicle_GunDamage,Vehicle_GunHeatTime,Vehicle_GunRate
0,Reinforced Recycler,0.0,+1%,,
1,Reinforced Recycler,0.344,,+2%,+2%
2,Additional Capacitors,0.5,+3%,,
3,Well-Made Core,0.25,,,+2%
4,Well-Made Core,0.125,,+2%,
5,Backup Plating,0.25,+2%,,
6,Additional Stabiliser,0.25,,,+2%
7,Reinforced Core,0.5,+3%,,
8,Copper Capacitors,0.344,+2%,+2%,
9,Copper Plating,0.5,,+5%,
10,Backup Plating,0.25,,,+2%
11,Well-Made Recycler,0.25,,,+2%
12,Well-Made Capacitors,0.25,+1%,,+2%
13,Copper Mass Chamber,0.5,,,+3%
14,Copper Injectors,0.25,,,+2%
15,Well-Made Injectors,0.25,+2%,,
16,Additional Mass Chamber,0.25,,+3%,
17,Backup Magnets,0.156,+1%,+2%,
18,Backup Accelerator,0.156,+1%,+2%,
19,Additional Recycler,0.688,,+3%,+3%
20,Copper Magnets,0.156,+1%,+2%,
21,Backup Capacitors,0.812,+2%,+5%,
22,Well-Made Core,0.125,,+2%,
23,Reinforced Core,0.25,,,+2%
24,Additional Magnets,0.25,,,+2%
25,Backup Injectors,0.5,,,+3%
26,Backup Magnets,0.25,+2%,,
27,Reinforced Accelerator,0.5,,+5%,
28,Backup Injectors,0.344,,+2%,+2%
29,Backup Capacitors,0.5,,,+3%
30,Copper Capacitors,0.5,,,+3%
31,Copper Mass Chamber,0.25,+1%,,+2%
32,Reinforced Core,0.25,+2%,,
33,Copper Injectors,0.344,+2%,+2%,
34,Reinforced Accelerator,0.25,,,+2%
35,Reinforced Magnets,0.25,+2%,,
36,Backup Magnets,0.25,,,+2%
37,Additional Mass Chamber,0.25,+2%,,
38,Well-Made Generator Unit,0.344,,+2%,+2%
39,Reinforced Recycler,0.25,,,+2%
40,Reinforced Core,0.0,+1%,,
41,Reinforced Stabiliser,0.125,,+2%,
42,Backup Magnets,0.375,,+4%,
43,Reinforced Stabiliser,0.469,+1%,+4%,
44,Copper Accelerator,0.0,+1%,,
45,Copper Capacitors,0.812,,+5%,+2%
46,Reinforced Magnets,0.25,+2%,,
47,Well-Made Recycler,0.25,,,+2%
48,Backup Accelerator,0.25,,,+2%
49,Additional Core,0.25,,+3%,
50,Additional Mass Chamber,0.0,+1%,,
51,Well-Made Core,0.25,,+3%,
52,Additional Capacitors,0.125,,+2%,
53,Well-Made Recycler,0.25,,,+2%
54,Well-Made Magnets,0.812,,+5%,+2%
55,Well-Made Core,0.5,,+3%,+2%
56,Well-Made Injectors,0.25,,,+2%
57,Reinforced Stabiliser,0.375,,+4%,
58,Backup Mass Chamber,0.25,+2%,,
59,Copper Core,0.375,,+4%,
60,Copper Magnets,0.125,,+2%,
61,Reinforced Stabiliser,0.0,+1%,,
62,Reinforced Capacitors,0.125,,+2%,
63,Well-Made Generator Unit,0.25,,,+2%
64,Well-Made Stabiliser,0.375,,+4%,
65,Additional Capacitors,0.5,+3%,,
66,Backup Generator Unit,0.5,+3%,,
67,Additional Core,0.125,,+2%,
68,Additional Recycler,0.25,,,+2%
69,Backup Core,0.25,+1%,,+2%
70,Backup Stabiliser,0.25,,,+2%
71,Copper Injectors,0.125,,+2%,
72,Backup Plating,0.25,,+3%,
73,Backup Mass Chamber,0.25,,,+2%
74,Additional Capacitors,0.25,,+3%,
75,Backup Accelerator,0.25,,,+2%
76,Additional Capacitors,0.125,,+2%,
77,Copper Core,0.25,+1%,,+2%
78,Backup Capacitors,0.125,,+2%,
79,Reinforced Mass Chamber,0.469,+1%,+4%,
80,Reinforced Generator Unit,0.0,+1%,,
81,Backup Core,0.125,,+2%,
82,Additional Magnets,0.25,,+3%,
83,Additional Generator Unit,0.25,,,+2%
84,Reinforced Generator Unit,0.25,,,+2%
85,Well-Made Plating,0.0,+1%,,
86,Copper Magnets,0.0,+1%,,
87,Backup Accelerator,0.75,+2%,,+3%
88,Well-Made Magnets,0.344,+2%,+2%,
89,Backup Core,0.5,,,+3%
90,Well-Made Stabiliser,0.25,,+3%,
91,Additional Recycler,0.125,,+2%,
92,Reinforced Stabiliser,0.25,,,+2%
93,Reinforced Injectors,0.25,,,+2%
94,Copper Core,0.25,,,+2%
95,Reinforced Recycler,0.5,+3%,,
96,Reinforced Accelerator,0.25,,,+2%
97,Backup Recycler,0.5,,,+3%
98,Copper Stabiliser,0.5,+2%,,+2%
99,Well-Made Generator Unit,0.5,,+5%,
100,Well-Made Capacitors,0.75,+3%,,+2%
101,Reinforced Mass Chamber,0.25,,+3%,
102,Backup Recycler,0.25,+2%,,
103,Copper Plating,0.25,,,+2%
104,Copper Capacitors,0.5,,,+3%
105,Copper Recycler,0.25,,+3%,
106,Copper Recycler,0.125,,+2%,
107,Copper Magnets,0.25,+2%,,
108,Reinforced Magnets,0.25,,+3%,
109,Copper Plating,0.656,,+4%,+2%
110,Backup Capacitors,0.5,+1%,,+3%
111,Additional Injectors,0.5,+2%,,+2%
112,Reinforced Recycler,0.25,+2%,,
113,Well-Made Core,0.25,,,+2%
114,Additional Capacitors,0.25,,,+2%
115,Reinforced Capacitors,0.125,,+2%,
116,Reinforced Stabiliser,0.125,,+2%,
117,Well-Made Capacitors,0.5,,,+3%
118,Reinforced Stabiliser,0.5,,,+3%
119,Copper Core,0.25,,,+2%
120,Reinforced Accelerator,0.375,,+4%,
121,Reinforced Stabiliser,0.312,+1%,+3%,
122,Reinforced Core,0.125,,+2%,
123,Copper Stabiliser,0.344,,+2%,+2%
124,Additional Core,0.25,,+3%,
125,Backup Generator Unit,0.25,,,+2%
126,Additional Injectors,0.25,+2%,,
127,Reinforced Plating,0.5,,,+3%
128,Copper Generator Unit,0.0,+1%,,
129,Well-Made Generator Unit,0.344,,+2%,+2%
130,Well-Made Stabiliser,0.125,,+2%,
131,Copper Recycler,0.156,+1%,+2%,
132,Copper Stabiliser,0.5,,,+3%
133,Additional Stabiliser,0.25,,,+2%
134,Reinforced Mass Chamber,0.0,+1%,,
135,Backup Generator Unit,0.25,,,+2%
136,Reinforced Capacitors,0.344,,+2%,+2%
137,Copper Generator Unit,0.0,+1%,,
138,Reinforced Accelerator,0.125,,+2%,
139,Copper Mass Chamber,0.125,,+2%,
140,Reinforced Injectors,0.0,+1%,,
141,Additional Magnets,0.25,+2%,,
142,Reinforced Injectors,0.5,,,+3%
143,Well-Made Capacitors,0.25,+2%,,
144,Copper Generator Unit,0.125,,+2%,
145,Well-Made Plating,0.25,,,+2%
146,Backup Accelerator,0.125,,+2%,
147,Copper Core,0.25,+2%,,
148,Well-Made Recycler,0.125,,+2%,
149,Additional Mass Chamber,0.25,,,+2%
150,Well-Made Accelerator,0.25,+2%,,
151,Additional Mass Chamber,0.375,,+4%,
152,Additional Recycler,0.25,,,+2%
153,Well-Made Magnets,0.125,,+2%,
154,Well-Made Stabiliser,0.5,,,+3%
155,Backup Stabiliser,0.0,+1%,,
156,Additional Core,0.125,,+2%,
157,Copper Accelerator,0.344,+2%,+2%,
158,Additional Magnets,0.125,,+2%,
159,Copper Recycler,0.5,,,+3%
160,Additional Recycler,0.0,+1%,,
161,Additional Core,0.312,+1%,+3%,
162,Additional Capacitors,0.125,,+2%,
163,Reinforced Accelerator,0.0,+1%,,
164,Well-Made Recycler,0.312,+1%,+3%,
165,Copper Core,0.25,,,+2%
166,Copper Capacitors,0.312,+1%,+3%,
167,Reinforced Magnets,0.25,,,+2%
168,Reinforced Injectors,0.25,,,+2%
169,Well-Made Generator Unit,0.25,,,+2%
170,Backup Plating,0.656,+2%,+4%,
171,Backup Injectors,0.25,,,+2%
172,Additional Plating,0.25,,,+2%
173,Reinforced Generator Unit,0.0,+1%,,
174,Additional Stabiliser,0.688,,+3%,+3%
175,Copper Capacitors,0.5,,+5%,
176,Well-Made Injectors,0.25,,,+2%
177,Reinforced Stabiliser,0.25,+2%,,
178,Backup Injectors,0.469,+1%,+4%,
179,Copper Generator Unit,0.5,,+5%,
180,Well-Made Plating,0.0,+1%,,
181,Backup Generator Unit,0.5,+2%,,+2%
182,Backup Core,0.656,,+4%,+2%
183,Copper Mass Chamber,0.469,+1%,+4%,
184,Well-Made Core,0.0,+1%,,
185,Well-Made Stabiliser,0.0,+1%,,
186,Additional Mass Chamber,0.125,,+2%,
187,Well-Made Injectors,0.344,,+2%,+2%
188,Backup Core,0.25,+1%,,+2%
189,Reinforced Plating,0.656,,+4%,+2%
190,Backup Plating,0.5,+2%,,+2%
191,Backup Accelerator,0.375,,+4%,
192,Backup Magnets,0.344,+2%,+2%,
193,Additional Core,0.344,+2%,+2%,
194,Well-Made Magnets,0.125,,+2%,
195,Reinforced Injectors,0.25,,,+2%
196,Copper Injectors,0.25,,+3%,
197,Backup Stabiliser,0.25,,,+2%
198,Backup Recycler,0.25,,+3%,
199,Well-Made Plating,0.344,,+2%,+2%
200,Backup Accelerator,0.5,,+5%,
201,Backup Stabiliser,0.25,+2%,,
202,Copper Stabiliser,0.25,,,+2%
203,Backup Plating,0.25,+2%,,
204,Backup Core,0.25,,,+2%
205,Reinforced Generator Unit,0.25,,,+2%
206,Copper Plating,0.25,,,+2%
207,Additional Recycler,0.0,+1%,,
208,Backup Stabiliser,0.5,+1%,,+3%
209,Copper Generator Unit,0.531,,+2%,+3%
210,Copper Accelerator,0.25,,,+2%
211,Copper Core,0.5,,,+3%
212,Reinforced Recycler,0.25,,,+2%
213,Well-Made Plating,0.5,,+5%,
214,Backup Accelerator,0.5,,,+3%
215,Well-Made Generator Unit,0.25,+2%,,
216,Additional Magnets,0.125,,+2%,
217,Backup Injectors,0.25,,+3%,
218,Reinforced Core,0.25,,+3%,
219,Backup Plating,0.344,,+2%,+2%
220,Copper Mass Chamber,0.25,,,+2%
221,Well-Made Mass Chamber,0.25,,,+2%
222,Copper Injectors,0.469,+1%,+4%,
223,Additional Injectors,0.25,,+3%,
224,Well-Made Capacitors,0.25,,,+2%
225,Reinforced Plating,0.5,,,+3%
226,Backup Capacitors,0.812,,+5%,+2%
227,Reinforced Mass Chamber,0.344,+2%,+2%,
228,Reinforced Magnets,0.156,+1%,+2%,
229,Backup Stabiliser,0.25,,,+2%
230,Copper Mass Chamber,0.25,,+3%,
231,Copper Accelerator,0.25,,,+2%
232,Reinforced Recycler,0.25,+2%,,
233,Well-Made Mass Chamber,0.125,,+2%,
234,Additional Capacitors,0.344,,+2%,+2%
235,Reinforced Recycler,0.0,+1%,,
236,Additional Injectors,0.5,,,+3%
237,Copper Plating,0.25,,,+2%
238,Copper Core,0.531,,+2%,+3%
239,Additional Magnets,0.25,,,+2%
240,Copper Magnets,0.25,,,+2%
241,Backup Recycler,0.375,,+4%,
242,Copper Stabiliser,0.375,,+4%,
243,Additional Stabiliser,0.25,,,+2%
244,Well-Made Magnets,0.25,,+3%,
245,Additional Stabiliser,0.25,+2%,,
246,Well-Made Injectors,0.25,,,+2%
247,Backup Magnets,0.344,+2%,+2%,
248,Reinforced Recycler,0.5,,+3%,+2%
249,Copper Capacitors,0.5,+3%,,
250,Reinforced Capacitors,0.25,+1%,,+2%
251,Backup Recycler,0.25,,,+2%
252,Additional Mass Chamber,0.25,,,+2%
253,Well-Made Plating,0.156,+1%,+2%,
254,Copper Injectors,0.0,+1%,,
255,Additional Magnets,0.25,+1%,,+2%
256,Reinforced Plating,0.469,+1%,+4%,
257,Reinforced Magnets,0.25,,+3%,
258,Backup Capacitors,0.25,,,+2%
259,Copper Capacitors,0.5,+1%,,+3%
260,Copper Capacitors,0.0,+1%,,
261,Reinforced Accelerator,0.125,,+2%,
262,Reinforced Recycler,0.5,,,+3%
263,Copper Mass Chamber,0.75,+2%,,+3%
264,Reinforced Recycler,0.25,,,+2%
265,Additional Generator Unit,0.344,+2%,+2%,
266,Reinforced Capacitors,0.25,+1%,,+2%
267,Well-Made Accelerator,0.375,,+4%,
268,Reinforced Generator Unit,0.25,+2%,,
269,Additional Mass Chamber,0.5,+2%,,+2%
270,Copper Injectors,0.25,,+3%,
271,Reinforced Core,0.375,,+4%,
272,Copper Generator Unit,0.25,,,+2%
273,Copper Accelerator,0.25,+1%,,+2%
274,Copper Stabiliser,0.125,,+2%,
275,Additional Stabiliser,0.0,+1%,,
276,Additional Plating,0.344,+2%,+2%,
277,Well-Made Generator Unit,0.25,,,+2%
278,Additional Accelerator,0.469,+1%,+4%,
279,Backup Injectors,0.25,+2%,,
280,Well-Made Recycler,0.656,+2%,+4%,
281,Additional Core,0.656,+2%,+4%,
282,Reinforced Core,0.344,,+2%,+2%
283,Reinforced Plating,0.25,+2%,,
284,Reinforced Core,0.0,+1%,,
285,Copper Injectors,0.0,+1%,,
286,Reinforced Capacitors,0.25,,,+2%
287,Reinforced Stabiliser,0.125,,+2%,
288,Reinforced Magnets,0.0,+1%,,
289,Copper Magnets,0.25,+2%,,
290,Well-Made Mass Chamber,0.375,,+4%,
291,Additional Mass Chamber,0.25,+2%,,
292,Well-Made Magnets,0.344,,+2%,+2%
293,Additional Capacitors,0.156,+1%,+2%,
294,Well-Made Mass Chamber,0.5,+2%,,+2%
295,Well-Made Mass Chamber,0.5,+2%,,+2%
296,Reinforced Generator Unit,1.0,+3%,,+3%
297,Additional Recycler,0.5,+1%,,+3%
298,Well-Made Magnets,0.25,,,+2%
299,Additional Injectors,0.375,,+4%,
300,Backup Injectors,0.5,+1%,,+3%
301,Copper Capacitors,0.344,+2%,+2%,
302,Backup Plating,0.5,+2%,+3%,
303,Backup Accelerator,0.5,,+5%,
304,Copper Injectors,0.125,,+2%,
305,Additional Generator Unit,0.5,,,+3%
306,Additional Plating,0.25,+2%,,
307,Additional Generator Unit,0.344,,+2%,+2%
308,Copper Magnets,0.125,,+2%,
309,Backup Magnets,0.5,,+5%,
310,Well-Made Recycler,0.25,,,+2%
311,Well-Made Core,0.0,+1%,,
312,Backup Core,0.25,+2%,,
313,Reinforced Capacitors,0.0,+1%,,
314,Backup Recycler,0.25,+2%,,
315,Additional Core,0.0,+1%,,
316,Backup Plating,0.5,+2%,,+2%
317,Reinforced Plating,0.25,+1%,,+2%
318,Well-Made Recycler,0.25,+2%,,
319,Reinforced Stabiliser,0.156,+1%,+2%,
320,Well-Made Mass Chamber,0.25,,,+2%
321,Reinforced Recycler,0.5,+1%,,+3%
322,Well-Made Magnets,0.25,,,+2%
323,Additional Core,0.312,+1%,+3%,
324,Well-Made Mass Chamber,0.25,+2%,,
325,Backup Mass Chamber,0.75,+2%,,+3%
326,Backup Generator Unit,0.125,,+2%,
327,Additional Accelerator,0.5,+2%,,+2%
328,Copper Capacitors,0.125,,+2%,
329,Copper Generator Unit,0.5,,,+3%
330,Backup Generator Unit,0.5,,,+3%
331,Additional Injectors,0.25,,,+2%
332,Copper Mass Chamber,0.125,,+2%,
333,Copper Injectors,0.125,,+2%,
334,Reinforced Recycler,0.125,,+2%,
335,Backup Stabiliser,0.156,+1%,+2%,
336,Additional Recycler,0.25,+2%,,
337,Backup Magnets,0.125,,+2%,
338,Well-Made Magnets,0.125,,+2%,
339,Reinforced Mass Chamber,0.25,,,+2%
340,Additional Capacitors,0.5,+1%,,+3%
341,Well-Made Magnets,0.25,,,+2%
342,Additional Core,0.344,+2%,+2%,
343,Copper Capacitors,0.25,,+3%,
344,Copper Accelerator,0.5,+2%,,+2%
345,Additional Core,0.0,+1%,,
346,Additional Generator Unit,0.656,+2%,+4%,
347,Copper Capacitors,0.0,+1%,,
348,Copper Magnets,0.5,,+3%,+2%
349,Reinforced Stabiliser,0.344,,+2%,+2%
350,Backup Accelerator,0.688,,+3%,+3%
351,Backup Mass Chamber,0.125,,+2%,
352,Copper Generator Unit,0.5,,+5%,
353,Copper Capacitors,0.125,,+2%,
354,Copper Core,0.25,,,+2%
355,Additional Accelerator,0.344,,+2%,+2%
356,Additional Injectors,0.25,,,+2%
357,Well-Made Core,0.0,+1%,,
358,Reinforced Mass Chamber,0.5,,+5%,
359,Reinforced Injectors,0.125,,+2%,
360,Copper Plating,0.25,,,+2%
361,Reinforced Mass Chamber,0.25,+1%,,+2%
362,Additional Core,0.25,,,+2%
363,Reinforced Accelerator,0.344,,+2%,+2%
364,Copper Capacitors,0.344,,+2%,+2%
365,Additional Plating,0.25,+2%,,
366,Reinforced Stabiliser,0.531,,+2%,+3%
367,Well-Made Injectors,0.375,,+4%,
368,Copper Capacitors,0.125,,+2%,
369,Well-Made Mass Chamber,0.25,,+3%,
370,Backup Recycler,0.5,+2%,,+2%
371,Well-Made Accelerator,0.5,+3%,,
372,Backup Recycler,0.25,+2%,,
373,Additional Plating,0.5,+1%,,+3%
374,Well-Made Recycler,0.25,,+3%,
375,Backup Stabiliser,0.25,,,+2%
376,Additional Accelerator,0.125,,+2%,
377,Well-Made Accelerator,0.5,+1%,,+3%
378,Reinforced Recycler,0.5,,,+3%
379,Reinforced Mass Chamber,0.25,,,+2%
380,Additional Stabiliser,0.5,,,+3%
381,Well-Made Recycler,0.25,,,+2%
382,Well-Made Generator Unit,0.25,,,+2%
383,Reinforced Recycler,0.125,,+2%,
384,Reinforced Stabiliser,0.25,,+3%,
385,Reinforced Plating,0.125,,+2%,
386,Additional Stabiliser,0.531,,+2%,+3%
