Seed,Name,Perfection,Vehicle_LaserDamage,Vehicle_LaserHeatTime
0,Enhanced Photon Mirror,0.667,+10%,
1,Enhanced Photon Mirror,0.5,,+3%
2,Boosted Reflector Glass,0.25,,+2%
3,Additional Cooling System,0.25,,+2%
4,Additional Cooling System,0.167,+7%,
5,Efficient Emission Chamber,0.25,,+2%
6,Boosted Output Coupler,0.25,,+2%
7,Enhanced Cooling System,0.667,+10%,
8,Retuned Reflector Glass,0.333,+8%,
9,Retuned Emission Chamber,0.5,,+3%
10,Efficient Emission Chamber,0.25,,+2%
11,Additional Photon Mirror,0.25,,+2%
12,Additional Reflector Glass,0.0,+6%,
13,Retuned Beam Capacitor,0.75,,+4%
14,Retuned Lens Optics,0.25,,+2%
15,Additional Lens Optics,0.25,,+2%
16,Boosted Beam Capacitor,0.0,+6%,
17,Efficient Diode Battery,0.0,+6%,
18,Efficient Beam Amplifier,0.0,+6%,
19,Boosted Photon Mirror,1.0,,+5%
20,Retuned Diode Battery,0.167,+7%,
21,Efficient Reflector Glass,0.0,+6%,
22,Additional Cooling System,0.167,+7%,
23,Enhanced Cooling System,0.25,,+2%
24,Boosted Diode Battery,0.25,,+2%
25,Efficient Lens Optics,0.25,,+2%
26,Efficient Diode Battery,0.167,+7%,
27,Enhanced Beam Amplifier,0.5,,+3%
28,Efficient Lens Optics,0.25,,+2%
29,Efficient Reflector Glass,0.25,,+2%
30,Retuned Reflector Glass,0.5,,+3%
31,Retuned Beam Capacitor,0.167,+7%,
32,Enhanced Cooling System,0.5,+9%,
33,Retuned Lens Optics,0.667,+10%,
34,Enhanced Beam Amplifier,0.25,,+2%
35,Enhanced Diode Battery,0.333,+8%,
36,Efficient Diode Battery,0.0,+6%,
37,Boosted Beam Capacitor,0.833,+11%,
38,Additional Light Filter,0.5,,+3%
39,Enhanced Photon Mirror,0.25,,+2%
40,Enhanced Cooling System,0.333,+8%,
41,Enhanced Output Coupler,0.167,+7%,
42,Efficient Diode Battery,0.0,+6%,
43,Enhanced Output Coupler,0.167,+7%,
44,Retuned Beam Amplifier,0.667,+10%,
45,Retuned Reflector Glass,0.25,,+2%
46,Enhanced Diode Battery,0.25,,+2%
47,Additional Photon Mirror,0.25,,+2%
48,Efficient Beam Amplifier,0.25,,+2%
49,Boosted Cooling System,0.5,,+3%
50,Boosted Beam Capacitor,0.333,+8%,
51,Additional Cooling System,1.0,,+5%
52,Boosted Reflector Glass,0.5,,+3%
53,Additional Photon Mirror,0.25,,+2%
54,Additional Diode Battery,0.75,,+4%
55,Additional Cooling System,0.5,,+3%
56,Additional Lens Optics,0.5,,+3%
57,Enhanced Output Coupler,0.167,+7%,
58,Efficient Beam Capacitor,0.333,+8%,
59,Retuned Cooling System,1.0,,+5%
60,Retuned Diode Battery,0.0,+6%,
61,Enhanced Output Coupler,0.25,,+2%
62,Enhanced Reflector Glass,0.0,+6%,
63,Additional Light Filter,0.5,,+3%
64,Additional Output Coupler,0.0,+6%,
65,Boosted Reflector Glass,0.833,+11%,
66,Efficient Light Filter,0.333,+8%,
67,Boosted Cooling System,0.0,+6%,
68,Boosted Photon Mirror,0.167,+7%,
69,Efficient Cooling System,0.25,,+2%
70,Efficient Output Coupler,0.0,+6%,
71,Retuned Lens Optics,0.75,,+4%
72,Efficient Emission Chamber,1.0,,+5%
73,Efficient Beam Capacitor,0.25,,+2%
74,Boosted Reflector Glass,0.0,+6%,
75,Efficient Beam Amplifier,0.25,,+2%
76,Boosted Reflector Glass,0.5,,+3%
77,Retuned Cooling System,0.0,+6%,
78,Efficient Reflector Glass,0.5,,+3%
79,Enhanced Beam Capacitor,0.0,+6%,
80,Enhanced Light Filter,0.25,,+2%
81,Efficient Cooling System,0.0,+6%,
82,Boosted Diode Battery,0.0,+6%,
83,Boosted Light Filter,0.167,+7%,
84,Enhanced Light Filter,0.25,,+2%
85,Additional Emission Chamber,0.25,,+2%
86,Retuned Diode Battery,0.25,,+2%
87,Efficient Beam Amplifier,0.667,+10%,
88,Additional Diode Battery,0.5,+9%,
89,Efficient Cooling System,0.0,+6%,
90,Additional Output Coupler,0.167,+7%,
91,Boosted Photon Mirror,0.75,,+4%
92,Enhanced Output Coupler,0.25,,+2%
93,Enhanced Lens Optics,0.75,,+4%
94,Retuned Cooling System,0.25,,+2%
95,Enhanced Photon Mirror,0.667,+10%,
96,Enhanced Beam Amplifier,0.25,,+2%
97,Efficient Photon Mirror,0.25,,+2%
98,Retuned Output Coupler,1.0,,+5%
99,Additional Light Filter,0.5,,+3%
100,Additional Reflector Glass,0.25,,+2%
101,Enhanced Beam Capacitor,0.0,+6%,
102,Efficient Photon Mirror,0.5,+9%,
103,Retuned Emission Chamber,0.167,+7%,
104,Retuned Reflector Glass,0.25,,+2%
105,Retuned Photon Mirror,0.5,,+3%
106,Retuned Photon Mirror,0.5,,+3%
107,Retuned Diode Battery,0.667,+10%,
108,Enhanced Diode Battery,0.0,+6%,
109,Retuned Emission Chamber,0.75,,+4%
110,Efficient Reflector Glass,0.25,,+2%
111,Boosted Lens Optics,0.0,+6%,
112,Enhanced Photon Mirror,0.667,+10%,
113,Additional Cooling System,0.167,+7%,
114,Boosted Reflector Glass,0.25,,+2%
115,Enhanced Reflector Glass,0.75,,+4%
116,Enhanced Output Coupler,0.75,,+4%
117,Additional Reflector Glass,0.75,,+4%
118,Enhanced Output Coupler,0.25,,+2%
119,Retuned Cooling System,0.25,,+2%
120,Enhanced Beam Amplifier,1.0,,+5%
121,Enhanced Output Coupler,0.167,+7%,
122,Enhanced Cooling System,0.0,+6%,
123,Retuned Output Coupler,0.5,,+3%
124,Boosted Cooling System,0.0,+6%,
125,Efficient Light Filter,0.5,,+3%
126,Boosted Lens Optics,0.833,+11%,
127,Enhanced Emission Chamber,0.5,,+3%
128,Retuned Light Filter,0.333,+8%,
129,Additional Light Filter,0.25,,+2%
130,Additional Output Coupler,0.5,,+3%
131,Retuned Photon Mirror,0.0,+6%,
132,Retuned Output Coupler,1.0,,+5%
133,Boosted Output Coupler,0.167,+7%,
134,Enhanced Beam Capacitor,0.833,+11%,
135,Efficient Light Filter,0.5,,+3%
136,Enhanced Reflector Glass,0.75,,+4%
137,Retuned Light Filter,0.833,+11%,
138,Enhanced Beam Amplifier,0.5,,+3%
139,Retuned Beam Capacitor,0.167,+7%,
140,Enhanced Lens Optics,0.667,+10%,
141,Boosted Diode Battery,1.0,+12%,
142,Enhanced Lens Optics,0.75,,+4%
143,Additional Reflector Glass,0.333,+8%,
144,Retuned Light Filter,1.0,,+5%
145,Additional Emission Chamber,0.25,,+2%
146,Efficient Beam Amplifier,0.5,,+3%
147,Retuned Cooling System,0.5,+9%,
148,Additional Photon Mirror,0.75,,+4%
149,Boosted Beam Capacitor,0.25,,+2%
150,Additional Beam Amplifier,0.333,+8%,
151,Boosted Beam Capacitor,0.0,+6%,
152,Boosted Photon Mirror,0.25,,+2%
153,Additional Diode Battery,1.0,,+5%
154,Additional Output Coupler,0.25,,+2%
155,Efficient Output Coupler,0.333,+8%,
156,Boosted Cooling System,0.0,+6%,
157,Retuned Beam Amplifier,0.0,+6%,
158,Boosted Diode Battery,0.0,+6%,
159,Retuned Photon Mirror,1.0,,+5%
160,Boosted Photon Mirror,0.667,+10%,
161,Boosted Cooling System,0.167,+7%,
162,Boosted Reflector Glass,1.0,,+5%
163,Enhanced Beam Amplifier,0.25,,+2%
164,Additional Photon Mirror,0.5,+9%,
165,Retuned Cooling System,0.25,,+2%
166,Retuned Reflector Glass,0.5,+9%,
167,Enhanced Diode Battery,0.25,,+2%
168,Enhanced Lens Optics,0.0,+6%,
169,Additional Light Filter,0.75,,+4%
170,Efficient Emission Chamber,0.667,+10%,
171,Efficient Lens Optics,0.0,+6%,
172,Boosted Emission Chamber,0.0,+6%,
173,Enhanced Light Filter,0.833,+11%,
174,Boosted Output Coupler,0.25,,+2%
175,Retuned Reflector Glass,0.167,+7%,
176,Additional Lens Optics,0.25,,+2%
177,Enhanced Output Coupler,0.667,+10%,
178,Efficient Lens Optics,0.167,+7%,
179,Retuned Light Filter,1.0,,+5%
180,Additional Emission Chamber,0.667,+10%,
181,Efficient Light Filter,0.333,+8%,
182,Efficient Cooling System,1.0,,+5%
183,Retuned Beam Capacitor,0.333,+8%,
184,Additional Cooling System,0.5,+9%,
185,Additional Output Coupler,0.5,+9%,
186,Boosted Beam Capacitor,0.5,,+3%
187,Additional Lens Optics,0.5,,+3%
188,Efficient Cooling System,0.0,+6%,
189,Enhanced Emission Chamber,0.25,,+2%
190,Efficient Emission Chamber,0.5,,+3%
191,Efficient Beam Amplifier,0.5,,+3%
192,Efficient Diode Battery,0.167,+7%,
193,Boosted Cooling System,0.0,+6%,
194,Additional Diode Battery,0.5,,+3%
195,Enhanced Lens Optics,0.25,,+2%
196,Retuned Lens Optics,0.75,,+4%
197,Efficient Output Coupler,0.25,,+2%
198,Efficient Photon Mirror,0.0,+6%,
199,Additional Emission Chamber,1.0,,+5%
200,Efficient Beam Amplifier,0.0,+6%,
201,Efficient Output Coupler,0.667,+10%,
202,Retuned Output Coupler,0.0,+6%,
203,Efficient Emission Chamber,0.5,+9%,
204,Efficient Cooling System,0.25,,+2%
205,Enhanced Light Filter,0.25,,+2%
206,Retuned Emission Chamber,0.5,,+3%
207,Boosted Photon Mirror,0.25,,+2%
208,Efficient Output Coupler,0.833,+11%,
209,Retuned Light Filter,0.25,,+2%
210,Retuned Beam Amplifier,0.0,+6%,
211,Retuned Cooling System,0.25,,+2%
212,Enhanced Photon Mirror,0.25,,+2%
213,Additional Emission Chamber,0.0,+6%,
214,Efficient Beam Amplifier,0.0,+6%,
215,Additional Light Filter,0.333,+8%,
216,Boosted Diode Battery,0.75,,+4%
217,Efficient Lens Optics,0.0,+6%,
218,Enhanced Cooling System,1.0,,+5%
219,Efficient Emission Chamber,0.75,,+4%
220,Retuned Beam Capacitor,0.25,,+2%
