Seed	Name	Perfection	Vehicle_EngineFuelUse	Vehicle_BoostTanks
0	Heated Magnetic Fan	0.0	-6%	
1	Heated Magnetic Fan	0.25		+11%
2	Upgraded Neutrino Injector	0.75		+13%
3	Stabilised Hydrogen Dynamo	1.0		+14%
4	Stabilised Hydrogen Dynamo	0.25	-7%	
5	Rewired Shockwave Shield	0.75		+13%
6	Upgraded Electron Loom	0.75		+13%
7	Heated Hydrogen Dynamo	0.0	-6%	
8	Polished Neutrino Injector	0.0	-6%	
9	Polished Shockwave Shield	0.0		+10%
10	Rewired Shockwave Shield	0.25		+11%
11	Stabilised Magnetic Fan	1.0		+14%
12	Stabilised Neutrino Injector	0.75	-9%	
13	Polished Thrust Controller	0.0		+10%
14	Polished Impulse Nozzle	1.0		+14%
15	Stabilised Impulse Nozzle	0.25		+11%
16	Upgraded Thrust Controller	0.5	-8%	
17	Rewired Plasma Exhaust	0.5	-8%	
18	Rewired Propulsion Unit	0.75	-9%	
19	Upgraded Magnetic Fan	0.0		+10%
20	Polished Plasma Exhaust	0.25	-7%	
21	Rewired Neutrino Injector	0.5	-8%	
22	Stabilised Hydrogen Dynamo	0.25	-7%	
23	Heated Hydrogen Dynamo	0.25		+11%
24	Upgraded Plasma Exhaust	0.5		+12%
25	Rewired Impulse Nozzle	0.75		+13%
26	Rewired Plasma Exhaust	0.25	-7%	
27	Heated Propulsion Unit	0.0		+10%
28	Rewired Impulse Nozzle	0.5		+12%
29	Rewired Neutrino Injector	0.75		+13%
30	Polished Neutrino Injector	0.0		+10%
31	Polished Thrust Controller	0.25	-7%	
32	Heated Hydrogen Dynamo	0.0	-6%	
33	Polished Impulse Nozzle	0.0	-6%	
34	Heated Propulsion Unit	0.25		+11%
35	Heated Plasma Exhaust	0.0	-6%	
36	Rewired Plasma Exhaust	0.75	-9%	
37	Upgraded Thrust Controller	0.0	-6%	
38	Stabilised Fuel Pipes	0.25		+11%
39	Heated Magnetic Fan	1.0		+14%
40	Heated Hydrogen Dynamo	0.25	-7%	
41	Heated Electron Loom	0.25	-7%	
42	Rewired Plasma Exhaust	0.75	-9%	
43	Heated Electron Loom	0.25	-7%	
44	Polished Propulsion Unit	0.0	-6%	
45	Polished Neutrino Injector	1.0		+14%
46	Heated Plasma Exhaust	0.5		+12%
47	Stabilised Magnetic Fan	1.0		+14%
48	Rewired Propulsion Unit	0.5		+12%
49	Upgraded Hydrogen Dynamo	0.0		+10%
50	Upgraded Thrust Controller	0.0	-6%	
51	Stabilised Hydrogen Dynamo	0.0		+10%
52	Upgraded Neutrino Injector	0.25		+11%
53	Stabilised Magnetic Fan	0.25		+11%
54	Stabilised Plasma Exhaust	0.0		+10%
55	Stabilised Hydrogen Dynamo	0.0		+10%
56	Stabilised Impulse Nozzle	0.0		+10%
57	Heated Electron Loom	0.25	-7%	
58	Rewired Thrust Controller	0.0	-6%	
59	Polished Hydrogen Dynamo	0.0		+10%
60	Polished Plasma Exhaust	0.5	-8%	
61	Heated Electron Loom	0.5		+12%
62	Heated Neutrino Injector	0.5	-8%	
63	Stabilised Fuel Pipes	0.0		+10%
64	Stabilised Electron Loom	1.0	-10%	
65	Upgraded Neutrino Injector	0.0	-6%	
66	Rewired Fuel Pipes	0.0	-6%	
67	Upgraded Hydrogen Dynamo	0.5	-8%	
68	Upgraded Magnetic Fan	0.25	-7%	
69	Rewired Hydrogen Dynamo	0.5		+12%
70	Rewired Electron Loom	0.75	-9%	
71	Polished Impulse Nozzle	0.0		+10%
72	Rewired Shockwave Shield	0.0		+10%
73	Rewired Thrust Controller	0.5		+12%
74	Upgraded Neutrino Injector	0.75	-9%	
75	Rewired Propulsion Unit	0.5		+12%
76	Upgraded Neutrino Injector	0.0		+10%
77	Polished Hydrogen Dynamo	1.0	-10%	
78	Rewired Neutrino Injector	0.25		+11%
79	Heated Thrust Controller	0.75	-9%	
80	Heated Fuel Pipes	0.75		+13%
81	Rewired Hydrogen Dynamo	0.5	-8%	
82	Upgraded Plasma Exhaust	0.5	-8%	
83	Upgraded Fuel Pipes	0.25	-7%	
84	Heated Fuel Pipes	1.0		+14%
85	Stabilised Shockwave Shield	0.5		+12%
86	Polished Plasma Exhaust	0.5		+12%
87	Rewired Propulsion Unit	0.0	-6%	
88	Stabilised Plasma Exhaust	0.0	-6%	
89	Rewired Hydrogen Dynamo	1.0	-10%	
90	Stabilised Electron Loom	0.25	-7%	
91	Upgraded Magnetic Fan	0.0		+10%
92	Heated Electron Loom	0.75		+13%
93	Heated Impulse Nozzle	0.0		+10%
94	Polished Hydrogen Dynamo	0.25		+11%
95	Heated Magnetic Fan	0.0	-6%	
96	Heated Propulsion Unit	0.75		+13%
97	Rewired Magnetic Fan	0.25		+11%
98	Polished Electron Loom	0.0		+10%
99	Stabilised Fuel Pipes	0.0		+10%
100	Stabilised Neutrino Injector	0.5		+12%
101	Heated Thrust Controller	1.0	-10%	
102	Rewired Magnetic Fan	0.0	-6%	
103	Polished Shockwave Shield	0.25	-7%	
104	Polished Neutrino Injector	1.0		+14%
105	Polished Magnetic Fan	0.0		+10%
106	Polished Magnetic Fan	0.0		+10%
107	Polished Plasma Exhaust	0.0	-6%	
108	Heated Plasma Exhaust	0.5	-8%	
109	Polished Shockwave Shield	0.0		+10%
110	Rewired Neutrino Injector	0.5		+12%
111	Upgraded Impulse Nozzle	0.5	-8%	
112	Heated Magnetic Fan	0.0	-6%	
113	Stabilised Hydrogen Dynamo	0.5	-8%	
114	Upgraded Neutrino Injector	0.25		+11%
115	Heated Neutrino Injector	0.0		+10%
116	Heated Electron Loom	0.0		+10%
117	Stabilised Neutrino Injector	0.0		+10%
118	Heated Electron Loom	0.75		+13%
119	Polished Hydrogen Dynamo	0.5		+12%
120	Heated Propulsion Unit	0.0		+10%
121	Heated Electron Loom	0.25	-7%	
122	Heated Hydrogen Dynamo	1.0	-10%	
123	Polished Electron Loom	0.25		+11%
124	Upgraded Hydrogen Dynamo	0.75	-9%	
125	Rewired Fuel Pipes	0.25		+11%
126	Upgraded Impulse Nozzle	0.0	-6%	
127	Heated Shockwave Shield	0.0		+10%
128	Polished Fuel Pipes	0.0	-6%	
129	Stabilised Fuel Pipes	0.25		+11%
130	Stabilised Electron Loom	0.25		+11%
131	Polished Magnetic Fan	0.75	-9%	
132	Polished Electron Loom	0.0		+10%
133	Upgraded Electron Loom	0.25	-7%	
134	Heated Thrust Controller	0.0	-6%	
135	Rewired Fuel Pipes	0.0		+10%
136	Heated Neutrino Injector	0.0		+10%
137	Polished Fuel Pipes	0.0	-6%	
138	Heated Propulsion Unit	0.0		+10%
139	Polished Thrust Controller	0.25	-7%	
140	Heated Impulse Nozzle	0.0	-6%	
141	Upgraded Plasma Exhaust	0.0	-6%	
142	Heated Impulse Nozzle	0.0		+10%
143	Stabilised Neutrino Injector	0.0	-6%	
144	Polished Fuel Pipes	0.0		+10%
145	Stabilised Shockwave Shield	0.25		+11%
146	Rewired Propulsion Unit	0.0		+10%
147	Polished Hydrogen Dynamo	0.0	-6%	
148	Stabilised Magnetic Fan	0.0		+10%
149	Upgraded Thrust Controller	0.5		+12%
150	Stabilised Propulsion Unit	0.25	-7%	
151	Upgraded Thrust Controller	0.5	-8%	
152	Upgraded Magnetic Fan	0.5		+12%
153	Stabilised Plasma Exhaust	0.0		+10%
154	Stabilised Electron Loom	0.25		+11%
155	Rewired Electron Loom	0.25	-7%	
156	Upgraded Hydrogen Dynamo	0.5	-8%	
157	Polished Propulsion Unit	0.5	-8%	
158	Upgraded Plasma Exhaust	0.75	-9%	
159	Polished Magnetic Fan	0.0		+10%
160	Upgraded Magnetic Fan	0.0	-6%	
161	Upgraded Hydrogen Dynamo	0.5	-8%	
162	Upgraded Neutrino Injector	0.0		+10%
163	Heated Propulsion Unit	0.75		+13%
164	Stabilised Magnetic Fan	0.0	-6%	
165	Polished Hydrogen Dynamo	1.0		+14%
166	Polished Neutrino Injector	0.0	-6%	
167	Heated Plasma Exhaust	0.5		+12%
168	Heated Impulse Nozzle	0.75	-9%	
169	Stabilised Fuel Pipes	0.0		+10%
170	Rewired Shockwave Shield	0.0	-6%	
171	Rewired Impulse Nozzle	0.5	-8%	
172	Upgraded Shockwave Shield	0.75	-9%	
173	Heated Fuel Pipes	0.0	-6%	
174	Upgraded Electron Loom	0.25		+11%
175	Polished Neutrino Injector	0.25	-7%	
176	Stabilised Impulse Nozzle	1.0		+14%
177	Heated Electron Loom	0.0	-6%	
178	Rewired Impulse Nozzle	0.5	-8%	
179	Polished Fuel Pipes	0.0		+10%
180	Stabilised Shockwave Shield	0.0	-6%	
181	Rewired Fuel Pipes	0.0	-6%	
182	Rewired Hydrogen Dynamo	0.0		+10%
183	Polished Thrust Controller	0.0	-6%	
184	Stabilised Hydrogen Dynamo	0.0	-6%	
185	Stabilised Electron Loom	0.0	-6%	
186	Upgraded Thrust Controller	0.0		+10%
187	Stabilised Impulse Nozzle	0.0		+10%
188	Rewired Hydrogen Dynamo	0.5	-8%	
189	Heated Shockwave Shield	0.5		+12%
190	Rewired Shockwave Shield	0.0		+10%
191	Rewired Propulsion Unit	0.0		+10%
192	Rewired Plasma Exhaust	0.25	-7%	
193	Upgraded Hydrogen Dynamo	1.0	-10%	
194	Stabilised Plasma Exhaust	0.25		+11%
195	Heated Impulse Nozzle	1.0		+14%
196	Polished Impulse Nozzle	0.0		+10%
197	Rewired Electron Loom	0.5		+12%
198	Rewired Magnetic Fan	0.5	-8%	
199	Stabilised Shockwave Shield	0.0		+10%
200	Rewired Propulsion Unit	1.0	-10%	
201	Rewired Electron Loom	0.0	-6%	
202	Polished Electron Loom	0.75	-9%	
203	Rewired Shockwave Shield	0.0	-6%	
204	Rewired Hydrogen Dynamo	1.0		+14%
205	Heated Fuel Pipes	0.75		+13%
206	Polished Shockwave Shield	0.0		+10%
207	Upgraded Magnetic Fan	0.25		+11%
208	Rewired Electron Loom	0.0	-6%	
209	Polished Fuel Pipes	0.25		+11%
210	Polished Propulsion Unit	1.0	-10%	
211	Polished Hydrogen Dynamo	0.5		+12%
212	Heated Magnetic Fan	0.5		+12%
213	Stabilised Shockwave Shield	0.5	-8%	
214	Rewired Propulsion Unit	1.0	-10%	
215	Stabilised Fuel Pipes	0.0	-6%	
216	Upgraded Plasma Exhaust	0.0		+10%
217	Rewired Impulse Nozzle	0.5	-8%	
