Seed,Name,Perfection,Product_Age,Product_Basevalue
0,Whispering Spores,0.00085,30,116075
1,Ominous Worms,0.41932,60,645429
2,Chilling Bio-Anomaly,0.06864,20,201823
3,Dripping Core,0.03896,30,164284
4,Frozen Sphere,0.05768,30,187962
5,Abyssal Gelsack,0.04034,20,166025
6,Abandoned Grubs,0.0058,50,122333
7,Eldritch Eye,0.00442,20,120595
8,Imagined Sphere,0.33683,70,541084
9,Imagined Gem,0.06039,20,191392
10,Ghastly Organs,0.00174,50,117204
11,Eerie Coils,0.0902,30,229096
12,Deathly Eye,0.38838,70,606294
13,Frozen Sample,0.0766,30,211895
14,Inverted Heart,0.0449,50,171800
15,Ghastly Coils,0.03806,40,163140
16,Crying Remains,0.35796,110,567813
17,Impossible Globe,0.23834,80,416494
18,Floppy Worms,0.31168,90,509268
19,Abandoned Bio-Anomaly,0.98459,200,1360492
20,Imagined Gem,0.34049,80,545714
21,Inverted Sphere,0.3673,100,579631
22,Imagined Coils,0.04299,40,169382
23,Abyssal Sample,0.27619,110,464376
24,Eerie Eye,0.03488,40,159117
25,Forlorn Bio-Anomaly,0.10517,40,248034
26,Timeless Spores,0.03523,30,159565
27,Woebegotten Tendril,0.02493,40,146541
28,Twitching Tendril,0.20429,100,373419
29,Forlorn Coils,0.05088,20,179362
30,Twitching Heart,0.07044,20,204102
31,Imagined Gelsack,0.2169,90,389380
32,Imagined Heart,0.40291,80,624668
33,Hypnotic Sample,0.9997,270,1379603
34,Deathly Spores,0.06357,50,195414
35,Unnerving Tendril,0.02138,30,142048
36,Frozen Globe,0.02297,20,144061
37,Twisted Grubs,0.3344,110,538005
38,Impossible Grubs,0.40838,60,631596
39,Frozen Bio-Anomaly,0.23679,80,414530
40,Deathly Sphere,0.09872,40,239876
41,Twitching Lavae,0.01833,50,138193
42,Hopeless Coils,0.02961,50,152450
43,Haunted Remains,0.29037,110,482319
44,Haunted Jelly,0.06106,30,192243
45,Forlorn Coils,0.2327,110,409362
46,Abyssal Grubs,0.0502,30,178507
47,Ominous Spores,0.28699,110,478034
48,Ominous Sphere,0.05783,40,188152
49,Hypnotic Organs,0.05886,40,189459
50,Hypnotic Lavae,0.42774,90,656088
51,Grim Heart,0.36706,70,579320
52,Eldritch Heart,0.37077,70,584017
53,Eerie Orb,0.11487,20,260305
54,Inverted Tentacle,0.91003,300,1266176
55,Prismatic Orb,0.91655,180,1274419
56,Dreadful Gem,0.26171,110,446059
57,Abandoned Gem,0.2485,70,429350
58,Whispering Globe,0.13134,30,281137
59,Frozen Coils,0.36916,110,581980
60,Floppy Core,0.01832,30,138178
61,Timeless Bio-Anomaly,0.04819,40,175958
62,Woebegotten Gem,0.02517,50,146842
63,Deathly Orb,0.43971,70,671220
64,Forlorn Remains,0.11035,20,254593
65,Floppy Core,0.19701,80,364213
66,Dripping Globe,0.08877,30,227288
67,Eerie Heart,0.0491,30,177106
68,Eldritch Remains,0.01866,30,138603
69,Inverted Sample,0.3141,110,512326
70,Deathly Orb,0.11394,40,259138
71,Timeless Gem,0.13018,30,279678
72,Chilling Spores,0.04069,20,166476
73,Dripping Gem,0.11264,30,257494
74,Unnerving Sphere,0.00043,20,115547
75,Hopeless Spores,0.0116,40,129668
76,Eldritch Lavae,0.2449,60,424797
77,Ghastly Tentacle,0.18329,60,346860
78,Inverted Globe,0.07847,30,214262
79,Twitching Gem,0.39675,90,616887
80,Ominous Tentacle,0.05697,30,187060
81,Timeless Jelly,0.09222,40,231652
82,Timeless Core,0.10133,40,243183
83,Gloaming Core,0.00349,30,119412
84,Unnerving Orb,0.03067,40,153794
85,Unnerving Gem,0.12078,40,267785
86,Ghastly Gelsack,0.07687,20,212233
87,Impossible Organs,0.32207,90,522407
88,Eerie Organs,0.22388,90,398205
89,Deathly Heart,0.07611,50,211280
90,Lost Sample,0.08769,50,225932
91,Dreadful Organs,0.01148,50,129517
92,Crying Globe,0.00049,50,115615
93,Twisted Remains,0.07291,30,207230
94,Grim Organs,0.09617,40,236659
95,Whispering Globe,0.04212,20,168286
96,Woebegotten Globe,0.07341,50,207861
97,Chilling Gem,0.13621,20,287298
98,Dreadful Organs,0.27067,70,457389
99,Ominous Orb,0.00138,20,116751
100,Woebegotten Remains,0.38625,110,603603
101,Woebegotten Orb,0.1094,40,253391
102,Frozen Coils,0.24903,110,430014
103,Ominous Organs,0.09585,20,236252
104,Whispering Worms,0.11814,20,264441
105,Unnerving Sphere,0.12241,40,269842
106,Nightmarish Gelsack,0.0079,50,124996
107,Ominous Jelly,0.08598,20,223764
108,Writhing Globe,0.00296,30,118749
109,Prismatic Eye,0.35654,110,566020
110,Inverted Coils,0.2957,80,489055
111,Writhing Tentacle,0.32281,110,523348
112,Abyssal Coils,0.39421,70,613666
113,Prismatic Worms,0.05775,20,188054
114,Gloaming Worms,0.12397,50,271823
115,Deathly Lavae,0.01519,40,134217
116,Whispering Tendril,0.06321,40,194957
117,Inverted Organs,0.42614,80,654057
118,Floppy Worms,0.00296,30,118750
119,Ominous Remains,0.25114,60,432688
120,Whispering Tentacle,0.10737,50,250827
121,Prismatic Lavae,0.34837,60,555683
122,Woebegotten Tendril,0.02644,20,148443
123,Prismatic Worms,0.27446,80,462185
124,Frozen Tentacle,0.0551,40,184696
125,Woebegotten Organs,0.10964,50,253698
126,Unnerving Remains,0.04277,20,169097
127,Twitching Worms,0.06687,50,199588
128,Dripping Gelsack,0.05171,40,180407
129,Frozen Eye,0.35707,70,566684
130,Deathly Gem,0.19812,80,365620
131,Hopeless Gem,0.35951,80,569779
132,Nightmarish Bio-Anomaly,0.11687,50,262840
133,Frozen Grubs,0.11216,50,256875
134,Imagined Spores,0.01518,40,134198
135,Dripping Sphere,0.05075,30,179198
136,Impossible Gem,0.40117,70,622467
137,Deathly Sample,0.09673,50,237360
138,Inverted Organs,0.18895,100,354020
139,Lost Grubs,0.0751,50,209999
140,Deathly Core,0.24373,100,423308
141,Prismatic Spores,0.01391,20,132595
142,Dreadful Globe,0.05975,20,190578
143,Screaming Lavae,0.06019,20,191135
144,Abandoned Spores,0.12154,20,268749
145,Dripping Orb,0.25301,100,435056
146,Unnerving Gem,0.04979,40,177978
