Seed	Name	Perfection	Product_Age	Product_Basevalue
0	Lost Sample	0.00085	30	116075
1	Impossible Grubs	0.41932	60	645429
2	Impossible Worms	0.06864	20	201823
3	Deathly Tendril	0.03896	30	164284
4	Inverted Globe	0.05768	30	187962
5	Abandoned Orb	0.04034	20	166025
6	Twisted Globe	0.0058	50	122333
7	Eerie Organs	0.00442	20	120595
8	Lost Bio-Anomaly	0.33683	70	541084
9	Floppy Coils	0.06039	20	191392
10	Abyssal Gem	0.00174	50	117204
11	Eldritch Grubs	0.0902	30	229096
12	Twitching Core	0.38838	70	606294
13	Deathly Jelly	0.0766	30	211895
14	Hypnotic Coils	0.0449	50	171800
15	Frozen Remains	0.03806	40	163140
16	Hopeless Organs	0.35796	110	567813
17	Frozen Bio-Anomaly	0.23834	80	416494
18	Whispering Tendril	0.31168	90	509268
19	Abyssal Jelly	0.98459	200	1360492
20	Dreadful Tendril	0.34049	80	545714
21	Deathly Lavae	0.3673	100	579631
22	Frozen Eye	0.04299	40	169382
23	Dripping Heart	0.27619	110	464376
24	Dreadful Sphere	0.03488	40	159117
25	Nightmarish Globe	0.10517	40	248034
26	Hopeless Remains	0.03523	30	159565
27	Nightmarish Spores	0.02493	40	146541
28	Dreadful Gem	0.20429	100	373419
29	Prismatic Heart	0.05088	20	179362
30	Dreadful Sample	0.07044	20	204102
31	Screaming Bio-Anomaly	0.2169	90	389380
32	Woebegotten Gem	0.40291	80	624668
33	Nightmarish Jelly	0.9997	270	1379603
34	Writhing Core	0.06357	50	195414
35	Haunted Tendril	0.02138	30	142048
36	Crying Gem	0.02297	20	144061
37	Eldritch Remains	0.3344	110	538005
38	Impossible Bio-Anomaly	0.40838	60	631596
39	Grim Gem	0.23679	80	414530
40	Gloaming Organs	0.09872	40	239876
41	Imagined Sample	0.01833	50	138193
42	Unnerving Organs	0.02961	50	152450
43	Deathly Sphere	0.29037	110	482319
44	Impossible Core	0.06106	30	192243
45	Unnerving Core	0.2327	110	409362
46	Inverted Worms	0.0502	30	178507
47	Prismatic Tentacle	0.28699	110	478034
48	Lost Lavae	0.05783	40	188152
49	Woebegotten Lavae	0.05886	40	189459
50	Eldritch Gem	0.42774	90	656088
51	Eerie Globe	0.36706	70	579320
52	Hopeless Organs	0.37077	70	584017
53	Frozen Core	0.11487	20	260305
54	Screaming Remains	0.91003	300	1266176
55	Dripping Eye	0.91655	180	1274419
56	Nightmarish Core	0.26171	110	446059
57	Timeless Grubs	0.2485	70	429350
58	Ominous Heart	0.13134	30	281137
59	Twisted Grubs	0.36916	110	581980
60	Dreadful Worms	0.01832	30	138178
61	Dripping Sphere	0.04819	40	175958
62	Hypnotic Worms	0.02517	50	146842
63	Dripping Coils	0.43971	70	671220
64	Haunted Orb	0.11035	20	254593
65	Prismatic Heart	0.19701	80	364213
66	Eerie Coils	0.08877	30	227288
67	Whispering Sample	0.0491	30	177106
68	Ghastly Gelsack	0.01866	30	138603
69	Grim Eye	0.3141	110	512326
70	Dripping Remains	0.11394	40	259138
71	Abandoned Core	0.13018	30	279678
