Seed	Name	Perfection	Ship_PulseDrive_MiniJumpFuelSpending	Ship_Boost	Ship_BoostManeuverability
0	Alternate Magnetic Fan	0.25	+8%		
1	Alternate Magnetic Fan	0.375		+4%	
2	Backup Neutrino Injector	0.125	+7%		
3	Tuned Hydrogen Dynamo	0			
4	Tuned Hydrogen Dynamo	0.0		+1%	
5	Secondary Shockwave Shield	0.0	+6%		
6	Backup Electron Loom	0.5			+5%
7	Alternate Hydrogen Dynamo	0.125	+7%		
8	Efficient Neutrino Injector	0.0	+6%		
9	Efficient Shockwave Shield	0.0		+1%	
10	Secondary Shockwave Shield	0.0			+1%
11	Tuned Magnetic Fan	0.0			+1%
12	Tuned Neutrino Injector	0.0			+1%
13	Efficient Thrust Controller	0.125			+2%
14	Efficient Impulse Nozzle	0.0			+1%
15	Tuned Impulse Nozzle	0.125	+7%		
16	Backup Thrust Controller	0.0		+1%	
17	Secondary Plasma Exhaust	0.0	+6%	+1%	
18	Secondary Propulsion Unit	0.0		+1%	
19	Backup Magnetic Fan	0.0		+1%	+1%
20	Efficient Plasma Exhaust	0.0	+6%	+1%	
21	Secondary Neutrino Injector	0.5		+5%	
22	Tuned Hydrogen Dynamo	0.0		+1%	
23	Alternate Hydrogen Dynamo	0.0			+1%
24	Backup Plasma Exhaust	0			
25	Secondary Impulse Nozzle	0.0			+1%
26	Secondary Plasma Exhaust	0.5	+10%		
27	Alternate Propulsion Unit	0.0		+1%	
28	Secondary Impulse Nozzle	0.125			+2%
29	Secondary Neutrino Injector	0.25			+3%
30	Efficient Neutrino Injector	0.0			+1%
31	Efficient Thrust Controller	0.5	+10%		+1%
32	Alternate Hydrogen Dynamo	0.5	+10%		
33	Efficient Impulse Nozzle	0.0	+6%	+1%	
34	Alternate Propulsion Unit	0.5			+5%
35	Alternate Plasma Exhaust	0.125	+7%		
36	Secondary Plasma Exhaust	0			
37	Backup Thrust Controller	0.375	+9%		
38	Tuned Fuel Pipes	0.5		+5%	
39	Alternate Magnetic Fan	0.375			+4%
40	Alternate Hydrogen Dynamo	0.125	+7%		
41	Alternate Electron Loom	0.0		+1%	
42	Secondary Plasma Exhaust	0.125		+2%	
43	Alternate Electron Loom	0.0		+1%	
44	Efficient Propulsion Unit	0.0	+6%		
45	Efficient Neutrino Injector	0.0		+1%	
46	Alternate Plasma Exhaust	0.125	+7%		
47	Tuned Magnetic Fan	0.25			+3%
48	Secondary Propulsion Unit	0.0			+1%
49	Backup Hydrogen Dynamo	0.375		+4%	
50	Backup Thrust Controller	0.0	+6%		
51	Tuned Hydrogen Dynamo	0.125		+2%	
52	Backup Neutrino Injector	0.125		+2%	
53	Tuned Magnetic Fan	0.375			+4%
54	Tuned Plasma Exhaust	0.375		+3%	+2%
55	Tuned Hydrogen Dynamo	0.625		+2%	+5%
56	Tuned Impulse Nozzle	0.125			+2%
57	Alternate Electron Loom	0.375		+4%	
58	Secondary Thrust Controller	0.0	+6%		
59	Efficient Hydrogen Dynamo	0.125		+2%	
60	Efficient Plasma Exhaust	0.25		+3%	
61	Alternate Electron Loom	0.125	+7%		
62	Alternate Neutrino Injector	0.0		+1%	
63	Tuned Fuel Pipes	0.0			+1%
64	Tuned Electron Loom	0.375		+4%	
65	Backup Neutrino Injector	0.375	+9%		
66	Secondary Fuel Pipes	0.125	+7%		
67	Backup Hydrogen Dynamo	0.0		+1%	
68	Backup Magnetic Fan	0.0			+1%
69	Secondary Hydrogen Dynamo	0.125	+7%		
70	Secondary Electron Loom	0.0			+1%
71	Efficient Impulse Nozzle	0.0		+1%	
72	Secondary Shockwave Shield	0.0		+1%	
73	Secondary Thrust Controller	0.0			+1%
74	Backup Neutrino Injector	0.0		+1%	
75	Secondary Propulsion Unit	0.5			+5%
76	Backup Neutrino Injector	0.5		+5%	
77	Efficient Hydrogen Dynamo	0.25	+8%		+1%
78	Secondary Neutrino Injector	0.375		+4%	
79	Alternate Thrust Controller	0.125		+2%	
80	Alternate Fuel Pipes	0.0	+6%		
81	Secondary Hydrogen Dynamo	0.0		+1%	
82	Backup Plasma Exhaust	0.25		+3%	
83	Backup Fuel Pipes	0.375			+4%
84	Alternate Fuel Pipes	0.25			+3%
85	Tuned Shockwave Shield	0.0	+6%		
86	Efficient Plasma Exhaust	0.125	+7%		
87	Secondary Propulsion Unit	0.625	+9%		+3%
88	Tuned Plasma Exhaust	0.0	+6%		
89	Secondary Hydrogen Dynamo	0.0			+1%
90	Tuned Electron Loom	0.5		+5%	
91	Backup Magnetic Fan	0.0		+1%	
92	Alternate Electron Loom	0.0			+1%
93	Alternate Impulse Nozzle	0			
94	Efficient Hydrogen Dynamo	0.125			+2%
