sep=,
Seed,Name,Perfection,Ship_Weapons_Guns_Damage,Ship_Weapons_Guns_Rate,Ship_Weapons_Guns_HeatTime
0,Laser Accelerator,0.5,+1%,,
1,Laser Accelerator,0.764,,+4%,+18%
2,Fibre Optic Mirror,0.5,+1%,,
3,Ionised Polariser,0.167,,,+14%
4,Ionised Polariser,0.25,,+3%,
5,Polished Resonator,0.5,+1%,,
6,Fibre Optic De-limiter,0.056,,,+12%
7,Laser Polariser,0.5,+1%,,
8,Retuned Mirror,1.0,+1%,+5%,
9,Retuned Resonator,0.125,,+2%,
10,Polished Resonator,0.222,,,+15%
11,Ionised Accelerator,0.056,,,+12%
12,Ionised Mirror,0.611,+1%,,+13%
13,Retuned Splitter,0.0,,,+11%
14,Retuned Oscillator,0.056,,,+12%
15,Ionised Oscillator,0.5,+1%,,
16,Fibre Optic Splitter,0.125,,+2%,
17,Polished Filament,0.875,+1%,+4%,
18,Polished Amplifier,1.0,+1%,+5%,
19,Fibre Optic Accelerator,0.125,,+2%,+11%
20,Retuned Filament,1.0,+1%,+5%,
21,Polished Mirror,0.625,+1%,+2%,
22,Ionised Polariser,0.5,,+5%,
23,Laser Polariser,0.056,,,+12%
24,Fibre Optic Filament,0.111,,,+13%
25,Polished Oscillator,0.0,,,+11%
26,Polished Filament,0.5,+1%,,
27,Laser Amplifier,0.125,,+2%,
28,Polished Oscillator,0.708,,+4%,+17%
29,Polished Mirror,0.0,,,+11%
30,Retuned Mirror,0.0,,,+11%
31,Retuned Splitter,0.833,+1%,,+17%
32,Laser Polariser,0.5,+1%,,
33,Retuned Oscillator,0.875,+1%,+4%,
34,Laser Amplifier,0.056,,,+12%
35,Laser Filament,0.5,+1%,,
36,Polished Filament,0.5,,,+20%
37,Fibre Optic Splitter,0.5,+1%,,
38,Ionised Refractor,0.694,,+3%,+19%
39,Laser Accelerator,0.056,,,+12%
40,Laser Polariser,0.5,+1%,,
41,Laser De-limiter,0.25,,+3%,
42,Polished Filament,0.125,,+2%,
43,Laser De-limiter,0.625,+1%,+2%,
44,Retuned Amplifier,0.5,+1%,,
45,Retuned Mirror,0.569,,+2%,+19%
46,Laser Filament,0.5,+1%,,
47,Ionised Accelerator,0.167,,,+14%
48,Polished Amplifier,0.278,,,+16%
49,Fibre Optic Polariser,0.125,,+2%,
50,Fibre Optic Splitter,0.5,+1%,,
51,Ionised Polariser,0.125,,+2%,
52,Fibre Optic Mirror,0.25,,+3%,
53,Ionised Accelerator,0.0,,,+11%
54,Ionised Filament,0.347,,+2%,+15%
55,Ionised Polariser,0.292,,+2%,+14%
56,Ionised Oscillator,0.167,,,+14%
57,Laser De-limiter,0.125,,+2%,
58,Polished Splitter,0.5,+1%,,
59,Retuned Polariser,0.125,,+2%,
60,Retuned Filament,0.375,,+4%,
61,Laser De-limiter,0.5,+1%,,
62,Laser Mirror,0.5,,+5%,
63,Ionised Refractor,0.222,,,+15%
64,Ionised De-limiter,0.125,,+2%,
65,Fibre Optic Mirror,0.5,+1%,,
66,Polished Refractor,0.5,+1%,,
67,Fibre Optic Polariser,0.5,,+5%,
68,Fibre Optic Accelerator,0.167,,,+14%
69,Polished Polariser,0.556,+1%,,+12%
70,Polished De-limiter,0.389,,,+18%
71,Retuned Oscillator,0.375,,+4%,
72,Polished Resonator,0.125,,+2%,
73,Polished Splitter,0.389,,,+18%
74,Fibre Optic Mirror,0.125,,+2%,
75,Polished Amplifier,0.278,,,+16%
76,Fibre Optic Mirror,0.5,,+5%,
77,Retuned Polariser,0.889,+1%,,+18%
78,Polished Mirror,0.375,,+4%,
79,Laser Splitter,0.625,+1%,+2%,
80,Laser Refractor,0.5,+1%,,
81,Polished Polariser,0.25,,+3%,
82,Fibre Optic Filament,0.125,,+2%,
83,Fibre Optic Refractor,0.278,,,+16%
84,Laser Refractor,0.333,,,+17%
85,Ionised Resonator,0.5,+1%,,
86,Retuned Filament,0.5,+1%,,
87,Polished Amplifier,0.5,+1%,,+11%
88,Ionised Filament,0.75,+1%,+3%,
89,Polished Polariser,0.0,,,+11%
90,Ionised De-limiter,0.125,,+2%,
91,Fibre Optic Accelerator,0.25,,+3%,
92,Laser De-limiter,0.222,,,+15%
93,Laser Oscillator,0.222,,,+15%
94,Retuned Polariser,0.056,,,+12%
