Seed	Name	Perfection	Ship_Weapons_Guns_Damage	Ship_Weapons_Guns_Rate	Ship_Weapons_Guns_HeatTime
0	Evaporative Accelerator	0.0	+3%		
1	Evaporative Accelerator	1.0		+2%	+2%
2	Photonic Mirror	0.5	+6%		
3	Ultraviolet Polariser	0.5			+2%
4	Ultraviolet Polariser	0.0		+1%	
5	Infrared Resonator	0.333	+5%		
6	Photonic De-limiter	0.5			+2%
7	Evaporative Polariser	0.5	+6%		
8	Cadmium Mirror	0.833	+5%	+2%	
9	Cadmium Resonator	0.0		+1%	
10	Infrared Resonator	0.5			+2%
11	Ultraviolet Accelerator	0.5			+2%
12	Ultraviolet Mirror	0.5	+3%		+2%
13	Cadmium Splitter	0.5			+2%
14	Cadmium Oscillator	0.5			+2%
15	Ultraviolet Oscillator	0.5	+6%		
16	Photonic Splitter	0.0		+1%	
17	Infrared Filament	0.5	+3%	+2%	
18	Infrared Amplifier	0.5	+3%	+2%	
19	Photonic Accelerator	0.5		+1%	+2%
20	Cadmium Filament	0.5	+3%	+2%	
21	Infrared Mirror	0.333	+5%	+1%	
22	Ultraviolet Polariser	0.5		+2%	
23	Evaporative Polariser	0.5			+2%
24	Photonic Filament	0.5			+2%
25	Infrared Oscillator	0.5			+2%
26	Infrared Filament	0.5	+6%		
27	Evaporative Amplifier	0.0		+1%	
28	Infrared Oscillator	1.0		+2%	+2%
29	Infrared Mirror	0.5			+2%
30	Cadmium Mirror	0.5			+2%
31	Cadmium Splitter	0.667	+4%		+2%
32	Evaporative Polariser	0.333	+5%		
33	Cadmium Oscillator	0.667	+4%	+2%	
34	Evaporative Amplifier	0.5			+2%
35	Evaporative Filament	0.333	+5%		
36	Infrared Filament	0.5			+2%
37	Photonic Splitter	0.167	+4%		
38	Ultraviolet Refractor	0.5		+1%	+2%
39	Evaporative Accelerator	0.5			+2%
40	Evaporative Polariser	0.0	+3%		
41	Evaporative De-limiter	0.0		+1%	
42	Infrared Filament	0.0		+1%	
43	Evaporative De-limiter	0.167	+4%	+1%	
44	Cadmium Amplifier	0.167	+4%		
45	Cadmium Mirror	0.5		+1%	+2%
46	Evaporative Filament	0.167	+4%		
47	Ultraviolet Accelerator	0.5			+2%
48	Infrared Amplifier	0.5			+2%
49	Photonic Polariser	0.0		+1%	
50	Photonic Splitter	0.167	+4%		
51	Ultraviolet Polariser	0.0		+1%	
52	Photonic Mirror	0.5		+2%	
53	Ultraviolet Accelerator	0.5			+2%
54	Ultraviolet Filament	0.5		+1%	+2%
55	Ultraviolet Polariser	0.5		+1%	+2%
56	Ultraviolet Oscillator	0.5			+2%
57	Evaporative De-limiter	0.0		+1%	
58	Infrared Splitter	0.167	+4%		
59	Cadmium Polariser	0.0		+1%	
60	Cadmium Filament	0.5		+2%	
61	Evaporative De-limiter	0.0	+3%		
62	Evaporative Mirror	0.5		+2%	
63	Ultraviolet Refractor	0.5			+2%
64	Ultraviolet De-limiter	0.0		+1%	
65	Photonic Mirror	0.5	+6%		
66	Infrared Refractor	0.5	+6%		
67	Photonic Polariser	0.5		+2%	
68	Photonic Accelerator	0.5			+2%
69	Infrared Polariser	0.5	+3%		+2%
70	Infrared De-limiter	0.5			+2%
71	Cadmium Oscillator	0.5		+2%	
72	Infrared Resonator	0.0		+1%	
73	Infrared Splitter	0.5			+2%
74	Photonic Mirror	0.0		+1%	
75	Infrared Amplifier	0.5			+2%
76	Photonic Mirror	0.5		+2%	
77	Cadmium Polariser	0.5	+3%		+2%
78	Infrared Mirror	0.5		+2%	
79	Evaporative Splitter	0.167	+4%	+1%	
80	Evaporative Refractor	0.167	+4%		
81	Infrared Polariser	0.5		+2%	
82	Photonic Filament	0.0		+1%	
83	Photonic Refractor	0.5			+2%
84	Evaporative Refractor	0.5			+2%
85	Ultraviolet Resonator	0.167	+4%		
86	Cadmium Filament	0.0	+3%		
87	Infrared Amplifier	0.667	+4%		+2%
88	Ultraviolet Filament	0.167	+4%	+1%	
89	Infrared Polariser	0.5			+2%
90	Ultraviolet De-limiter	0.0		+1%	
91	Photonic Accelerator	0.5		+2%	
92	Evaporative De-limiter	0.5			+2%
93	Evaporative Oscillator	0.5			+2%
94	Cadmium Polariser	0.5			+2%
95	Evaporative Accelerator	0.5	+6%		
96	Evaporative Amplifier	0.5			+2%
97	Infrared Accelerator	0.5			+2%
98	Cadmium De-limiter	0.667	+4%		+2%
99	Ultraviolet Refractor	0.0		+1%	
100	Ultraviolet Mirror	1.0	+6%		+2%
101	Evaporative Splitter	0.0		+1%	
102	Infrared Accelerator	0.5	+6%		
103	Cadmium Resonator	0.5			+2%
104	Cadmium Mirror	0.5			+2%
105	Cadmium Accelerator	0.0		+1%	
106	Cadmium Accelerator	0.5		+2%	
107	Cadmium Filament	0.333	+5%		
108	Evaporative Filament	0.0		+1%	
109	Cadmium Resonator	0.5		+1%	+2%
110	Infrared Mirror	0.667	+4%		+2%
111	Photonic Oscillator	0.833	+5%		+2%
112	Evaporative Accelerator	0.333	+5%		
113	Ultraviolet Polariser	0.5			+2%
114	Photonic Mirror	0.5			+2%
115	Evaporative Mirror	0.5		+2%	
116	Evaporative De-limiter	0.0		+1%	
117	Ultraviolet Mirror	0.5			+2%
118	Evaporative De-limiter	0.5			+2%
119	Cadmium Polariser	0.5			+2%
120	Evaporative Amplifier	0.0		+1%	
121	Evaporative De-limiter	0.0	+3%	+1%	
122	Evaporative Polariser	0.5		+2%	
123	Cadmium De-limiter	1.0		+2%	+2%
124	Photonic Polariser	0.0		+1%	
125	Infrared Refractor	0.5			+2%
126	Photonic Oscillator	0.333	+5%		
127	Evaporative Resonator	0.5			+2%
128	Cadmium Refractor	0.167	+4%		
129	Ultraviolet Refractor	1.0		+2%	+2%
130	Ultraviolet De-limiter	0.5		+2%	
131	Cadmium Accelerator	0.0	+3%	+1%	
132	Cadmium De-limiter	0.5			+2%
133	Photonic De-limiter	0.5			+2%
134	Evaporative Splitter	0.167	+4%		
135	Infrared Refractor	0.5			+2%
136	Evaporative Mirror	1.0		+2%	+2%
137	Cadmium Refractor	0.0	+3%		
138	Evaporative Amplifier	0.5		+2%	
139	Cadmium Splitter	0.5		+2%	
140	Evaporative Oscillator	0.0	+3%		
141	Photonic Filament	0.167	+4%		
142	Evaporative Oscillator	0.5			+2%
143	Ultraviolet Mirror	0.167	+4%		
144	Cadmium Refractor	0.5		+2%	
145	Ultraviolet Resonator	0.5			+2%
146	Infrared Amplifier	0.5		+2%	
147	Cadmium Polariser	0.167	+4%		
148	Ultraviolet Accelerator	0.5		+2%	
149	Photonic Splitter	0.5			+2%
150	Ultraviolet Amplifier	0.167	+4%		
151	Photonic Splitter	0.0		+1%	
152	Photonic Accelerator	0.5			+2%
153	Ultraviolet Filament	0.0		+1%	
154	Ultraviolet De-limiter	0.5			+2%
155	Infrared De-limiter	0.167	+4%		
156	Photonic Polariser	0.0		+1%	
157	Cadmium Amplifier	0.167	+4%	+1%	
158	Photonic Filament	0.5		+2%	
159	Cadmium Accelerator	0.5			+2%
160	Photonic Accelerator	0.0	+3%		
161	Photonic Polariser	0.0	+3%	+1%	
162	Photonic Mirror	0.0		+1%	
163	Evaporative Amplifier	0.167	+4%		
164	Ultraviolet Accelerator	0.0	+3%	+1%	
165	Cadmium Polariser	0.5			+2%
166	Cadmium Mirror	0.167	+4%	+1%	
167	Evaporative Filament	0.5			+2%
168	Evaporative Oscillator	0.5			+2%
169	Ultraviolet Refractor	0.5			+2%
170	Infrared Resonator	0.333	+5%	+1%	
171	Infrared Oscillator	0.5			+2%
172	Photonic Resonator	0.5			+2%
173	Evaporative Refractor	0.0	+3%		
174	Photonic De-limiter	0.5		+1%	+2%
175	Cadmium Mirror	0.0		+1%	
176	Ultraviolet Oscillator	0.5			+2%
177	Evaporative De-limiter	0.167	+4%		
