sep=,
Seed,Name,Perfection,Ship_Weapons_Guns_Damage,Ship_Weapons_Guns_Rate,Ship_Weapons_Guns_HeatTime
0,Indium Accelerator,0.0,+5%,+2%,
1,Indium Accelerator,0.333,+5%,+2%,+3%
2,Positron Mirror,0.667,+7%,,+3%
3,UHF Polariser,0.333,,+2%,+3%
4,UHF Polariser,0.0,+5%,+2%,
5,Chrono Resonator,0.5,+6%,,+3%
6,Positron De-limiter,0.667,,+3%,+3%
7,Indium Polariser,0.667,+7%,,+3%
8,Emeril Mirror,0.833,+6%,+3%,+3%
9,Emeril Resonator,0.333,,+2%,+3%
10,Chrono Resonator,0.333,,+2%,+3%
11,UHF Accelerator,0.333,,+2%,+3%
12,UHF Mirror,0.333,+5%,+2%,+3%
13,Emeril Splitter,0.5,+6%,,+3%
14,Emeril Oscillator,0.333,,+2%,+3%
15,UHF Oscillator,0.667,+7%,,+3%
16,Positron Splitter,0.0,+5%,+2%,
17,Chrono Filament,0.333,+5%,+2%,+3%
18,Chrono Amplifier,0.667,+5%,+3%,+3%
19,Positron Accelerator,0.333,+5%,+2%,+3%
20,Emeril Filament,0.667,+5%,+3%,+3%
21,Chrono Mirror,0.667,+7%,+2%,+3%
22,UHF Polariser,0.0,+5%,+2%,
23,Indium Polariser,0.333,,+2%,+3%
24,Positron Filament,0.333,,+2%,+3%
25,Chrono Oscillator,0.333,,+2%,+3%
26,Chrono Filament,0.333,+7%,+2%,
27,Indium Amplifier,0.333,,+2%,+3%
28,Chrono Oscillator,0.5,+6%,+2%,+3%
29,Chrono Mirror,0.333,,+2%,+3%
30,Emeril Mirror,0.333,+5%,,+3%
31,Emeril Splitter,0.333,+5%,+2%,+3%
32,Indium Polariser,0.333,+7%,+2%,
33,Emeril Oscillator,0.333,+5%,+2%,+3%
34,Indium Amplifier,0.667,,+3%,+3%
35,Indium Filament,0.5,+6%,,+3%
36,Chrono Filament,0.333,+5%,,+3%
37,Positron Splitter,0.0,+5%,+2%,
38,UHF Refractor,0.333,+5%,+2%,+3%
39,Indium Accelerator,0.667,,+3%,+3%
40,Indium Polariser,0.0,+5%,+2%,
41,Indium De-limiter,0.0,+5%,+2%,
42,Chrono Filament,0.0,+5%,+2%,
43,Indium De-limiter,0.333,+5%,+2%,+3%
44,Emeril Amplifier,0.333,+5%,+3%,
45,Emeril Mirror,0.333,+5%,+2%,+3%
46,Indium Filament,0.333,+5%,,+3%
47,UHF Accelerator,0.333,,+2%,+3%
48,Chrono Amplifier,0.333,,+2%,+3%
49,Positron Polariser,0.333,,+2%,+3%
