Seed,Name,Perfection,Ship_Weapons_Guns_Damage,Ship_Weapons_Guns_Rate,Ship_Weapons_Guns_HeatTime
0,Laser Accelerator,0.0,+1%,,
1,Laser Accelerator,0.875,,+4%,+3%
2,Fibre Optic Mirror,0.5,+3%,,
3,Ionised Polariser,0.25,,,+2%
4,Ionised Polariser,0.125,,+2%,
5,Polished Resonator,0.5,+3%,,
6,Fibre Optic De-limiter,0.25,,,+2%
7,Laser Polariser,0.5,+3%,,
8,Retuned Mirror,0.875,+3%,+4%,
9,Retuned Resonator,0.0,,+1%,
10,Polished Resonator,0.25,,,+2%
11,Ionised Accelerator,0.25,,,+2%
12,Ionised Mirror,0.25,+1%,,+2%
13,Retuned Splitter,0.25,,,+2%
14,Retuned Oscillator,0.25,,,+2%
15,Ionised Oscillator,0.5,+3%,,
16,Fibre Optic Splitter,0.125,,+2%,
17,Polished Filament,0.25,+1%,+3%,
18,Polished Amplifier,0.5,+1%,+5%,
19,Fibre Optic Accelerator,0.375,,+2%,+2%
20,Retuned Filament,0.5,+1%,+5%,
21,Polished Mirror,0.5,+3%,+1%,
22,Ionised Polariser,0.375,,+4%,
23,Laser Polariser,0.25,,,+2%
24,Fibre Optic Filament,0.25,,,+2%
25,Polished Oscillator,0.25,,,+2%
26,Polished Filament,0.5,+3%,,
27,Laser Amplifier,0.125,,+2%,
28,Polished Oscillator,0.75,,+3%,+3%
29,Polished Mirror,0.25,,,+2%
30,Retuned Mirror,0.25,,,+2%
31,Retuned Splitter,0.5,+1%,,+3%
32,Laser Polariser,0.5,+3%,,
33,Retuned Oscillator,0.5,+2%,+3%,
34,Laser Amplifier,0.25,,,+2%
35,Laser Filament,0.5,+3%,,
36,Polished Filament,0.5,,,+3%
37,Fibre Optic Splitter,0.25,+2%,,
38,Ionised Refractor,0.625,,+2%,+3%
39,Laser Accelerator,0.25,,,+2%
40,Laser Polariser,0.0,+1%,,
41,Laser De-limiter,0.125,,+2%,
42,Polished Filament,0.125,,+2%,
43,Laser De-limiter,0.125,+1%,+2%,
44,Retuned Amplifier,0.0,+1%,,
45,Retuned Mirror,0.625,,+2%,+3%
46,Laser Filament,0.25,+2%,,
47,Ionised Accelerator,0.25,,,+2%
48,Polished Amplifier,0.5,,,+3%
49,Fibre Optic Polariser,0.125,,+2%,
50,Fibre Optic Splitter,0.0,+1%,,
51,Ionised Polariser,0.125,,+2%,
52,Fibre Optic Mirror,0.125,,+2%,
53,Ionised Accelerator,0.25,,,+2%
54,Ionised Filament,0.375,,+2%,+2%
55,Ionised Polariser,0.375,,+2%,+2%
56,Ionised Oscillator,0.25,,,+2%
57,Laser De-limiter,0.125,,+2%,
58,Polished Splitter,0.25,+2%,,
59,Retuned Polariser,0.125,,+2%,
60,Retuned Filament,0.25,,+3%,
61,Laser De-limiter,0.0,+1%,,
62,Laser Mirror,0.5,,+5%,
63,Ionised Refractor,0.25,,,+2%
64,Ionised De-limiter,0.125,,+2%,
65,Fibre Optic Mirror,0.5,+3%,,
66,Polished Refractor,0.5,+3%,,
67,Fibre Optic Polariser,0.375,,+4%,
68,Fibre Optic Accelerator,0.25,,,+2%
69,Polished Polariser,0.25,+1%,,+2%
70,Polished De-limiter,0.5,,,+3%
71,Retuned Oscillator,0.25,,+3%,
72,Polished Resonator,0.125,,+2%,
73,Polished Splitter,0.5,,,+3%
74,Fibre Optic Mirror,0.125,,+2%,
75,Polished Amplifier,0.5,,,+3%
76,Fibre Optic Mirror,0.5,,+5%,
77,Retuned Polariser,0.5,+1%,,+3%
78,Polished Mirror,0.25,,+3%,
79,Laser Splitter,0.125,+1%,+2%,
80,Laser Refractor,0.0,+1%,,
81,Polished Polariser,0.125,,+2%,
82,Fibre Optic Filament,0.125,,+2%,
83,Fibre Optic Refractor,0.5,,,+3%
84,Laser Refractor,0.5,,,+3%
85,Ionised Resonator,0.0,+1%,,
86,Retuned Filament,0.0,+1%,,
87,Polished Amplifier,0.5,+2%,,+2%
88,Ionised Filament,0.375,+2%,+2%,
89,Polished Polariser,0.25,,,+2%
90,Ionised De-limiter,0.125,,+2%,
91,Fibre Optic Accelerator,0.125,,+2%,
92,Laser De-limiter,0.25,,,+2%
93,Laser Oscillator,0.25,,,+2%
94,Retuned Polariser,0.25,,,+2%
95,Laser Accelerator,0.5,+3%,,
96,Laser Amplifier,0.25,,,+2%
97,Polished Accelerator,0.25,,,+2%
98,Retuned De-limiter,0.75,+2%,,+3%
99,Ionised Refractor,0.0,,+1%,
100,Ionised Mirror,0.75,+3%,,+2%
101,Laser Splitter,0.125,,+2%,
102,Polished Accelerator,0.5,+3%,,
103,Retuned Resonator,0.25,,,+2%
104,Retuned Mirror,0.25,,,+2%
105,Retuned Accelerator,0.125,,+2%,
106,Retuned Accelerator,0.375,,+4%,
107,Retuned Filament,0.25,+2%,,
108,Laser Filament,0.125,,+2%,
109,Retuned Resonator,0.375,,+2%,+2%
110,Polished Mirror,0.25,+1%,,+2%
111,Fibre Optic Oscillator,0.75,+2%,,+3%
112,Laser Accelerator,0.25,+2%,,
113,Ionised Polariser,0.25,,,+2%
114,Fibre Optic Mirror,0.25,,,+2%
115,Laser Mirror,0.5,,+5%,
116,Laser De-limiter,0.125,,+2%,
117,Ionised Mirror,0.25,,,+2%
118,Laser De-limiter,0.25,,,+2%
119,Retuned Polariser,0.5,,,+3%
120,Laser Amplifier,0.125,,+2%,
121,Laser De-limiter,0.125,+1%,+2%,
122,Laser Polariser,0.25,,+3%,
123,Retuned De-limiter,0.5,,+3%,+2%
124,Fibre Optic Polariser,0.125,,+2%,
125,Polished Refractor,0.25,,,+2%
