sep=,
Seed,Name,Perfection,Ship_Weapons_Guns_Damage,Ship_Weapons_Guns_Rate,Ship_Weapons_Guns_HeatTime
0,Indium Accelerator,0.233,+5%,+6%,+6%
1,Indium Accelerator,0.533,+5%,+8%,+7%
2,Positron Mirror,0.567,+7%,+6%,+6%
3,UHF Polariser,0.233,+5%,+6%,+6%
4,UHF Polariser,0.233,+5%,+6%,+6%
5,Chrono Resonator,0.567,+6%,+6%,+7%
6,Positron De-limiter,0.667,+6%,+10%,+6%
7,Indium Polariser,0.567,+7%,+6%,+6%
8,Emeril Mirror,0.767,+6%,+9%,+7%
9,Emeril Resonator,0.167,+5%,+5%,+6%
10,Chrono Resonator,0.233,+5%,+6%,+6%
11,UHF Accelerator,0.233,+5%,+6%,+6%
12,UHF Mirror,0.233,+5%,+6%,+6%
13,Emeril Splitter,0.4,+6%,+6%,+6%
14,Emeril Oscillator,0.233,+5%,+6%,+6%
15,UHF Oscillator,0.567,+7%,+6%,+6%
16,Positron Splitter,0.233,+5%,+6%,+6%
17,Chrono Filament,0.3,+5%,+7%,+6%
18,Chrono Amplifier,0.5,+5%,+10%,+6%
19,Positron Accelerator,0.233,+5%,+6%,+6%
20,Emeril Filament,0.667,+5%,+10%,+7%
21,Chrono Mirror,0.567,+7%,+6%,+6%
22,UHF Polariser,0.433,+5%,+9%,+6%
23,Indium Polariser,0.233,+5%,+6%,+6%
24,Positron Filament,0.167,+5%,+5%,+6%
25,Chrono Oscillator,0.233,+5%,+6%,+6%
26,Chrono Filament,0.567,+7%,+6%,+6%
27,Indium Amplifier,0.233,+5%,+6%,+6%
28,Chrono Oscillator,0.633,+6%,+7%,+7%
29,Chrono Mirror,0.367,+5%,+8%,+6%
30,Emeril Mirror,0.367,+5%,+8%,+6%
31,Emeril Splitter,0.333,+5%,+5%,+7%
32,Indium Polariser,0.5,+7%,+5%,+6%
33,Emeril Oscillator,0.3,+5%,+7%,+6%
34,Indium Amplifier,0.667,+6%,+10%,+6%
35,Indium Filament,0.4,+6%,+6%,+6%
36,Chrono Filament,0.6,+5%,+9%,+7%
37,Positron Splitter,0.233,+5%,+6%,+6%
38,UHF Refractor,0.4,+5%,+6%,+7%
39,Indium Accelerator,0.767,+7%,+9%,+6%
40,Indium Polariser,0.233,+5%,+6%,+6%
41,Indium De-limiter,0.4,+5%,+6%,+7%
42,Chrono Filament,0.4,+5%,+6%,+7%
43,Indium De-limiter,0.233,+5%,+6%,+6%
44,Emeril Amplifier,0.5,+5%,+10%,+6%
45,Emeril Mirror,0.4,+5%,+6%,+7%
46,Indium Filament,0.233,+5%,+6%,+6%
47,UHF Accelerator,0.367,+5%,+8%,+6%
48,Chrono Amplifier,0.4,+5%,+6%,+7%
49,Positron Polariser,0.4,+5%,+6%,+7%
50,Positron Splitter,0.4,+5%,+6%,+7%
51,UHF Polariser,0.233,+5%,+6%,+6%
52,Positron Mirror,0.233,+5%,+6%,+6%
53,UHF Accelerator,0.433,+5%,+9%,+6%
54,UHF Filament,0.4,+6%,+6%,+6%
55,UHF Polariser,0.567,+7%,+6%,+6%
56,UHF Oscillator,0.667,+6%,+10%,+6%
57,Indium De-limiter,0.567,+6%,+6%,+7%
58,Chrono Splitter,0.4,+6%,+6%,+6%
59,Emeril Polariser,0.233,+5%,+6%,+6%
60,Emeril Filament,0.467,+6%,+7%,+6%
61,Indium De-limiter,0.233,+5%,+6%,+6%
62,Indium Mirror,0.433,+5%,+9%,+6%
63,UHF Refractor,0.233,+5%,+6%,+6%
64,UHF De-limiter,0.4,+6%,+6%,+6%
65,Positron Mirror,0.567,+7%,+6%,+6%
66,Chrono Refractor,0.567,+7%,+6%,+6%
67,Positron Polariser,0.367,+5%,+8%,+6%
68,Positron Accelerator,0.233,+5%,+6%,+6%
69,Chrono Polariser,0.233,+5%,+6%,+6%
70,Chrono De-limiter,0.4,+5%,+6%,+7%
71,Emeril Oscillator,0.467,+6%,+7%,+6%
72,Chrono Resonator,0.233,+5%,+6%,+6%
73,Chrono Splitter,0.4,+5%,+6%,+7%
74,Positron Mirror,0.233,+5%,+6%,+6%
75,Chrono Amplifier,0.667,+5%,+10%,+7%
76,Positron Mirror,0.933,+7%,+9%,+7%
77,Emeril Polariser,0.4,+5%,+6%,+7%
78,Chrono Mirror,0.467,+5%,+7%,+7%
79,Indium Splitter,0.4,+5%,+6%,+7%
80,Indium Refractor,0.233,+5%,+6%,+6%
81,Chrono Polariser,0.467,+5%,+7%,+7%
82,Positron Filament,0.567,+6%,+6%,+7%
83,Positron Refractor,0.733,+7%,+6%,+7%
84,Indium Refractor,0.533,+5%,+8%,+7%
85,UHF Resonator,0.4,+5%,+6%,+7%
86,Emeril Filament,0.233,+5%,+6%,+6%
87,Chrono Amplifier,0.533,+6%,+8%,+6%
88,UHF Filament,0.233,+5%,+6%,+6%
89,Chrono Polariser,0.233,+5%,+6%,+6%
90,UHF De-limiter,0.733,+7%,+6%,+7%
91,Positron Accelerator,0.467,+6%,+7%,+6%
92,Indium De-limiter,0.233,+5%,+6%,+6%
93,Indium Oscillator,0.367,+5%,+8%,+6%
94,Emeril Polariser,0.3,+5%,+7%,+6%
95,Indium Accelerator,0.567,+7%,+6%,+6%
96,Indium Amplifier,0.567,+7%,+6%,+6%
97,Chrono Accelerator,0.233,+5%,+6%,+6%
98,Emeril De-limiter,0.567,+6%,+6%,+7%
99,UHF Refractor,0.5,+7%,+5%,+6%
100,UHF Mirror,0.567,+7%,+6%,+6%
101,Indium Splitter,0.233,+5%,+6%,+6%
102,Chrono Accelerator,0.633,+7%,+7%,+6%
103,Emeril Resonator,0.233,+5%,+6%,+6%
104,Emeril Mirror,0.233,+5%,+6%,+6%
105,Emeril Accelerator,0.233,+5%,+6%,+6%
106,Emeril Accelerator,0.533,+5%,+8%,+7%
107,Emeril Filament,0.4,+6%,+6%,+6%
108,Indium Filament,0.4,+5%,+6%,+7%
109,Emeril Resonator,0.233,+5%,+6%,+6%
110,Chrono Mirror,0.367,+5%,+8%,+6%
111,Positron Oscillator,0.567,+6%,+6%,+7%
112,Indium Accelerator,0.333,+6%,+5%,+6%
113,UHF Polariser,0.533,+6%,+8%,+6%
114,Positron Mirror,0.233,+5%,+6%,+6%
115,Indium Mirror,0.667,+6%,+10%,+6%
116,Indium De-limiter,0.4,+5%,+6%,+7%
117,UHF Mirror,0.233,+5%,+6%,+6%
118,Indium De-limiter,0.5,+5%,+10%,+6%
119,Emeril Polariser,0.667,+5%,+10%,+7%
120,Indium Amplifier,0.233,+5%,+6%,+6%
121,Indium De-limiter,0.4,+5%,+6%,+7%
122,Indium Polariser,0.3,+5%,+7%,+6%
123,Emeril De-limiter,0.3,+5%,+7%,+6%
124,Positron Polariser,0.233,+5%,+6%,+6%
125,Chrono Refractor,0.567,+7%,+6%,+6%
126,Positron Oscillator,0.833,+6%,+10%,+7%
127,Indium Resonator,0.333,+6%,+5%,+6%
128,Emeril Refractor,0.233,+5%,+6%,+6%
129,UHF Refractor,0.367,+5%,+8%,+6%
130,UHF De-limiter,0.833,+6%,+10%,+7%
131,Emeril Accelerator,0.233,+5%,+6%,+6%
132,Emeril De-limiter,0.4,+6%,+6%,+6%
133,Positron De-limiter,0.233,+5%,+6%,+6%
