Seed,Name,Perfection,Ship_Weapons_Guns_Damage,Ship_Weapons_Guns_Rate,Ship_Weapons_Guns_HeatTime
0,Laser Accelerator,0.0,+1%,,
1,Laser Accelerator,0.775,,+9%,+4%
2,Fibre Optic Mirror,0.5,+2%,,
3,Ionised Polariser,0.25,,,+3%
4,Ionised Polariser,0.2,,+7%,
5,Polished Resonator,0.0,+1%,,
6,Fibre Optic De-limiter,0.125,,,+2%
7,Laser Polariser,0.5,+2%,,
8,Retuned Mirror,0.5,+1%,+10%,
9,Retuned Resonator,0.1,,+6%,
10,Polished Resonator,0.25,,,+3%
11,Ionised Accelerator,0.125,,,+2%
12,Ionised Mirror,0.125,+1%,,+2%
13,Retuned Splitter,0.125,,,+2%
14,Retuned Oscillator,0.125,,,+2%
15,Ionised Oscillator,0.5,+2%,,
16,Fibre Optic Splitter,0.2,,+7%,
17,Polished Filament,0.3,+1%,+8%,
18,Polished Amplifier,0.5,+1%,+10%,
19,Fibre Optic Accelerator,0.325,,+7%,+2%
20,Retuned Filament,0.5,+1%,+10%,
21,Polished Mirror,0.1,+1%,+6%,
22,Ionised Polariser,0.4,,+9%,
23,Laser Polariser,0.125,,,+2%
24,Fibre Optic Filament,0.25,,,+3%
25,Polished Oscillator,0.125,,,+2%
26,Polished Filament,0.5,+2%,,
27,Laser Amplifier,0.1,,+6%,
28,Polished Oscillator,0.775,,+9%,+4%
29,Polished Mirror,0.125,,,+2%
30,Retuned Mirror,0.125,,,+2%
31,Retuned Splitter,0.375,+1%,,+4%
32,Laser Polariser,0.0,+1%,,
33,Retuned Oscillator,0.3,+1%,+8%,
34,Laser Amplifier,0.125,,,+2%
35,Laser Filament,0.0,+1%,,
36,Polished Filament,0.5,,,+5%
37,Fibre Optic Splitter,0.0,+1%,,
38,Ionised Refractor,0.7,,+7%,+5%
39,Laser Accelerator,0.125,,,+2%
40,Laser Polariser,0.0,+1%,,
41,Laser De-limiter,0.2,,+7%,
42,Polished Filament,0.1,,+6%,
43,Laser De-limiter,0.1,+1%,+6%,
44,Retuned Amplifier,0.0,+1%,,
45,Retuned Mirror,0.6,,+6%,+5%
46,Laser Filament,0.0,+1%,,
47,Ionised Accelerator,0.25,,,+3%
48,Polished Amplifier,0.375,,,+4%
49,Fibre Optic Polariser,0.2,,+7%,
50,Fibre Optic Splitter,0.0,+1%,,
51,Ionised Polariser,0.2,,+7%,
52,Fibre Optic Mirror,0.3,,+8%,
53,Ionised Accelerator,0.125,,,+2%
54,Ionised Filament,0.35,,+6%,+3%
55,Ionised Polariser,0.35,,+6%,+3%
56,Ionised Oscillator,0.25,,,+3%
57,Laser De-limiter,0.1,,+6%,
58,Polished Splitter,0.0,+1%,,
59,Retuned Polariser,0.1,,+6%,
60,Retuned Filament,0.3,,+8%,
61,Laser De-limiter,0.0,+1%,,
62,Laser Mirror,0.5,,+10%,
63,Ionised Refractor,0.25,,,+3%
64,Ionised De-limiter,0.1,,+6%,
65,Fibre Optic Mirror,0.5,+2%,,
66,Polished Refractor,0.5,+2%,,
67,Fibre Optic Polariser,0.4,,+9%,
68,Fibre Optic Accelerator,0.25,,,+3%
69,Polished Polariser,0.125,+1%,,+2%
70,Polished De-limiter,0.5,,,+5%
71,Retuned Oscillator,0.3,,+8%,
72,Polished Resonator,0.1,,+6%,
73,Polished Splitter,0.5,,,+5%
74,Fibre Optic Mirror,0.1,,+6%,
75,Polished Amplifier,0.375,,,+4%
76,Fibre Optic Mirror,0.5,,+10%,
77,Retuned Polariser,0.375,+1%,,+4%
78,Polished Mirror,0.3,,+8%,
79,Laser Splitter,0.1,+1%,+6%,
80,Laser Refractor,0.0,+1%,,
81,Polished Polariser,0.3,,+8%,
82,Fibre Optic Filament,0.2,,+7%,
83,Fibre Optic Refractor,0.375,,,+4%
84,Laser Refractor,0.375,,,+4%
85,Ionised Resonator,0.0,+1%,,
86,Retuned Filament,0.0,+1%,,
87,Polished Amplifier,0.125,+1%,,+2%
88,Ionised Filament,0.2,+1%,+7%,
89,Polished Polariser,0.125,,,+2%
90,Ionised De-limiter,0.2,,+7%,
91,Fibre Optic Accelerator,0.3,,+8%,
92,Laser De-limiter,0.25,,,+3%
93,Laser Oscillator,0.25,,,+3%
94,Retuned Polariser,0.125,,,+2%
95,Laser Accelerator,0.5,+2%,,
96,Laser Amplifier,0.25,,,+3%
97,Polished Accelerator,0.125,,,+2%
98,Retuned De-limiter,0.375,+1%,,+4%
99,Ionised Refractor,0.1,,+6%,
100,Ionised Mirror,0.75,+2%,,+3%
101,Laser Splitter,0.1,,+6%,
102,Polished Accelerator,0.5,+2%,,
103,Retuned Resonator,0.25,,,+3%
104,Retuned Mirror,0.125,,,+2%
105,Retuned Accelerator,0.1,,+6%,
106,Retuned Accelerator,0.4,,+9%,
107,Retuned Filament,0.0,+1%,,
108,Laser Filament,0.1,,+6%,
109,Retuned Resonator,0.35,,+6%,+3%
110,Polished Mirror,0.125,+1%,,+2%
111,Fibre Optic Oscillator,0.5,+1%,,+5%
112,Laser Accelerator,0.0,+1%,,
113,Ionised Polariser,0.25,,,+3%
114,Fibre Optic Mirror,0.125,,,+2%
115,Laser Mirror,0.5,,+10%,
116,Laser De-limiter,0.2,,+7%,
117,Ionised Mirror,0.125,,,+2%
118,Laser De-limiter,0.125,,,+2%
119,Retuned Polariser,0.5,,,+5%
120,Laser Amplifier,0.1,,+6%,
121,Laser De-limiter,0.2,+1%,+7%,
122,Laser Polariser,0.3,,+8%,
123,Retuned De-limiter,0.525,,+9%,+2%
124,Fibre Optic Polariser,0.2,,+7%,
125,Polished Refractor,0.125,,,+2%
126,Fibre Optic Oscillator,0.0,+1%,,
127,Laser Resonator,0.125,,,+2%
128,Retuned Refractor,0.0,+1%,,
129,Ionised Refractor,0.65,,+9%,+3%
130,Ionised De-limiter,0.5,,+10%,
131,Retuned Accelerator,0.2,+1%,+7%,
132,Retuned De-limiter,0.125,,,+2%
133,Fibre Optic De-limiter,0.125,,,+2%
134,Laser Splitter,0.0,+1%,,
135,Polished Refractor,0.5,,,+5%
136,Laser Mirror,1.0,,+10%,+5%
137,Retuned Refractor,0.0,+1%,,
138,Laser Amplifier,0.5,,+10%,
139,Retuned Splitter,0.5,,+10%,
140,Laser Oscillator,0.0,+1%,,
141,Fibre Optic Filament,0.0,+1%,,
142,Laser Oscillator,0.125,,,+2%
143,Ionised Mirror,0.0,+1%,,
144,Retuned Refractor,0.4,,+9%,
145,Ionised Resonator,0.375,,,+4%
146,Polished Amplifier,0.4,,+9%,
147,Retuned Polariser,0.0,+1%,,
148,Ionised Accelerator,0.3,,+8%,
149,Fibre Optic Splitter,0.5,,,+5%
150,Ionised Amplifier,0.0,+1%,,
151,Fibre Optic Splitter,0.1,,+6%,
152,Fibre Optic Accelerator,0.125,,,+2%
153,Ionised Filament,0.2,,+7%,
154,Ionised De-limiter,0.125,,,+2%
155,Polished De-limiter,0.0,+1%,,
156,Fibre Optic Polariser,0.2,,+7%,
157,Retuned Amplifier,0.2,+1%,+7%,
158,Fibre Optic Filament,0.4,,+9%,
159,Retuned Accelerator,0.125,,,+2%
160,Fibre Optic Accelerator,0.0,+1%,,
161,Fibre Optic Polariser,0.1,+1%,+6%,
162,Fibre Optic Mirror,0.2,,+7%,
163,Laser Amplifier,0.0,+1%,,
164,Ionised Accelerator,0.1,+1%,+6%,
165,Retuned Polariser,0.25,,,+3%
166,Retuned Mirror,0.1,+1%,+6%,
167,Laser Filament,0.125,,,+2%
168,Laser Oscillator,0.375,,,+4%
169,Ionised Refractor,0.375,,,+4%
170,Polished Resonator,0.1,+1%,+6%,
171,Polished Oscillator,0.375,,,+4%
172,Fibre Optic Resonator,0.125,,,+2%
173,Laser Refractor,0.0,+1%,,
174,Fibre Optic De-limiter,0.225,,+6%,+2%
175,Retuned Mirror,0.1,,+6%,
176,Ionised Oscillator,0.375,,,+4%
177,Laser De-limiter,0.0,+1%,,
178,Polished Oscillator,0.1,+1%,+6%,
179,Retuned Refractor,0.1,,+6%,
180,Ionised Resonator,0.0,+1%,,
181,Polished Refractor,0.375,+1%,,+4%
182,Polished Polariser,0.6,,+6%,+5%
183,Retuned Splitter,0.1,+1%,+6%,
184,Ionised Polariser,0.0,+1%,,
185,Ionised De-limiter,0.0,+1%,,
186,Fibre Optic Splitter,0.5,,+10%,
187,Ionised Oscillator,0.45,,+7%,+3%
188,Polished Polariser,0.5,+1%,,+5%
189,Laser Resonator,0.225,,+6%,+2%
190,Polished Resonator,0.125,+1%,,+2%
191,Polished Amplifier,0.1,,+6%,
192,Polished Filament,0.4,+1%,+9%,
193,Fibre Optic Polariser,0.5,+1%,+10%,
194,Ionised Filament,0.4,,+9%,
195,Laser Oscillator,0.375,,,+4%
196,Retuned Oscillator,0.1,,+6%,
197,Polished De-limiter,0.125,,,+2%
198,Polished Accelerator,0.1,,+6%,
199,Ionised Resonator,0.575,,+7%,+4%
200,Polished Amplifier,0.1,,+6%,
201,Polished De-limiter,0.0,+1%,,
202,Retuned De-limiter,0.25,,,+3%
203,Polished Resonator,0.0,+1%,,
204,Polished Polariser,0.25,,,+3%
205,Laser Refractor,0.375,,,+4%
206,Retuned Resonator,0.25,,,+3%
207,Fibre Optic Accelerator,0.0,+1%,,
208,Polished De-limiter,0.125,+1%,,+2%
209,Retuned Refractor,0.625,,+10%,+2%
210,Retuned Amplifier,0.375,,,+4%
211,Retuned Polariser,0.125,,,+2%
212,Laser Accelerator,0.125,,,+2%
213,Ionised Resonator,0.1,,+6%,
214,Polished Amplifier,0.125,,,+2%
215,Ionised Refractor,0.0,+1%,,
216,Fibre Optic Filament,0.3,,+8%,
217,Polished Oscillator,0.1,,+6%,
218,Laser Polariser,0.1,,+6%,
219,Polished Resonator,0.65,,+9%,+3%
220,Retuned Splitter,0.5,,,+5%
221,Ionised Splitter,0.375,,,+4%
222,Retuned Oscillator,0.1,+1%,+6%,
223,Fibre Optic Oscillator,0.1,,+6%,
224,Ionised Mirror,0.25,,,+3%
225,Laser Resonator,0.125,,,+2%
226,Polished Mirror,0.225,,+6%,+2%
227,Laser Splitter,0.5,+1%,+10%,
228,Laser Filament,0.4,+1%,+9%,
229,Polished De-limiter,0.125,,,+2%
230,Retuned Splitter,0.2,,+7%,
