Seed,Name,Perfection,Ship_Armour_Shield_Strength
0,Lightning Grafts,0.625,+12%
1,Lightning Grafts,0.125,+8%
2,Vector Battery,0.25,+9%
3,Sonic Padding,0.125,+8%
4,Sonic Padding,0.75,+13%
5,Bionic Bulwark,0.125,+8%
6,Vector Resonator,0.0,+7%
7,Lightning Padding,0.5,+11%
8,Uranium Battery,0.75,+13%
9,Uranium Bulwark,0.125,+8%
10,Bionic Bulwark,0.125,+8%
11,Sonic Grafts,0.0,+7%
12,Sonic Battery,0.5,+11%
13,Uranium Shield,0.125,+8%
14,Uranium Armour,0.0,+7%
15,Sonic Armour,0.25,+9%
16,Vector Shield,0.875,+14%
17,Bionic Buffer,0.875,+14%
18,Bionic Lattice,0.625,+12%
19,Vector Grafts,0.0,+7%
20,Uranium Buffer,0.875,+14%
21,Bionic Battery,0.75,+13%
22,Sonic Padding,0.75,+13%
23,Lightning Padding,0.125,+8%
24,Vector Buffer,0.125,+8%
25,Bionic Armour,0.125,+8%
26,Bionic Buffer,0.625,+12%
27,Lightning Lattice,0.0,+7%
28,Bionic Armour,0.125,+8%
29,Bionic Battery,0.0,+7%
30,Uranium Battery,0.25,+9%
31,Uranium Shield,0.375,+10%
32,Lightning Padding,0.625,+12%
33,Uranium Armour,0.625,+12%
34,Lightning Lattice,0.125,+8%
35,Lightning Buffer,0.25,+9%
36,Bionic Buffer,0.375,+10%
37,Vector Shield,0.875,+14%
38,Sonic Polariser,0.0,+7%
39,Lightning Grafts,0.0,+7%
40,Lightning Padding,0.5,+11%
41,Lightning Resonator,0.625,+12%
42,Bionic Buffer,0.875,+14%
43,Lightning Resonator,0.875,+14%
44,Uranium Lattice,0.75,+13%
45,Uranium Battery,0.0,+7%
46,Lightning Buffer,0.25,+9%
47,Sonic Grafts,0.0,+7%
48,Bionic Lattice,0.125,+8%
49,Vector Padding,0.125,+8%
50,Vector Shield,0.75,+13%
51,Sonic Padding,0.125,+8%
52,Vector Battery,0.125,+8%
53,Sonic Grafts,0.0,+7%
54,Sonic Buffer,0.0,+7%
55,Sonic Padding,0.125,+8%
56,Sonic Armour,0.125,+8%
57,Lightning Resonator,0.5,+11%
58,Bionic Shield,0.5,+11%
59,Uranium Padding,0.125,+8%
60,Uranium Buffer,0.625,+12%
61,Lightning Resonator,0.125,+8%
62,Lightning Battery,0.5,+11%
63,Sonic Polariser,0.25,+9%
64,Sonic Resonator,0.875,+14%
65,Vector Battery,0.375,+10%
66,Bionic Polariser,0.5,+11%
67,Vector Padding,0.5,+11%
68,Vector Grafts,0.25,+9%
69,Bionic Padding,0.125,+8%
70,Bionic Resonator,0.375,+10%
71,Uranium Armour,0.0,+7%
72,Bionic Bulwark,0.125,+8%
73,Bionic Shield,0.0,+7%
74,Vector Battery,0.625,+12%
75,Bionic Lattice,0.125,+8%
76,Vector Battery,0.0,+7%
77,Uranium Padding,0.375,+10%
78,Bionic Battery,0.0,+7%
79,Lightning Shield,1.0,+15%
80,Lightning Polariser,0.125,+8%
81,Bionic Padding,0.5,+11%
82,Vector Buffer,0.625,+12%
83,Vector Polariser,0.375,+10%
84,Lightning Polariser,0.0,+7%
85,Sonic Bulwark,0.125,+8%
86,Uranium Buffer,0.25,+9%
87,Bionic Lattice,0.25,+9%
88,Sonic Buffer,0.75,+13%
89,Bionic Padding,0.375,+10%
90,Sonic Resonator,1.0,+15%
91,Vector Grafts,0.0,+7%
92,Lightning Resonator,0.125,+8%
93,Lightning Armour,0.25,+9%
94,Uranium Padding,0.125,+8%
95,Lightning Grafts,0.5,+11%
96,Lightning Lattice,0.125,+8%
97,Bionic Grafts,0.125,+8%
98,Uranium Resonator,0.25,+9%
99,Sonic Polariser,0.0,+7%
100,Sonic Battery,0.25,+9%
101,Lightning Shield,0.875,+14%
102,Bionic Grafts,0.375,+10%
103,Uranium Bulwark,0.25,+9%
104,Uranium Battery,0.125,+8%
105,Uranium Grafts,0.125,+8%
106,Uranium Grafts,0.0,+7%
107,Uranium Buffer,0.625,+12%
108,Lightning Buffer,1.0,+15%
109,Uranium Bulwark,0.0,+7%
110,Bionic Battery,0.25,+9%
111,Vector Armour,0.375,+10%
112,Lightning Grafts,0.375,+10%
113,Sonic Padding,0.375,+10%
114,Vector Battery,0.125,+8%
115,Lightning Battery,0.0,+7%
116,Lightning Resonator,0.125,+8%
117,Sonic Battery,0.125,+8%
118,Lightning Resonator,0.125,+8%
119,Uranium Padding,0.0,+7%
120,Lightning Lattice,0.0,+7%
121,Lightning Resonator,0.75,+13%
122,Lightning Padding,0.625,+12%
123,Uranium Resonator,0.125,+8%
124,Vector Padding,0.5,+11%
125,Bionic Polariser,0.125,+8%
126,Vector Armour,0.875,+14%
127,Lightning Bulwark,0.125,+8%
128,Uranium Polariser,0.625,+12%
129,Sonic Polariser,0.125,+8%
130,Sonic Resonator,0.0,+7%
131,Uranium Grafts,1.0,+15%
132,Uranium Resonator,0.125,+8%
133,Vector Resonator,0.25,+9%
134,Lightning Shield,0.5,+11%
135,Bionic Polariser,0.25,+9%
136,Lightning Battery,0.125,+8%
137,Uranium Polariser,0.375,+10%
138,Lightning Lattice,0.0,+7%
139,Uranium Shield,1.0,+15%
140,Lightning Armour,0.5,+11%
141,Vector Buffer,0.375,+10%
142,Lightning Armour,0.25,+9%
143,Sonic Battery,0.25,+9%
144,Uranium Polariser,0.125,+8%
145,Sonic Bulwark,0.125,+8%
146,Bionic Lattice,0.0,+7%
147,Uranium Padding,0.375,+10%
148,Sonic Grafts,0.0,+7%
149,Vector Shield,0.0,+7%
150,Sonic Lattice,0.25,+9%
151,Vector Shield,0.625,+12%
152,Vector Grafts,0.0,+7%
153,Sonic Buffer,0.0,+7%
154,Sonic Resonator,0.0,+7%
155,Bionic Resonator,0.375,+10%
156,Vector Padding,0.75,+13%
157,Uranium Lattice,0.75,+13%
158,Vector Buffer,0.875,+14%
159,Uranium Grafts,0.25,+9%
160,Vector Grafts,0.875,+14%
161,Vector Padding,0.75,+13%
162,Vector Battery,0.0,+7%
163,Lightning Lattice,0.125,+8%
164,Sonic Grafts,0.5,+11%
165,Uranium Padding,0.125,+8%
166,Uranium Battery,0.875,+14%
167,Lightning Buffer,0.125,+8%
168,Lightning Armour,0.375,+10%
169,Sonic Polariser,0.25,+9%
170,Bionic Bulwark,0.75,+13%
171,Bionic Armour,0.375,+10%
172,Vector Bulwark,0.375,+10%
173,Lightning Polariser,1.0,+15%
174,Vector Resonator,0.0,+7%
175,Uranium Battery,0.5,+11%
176,Sonic Armour,0.0,+7%
177,Lightning Resonator,0.375,+10%
178,Bionic Armour,0.5,+11%
179,Uranium Polariser,0.0,+7%
180,Sonic Bulwark,0.375,+10%
181,Bionic Polariser,0.25,+9%
182,Bionic Padding,0.0,+7%
183,Uranium Shield,0.75,+13%
184,Sonic Padding,0.75,+13%
185,Sonic Resonator,1.0,+15%
186,Vector Shield,0.0,+7%
187,Sonic Armour,0.125,+8%
188,Bionic Padding,0.375,+10%
189,Lightning Bulwark,0.0,+7%
190,Bionic Bulwark,0.125,+8%
191,Bionic Lattice,0.125,+8%
192,Bionic Buffer,0.75,+13%
193,Vector Padding,0.75,+13%
194,Sonic Buffer,0.125,+8%
195,Lightning Armour,0.125,+8%
196,Uranium Armour,0.0,+7%
197,Bionic Resonator,0.125,+8%
198,Bionic Grafts,0.75,+13%
199,Sonic Bulwark,0.125,+8%
200,Bionic Lattice,0.5,+11%
201,Bionic Resonator,0.625,+12%
202,Uranium Resonator,0.25,+9%
203,Bionic Bulwark,0.875,+14%
204,Bionic Padding,0.0,+7%
205,Lightning Polariser,0.0,+7%
206,Uranium Bulwark,0.25,+9%
207,Vector Grafts,0.25,+9%
208,Bionic Resonator,0.25,+9%
209,Uranium Polariser,0.0,+7%
210,Uranium Lattice,0.5,+11%
211,Uranium Padding,0.0,+7%
212,Lightning Grafts,0.0,+7%
213,Sonic Bulwark,0.625,+12%
214,Bionic Lattice,0.375,+10%
215,Sonic Polariser,0.375,+10%
216,Vector Buffer,0.125,+8%
217,Bionic Armour,1.0,+15%
218,Lightning Padding,0.0,+7%
219,Bionic Bulwark,0.125,+8%
220,Uranium Shield,0.0,+7%
221,Sonic Shield,0.25,+9%
222,Uranium Armour,1.0,+15%
223,Vector Armour,0.0,+7%
224,Sonic Battery,0.0,+7%
225,Lightning Bulwark,0.375,+10%
226,Bionic Battery,0.0,+7%
227,Lightning Shield,0.625,+12%
228,Lightning Buffer,0.5,+11%
229,Bionic Resonator,0.125,+8%
230,Uranium Shield,0.0,+7%
231,Uranium Lattice,0.0,+7%
232,Lightning Grafts,0.75,+13%
233,Sonic Shield,0.875,+14%
234,Vector Battery,0.0,+7%
235,Lightning Grafts,0.75,+13%
236,Vector Armour,0.125,+8%
237,Uranium Bulwark,0.125,+8%
238,Uranium Padding,0.0,+7%
239,Vector Buffer,0.0,+7%
240,Uranium Buffer,0.0,+7%
241,Bionic Grafts,0.75,+13%
242,Uranium Resonator,0.0,+7%
243,Vector Resonator,0.0,+7%
244,Sonic Buffer,0.0,+7%
245,Vector Resonator,0.25,+9%
246,Sonic Armour,0.375,+10%
247,Bionic Buffer,1.0,+15%
248,Lightning Grafts,0.0,+7%
249,Uranium Battery,0.25,+9%
250,Lightning Battery,0.375,+10%
251,Bionic Grafts,0.375,+10%
252,Vector Shield,0.125,+8%
253,Sonic Bulwark,0.5,+11%
254,Uranium Armour,0.625,+12%
255,Vector Buffer,0.375,+10%
256,Lightning Bulwark,1.0,+15%
257,Lightning Buffer,0.0,+7%
258,Bionic Battery,0.25,+9%
259,Uranium Battery,0.375,+10%
260,Uranium Battery,0.125,+8%
261,Lightning Lattice,0.0,+7%
262,Lightning Grafts,0.25,+9%
263,Uranium Shield,0.375,+10%
264,Lightning Grafts,0.125,+8%
265,Vector Polariser,0.875,+14%
266,Lightning Battery,0.375,+10%
267,Sonic Lattice,0.0,+7%
268,Lightning Polariser,0.5,+11%
269,Vector Shield,0.125,+8%
270,Uranium Armour,0.5,+11%
271,Lightning Padding,0.875,+14%
272,Uranium Polariser,0.125,+8%
273,Uranium Lattice,0.125,+8%
274,Uranium Resonator,0.0,+7%
275,Vector Resonator,0.625,+12%
276,Vector Bulwark,0.625,+12%
277,Sonic Polariser,0.125,+8%
278,Vector Lattice,0.875,+14%
279,Bionic Armour,0.5,+11%
280,Sonic Grafts,0.5,+11%
281,Vector Padding,0.5,+11%
282,Lightning Padding,0.0,+7%
283,Lightning Bulwark,0.625,+12%
284,Lightning Padding,0.75,+13%
285,Uranium Armour,0.125,+8%
286,Lightning Battery,0.0,+7%
287,Lightning Resonator,0.0,+7%
288,Lightning Buffer,0.375,+10%
289,Uranium Buffer,0.125,+8%
290,Sonic Shield,0.75,+13%
291,Vector Shield,0.375,+10%
292,Sonic Buffer,0.0,+7%
293,Vector Battery,1.0,+15%
294,Sonic Shield,0.375,+10%
295,Sonic Shield,0.125,+8%
296,Lightning Polariser,0.25,+9%
297,Vector Grafts,0.125,+8%
298,Sonic Buffer,0.25,+9%
299,Vector Armour,0.5,+11%
300,Bionic Armour,0.125,+8%
301,Uranium Battery,0.75,+13%
302,Bionic Bulwark,0.875,+14%
303,Bionic Lattice,0.5,+11%
304,Uranium Armour,0.0,+7%
305,Vector Polariser,0.125,+8%
306,Vector Bulwark,0.375,+10%
307,Vector Polariser,0.0,+7%
308,Uranium Buffer,0.0,+7%
309,Bionic Buffer,0.125,+8%
310,Sonic Grafts,0.375,+10%
311,Sonic Padding,0.75,+13%
312,Bionic Padding,0.25,+9%
313,Lightning Battery,0.5,+11%
314,Bionic Grafts,0.375,+10%
315,Vector Padding,0.25,+9%
316,Bionic Bulwark,0.125,+8%
317,Lightning Bulwark,0.25,+9%
318,Sonic Grafts,0.375,+10%
319,Lightning Resonator,0.875,+14%
320,Sonic Shield,0.0,+7%
321,Lightning Grafts,0.125,+8%
322,Sonic Buffer,0.25,+9%
323,Vector Padding,0.5,+11%
324,Sonic Shield,0.25,+9%
325,Bionic Shield,0.25,+9%
326,Bionic Polariser,0.75,+13%
327,Vector Lattice,0.125,+8%
328,Uranium Battery,0.75,+13%
329,Uranium Polariser,0.125,+8%
330,Bionic Polariser,0.25,+9%
331,Vector Armour,0.0,+7%
332,Uranium Shield,1.0,+15%
333,Uranium Armour,0.625,+12%
334,Lightning Grafts,0.0,+7%
335,Bionic Resonator,0.5,+11%
336,Vector Grafts,0.25,+9%
337,Bionic Buffer,0.5,+11%
338,Sonic Buffer,0.0,+7%
339,Lightning Shield,0.25,+9%
340,Vector Battery,0.375,+10%
341,Sonic Buffer,0.0,+7%
342,Vector Padding,0.75,+13%
343,Uranium Battery,0.75,+13%
344,Uranium Lattice,0.125,+8%
345,Vector Padding,0.75,+13%
346,Vector Polariser,0.625,+12%
347,Uranium Battery,0.125,+8%
348,Uranium Buffer,0.125,+8%
349,Lightning Resonator,0.0,+7%
350,Bionic Lattice,0.125,+8%
351,Bionic Shield,0.0,+7%
352,Uranium Polariser,0.5,+11%
353,Uranium Battery,0.5,+11%
354,Uranium Padding,0.0,+7%
355,Vector Lattice,0.125,+8%
356,Vector Armour,0.125,+8%
357,Sonic Padding,1.0,+15%
358,Lightning Shield,0.125,+8%
359,Lightning Armour,0.75,+13%
360,Uranium Bulwark,0.5,+11%
361,Lightning Shield,0.25,+9%
362,Vector Padding,0.25,+9%
363,Lightning Lattice,0.125,+8%
364,Uranium Battery,0.125,+8%
365,Vector Bulwark,0.5,+11%
366,Lightning Resonator,0.125,+8%
367,Sonic Armour,0.625,+12%
368,Uranium Battery,0.625,+12%
369,Sonic Shield,0.5,+11%
370,Bionic Grafts,0.375,+10%
371,Sonic Lattice,0.875,+14%
372,Bionic Grafts,0.25,+9%
373,Vector Bulwark,0.375,+10%
374,Sonic Grafts,0.0,+7%
375,Bionic Resonator,0.0,+7%
376,Vector Lattice,0.875,+14%
377,Sonic Lattice,0.25,+9%
378,Lightning Grafts,0.0,+7%
379,Lightning Shield,0.0,+7%
380,Vector Resonator,0.25,+9%
381,Sonic Grafts,0.0,+7%
382,Sonic Polariser,0.0,+7%
383,Lightning Grafts,0.75,+13%
384,Lightning Resonator,0.625,+12%
385,Lightning Bulwark,0.5,+11%
386,Vector Resonator,0.0,+7%
387,Uranium Buffer,0.0,+7%
388,Uranium Shield,0.125,+8%
389,Bionic Battery,0.125,+8%
390,Lightning Battery,0.875,+14%
391,Uranium Grafts,0.25,+9%
392,Sonic Grafts,0.125,+8%
393,Uranium Shield,0.0,+7%
394,Lightning Grafts,0.75,+13%
395,Uranium Armour,0.0,+7%
396,Lightning Padding,0.0,+7%
397,Uranium Lattice,0.0,+7%
398,Lightning Buffer,0.125,+8%
399,Vector Padding,0.125,+8%
400,Vector Armour,1.0,+15%
401,Vector Armour,0.625,+12%
402,Uranium Grafts,0.0,+7%
403,Lightning Bulwark,0.125,+8%
404,Lightning Bulwark,0.0,+7%
405,Vector Bulwark,0.375,+10%
406,Vector Resonator,1.0,+15%
407,Vector Grafts,0.375,+10%
408,Sonic Polariser,0.5,+11%
409,Uranium Battery,0.875,+14%
410,Bionic Armour,0.125,+8%
411,Vector Shield,0.25,+9%
412,Sonic Padding,0.125,+8%
413,Uranium Battery,0.0,+7%
414,Bionic Padding,0.875,+14%
415,Lightning Bulwark,0.625,+12%
416,Uranium Padding,0.125,+8%
417,Uranium Polariser,0.125,+8%
418,Sonic Bulwark,0.25,+9%
419,Uranium Buffer,0.75,+13%
420,Vector Resonator,0.5,+11%
421,Lightning Shield,0.125,+8%
422,Lightning Battery,0.0,+7%
423,Sonic Polariser,0.75,+13%
424,Lightning Lattice,0.0,+7%
425,Vector Resonator,0.75,+13%
426,Vector Battery,0.125,+8%
427,Bionic Shield,0.875,+14%
428,Lightning Grafts,0.25,+9%
429,Uranium Bulwark,0.625,+12%
430,Lightning Grafts,0.375,+10%
431,Sonic Bulwark,0.125,+8%
432,Vector Buffer,0.0,+7%
433,Vector Padding,0.25,+9%
434,Sonic Lattice,0.0,+7%
435,Uranium Resonator,0.625,+12%
436,Uranium Battery,0.625,+12%
437,Uranium Padding,0.5,+11%
438,Lightning Resonator,0.375,+10%
439,Bionic Buffer,0.125,+8%
440,Sonic Resonator,0.0,+7%
441,Vector Grafts,0.5,+11%
442,Vector Shield,0.125,+8%
443,Sonic Battery,0.375,+10%
444,Bionic Shield,0.0,+7%
445,Bionic Grafts,0.5,+11%
446,Vector Grafts,0.5,+11%
447,Vector Armour,0.625,+12%
448,Lightning Grafts,0.25,+9%
449,Sonic Resonator,1.0,+15%
450,Vector Bulwark,0.0,+7%
451,Bionic Battery,0.0,+7%
452,Sonic Padding,0.375,+10%
453,Bionic Padding,0.125,+8%
454,Sonic Bulwark,0.125,+8%
455,Lightning Armour,0.125,+8%
456,Vector Lattice,0.875,+14%
457,Vector Resonator,0.25,+9%
458,Uranium Resonator,0.875,+14%
459,Bionic Grafts,0.25,+9%
460,Sonic Buffer,0.125,+8%
461,Lightning Buffer,0.625,+12%
462,Sonic Shield,0.75,+13%
463,Bionic Padding,0.375,+10%
464,Lightning Shield,0.375,+10%
465,Bionic Battery,0.5,+11%
466,Sonic Buffer,0.5,+11%
467,Bionic Lattice,0.0,+7%
468,Lightning Shield,0.375,+10%
469,Uranium Lattice,0.375,+10%
470,Bionic Buffer,0.25,+9%
471,Uranium Resonator,0.125,+8%
472,Lightning Polariser,0.375,+10%
473,Lightning Polariser,0.875,+14%
474,Uranium Armour,0.125,+8%
475,Uranium Grafts,0.0,+7%
476,Lightning Resonator,0.875,+14%
477,Bionic Padding,0.125,+8%
478,Bionic Buffer,0.875,+14%
479,Vector Grafts,0.375,+10%
480,Sonic Padding,0.25,+9%
481,Uranium Lattice,0.625,+12%
482,Uranium Battery,0.0,+7%
483,Vector Shield,0.125,+8%
484,Lightning Shield,0.125,+8%
485,Uranium Resonator,0.125,+8%
486,Uranium Lattice,0.125,+8%
487,Sonic Lattice,0.125,+8%
488,Lightning Padding,0.875,+14%
489,Bionic Polariser,0.625,+12%
490,Uranium Buffer,0.375,+10%
491,Bionic Armour,0.25,+9%
492,Sonic Armour,0.5,+11%
493,Lightning Resonator,0.0,+7%
494,Uranium Grafts,0.75,+13%
495,Uranium Padding,0.625,+12%
496,Lightning Armour,0.375,+10%
497,Bionic Polariser,0.125,+8%
498,Bionic Grafts,0.375,+10%
499,Bionic Buffer,0.125,+8%
500,Lightning Bulwark,0.875,+14%
501,Lightning Shield,0.5,+11%
502,Lightning Bulwark,0.5,+11%
503,Uranium Armour,0.375,+10%
504,Uranium Lattice,0.25,+9%
505,Vector Battery,0.5,+11%
506,Bionic Resonator,0.875,+14%
507,Vector Grafts,0.0,+7%
508,Sonic Battery,0.5,+11%
509,Lightning Lattice,0.125,+8%
510,Bionic Lattice,0.875,+14%
511,Bionic Resonator,1.0,+15%
512,Uranium Shield,0.0,+7%
513,Lightning Bulwark,0.625,+12%
514,Sonic Resonator,0.0,+7%
515,Bionic Polariser,0.5,+11%
516,Lightning Armour,0.375,+10%
517,Vector Resonator,0.125,+8%
518,Sonic Buffer,0.25,+9%
519,Uranium Grafts,1.0,+15%
520,Uranium Shield,0.0,+7%
521,Vector Buffer,0.25,+9%
522,Uranium Lattice,0.875,+14%
523,Vector Buffer,0.75,+13%
524,Vector Shield,0.375,+10%
525,Sonic Padding,0.0,+7%
526,Bionic Bulwark,0.75,+13%
527,Bionic Armour,0.125,+8%
528,Sonic Resonator,0.25,+9%
529,Uranium Shield,0.0,+7%
530,Lightning Buffer,0.625,+12%
531,Vector Grafts,0.0,+7%
532,Vector Battery,0.125,+8%
533,Bionic Buffer,0.75,+13%
534,Bionic Padding,0.125,+8%
535,Lightning Armour,0.25,+9%
536,Bionic Bulwark,0.5,+11%
537,Sonic Padding,0.125,+8%
538,Uranium Polariser,0.5,+11%
539,Vector Bulwark,0.375,+10%
540,Sonic Battery,0.125,+8%
541,Vector Lattice,0.875,+14%
542,Sonic Grafts,0.125,+8%
543,Vector Buffer,0.75,+13%
544,Sonic Padding,0.125,+8%
545,Lightning Bulwark,0.0,+7%
546,Lightning Shield,0.0,+7%
547,Vector Buffer,0.0,+7%
548,Sonic Buffer,0.25,+9%
549,Lightning Armour,0.375,+10%
550,Sonic Grafts,0.0,+7%
551,Vector Padding,0.0,+7%
552,Uranium Bulwark,0.0,+7%
553,Lightning Bulwark,0.75,+13%
554,Uranium Resonator,0.5,+11%
555,Vector Shield,0.75,+13%
556,Bionic Shield,0.375,+10%
557,Bionic Padding,0.0,+7%
558,Uranium Lattice,1.0,+15%
559,Vector Lattice,0.625,+12%
560,Lightning Shield,0.125,+8%
561,Lightning Padding,0.75,+13%
562,Lightning Armour,0.375,+10%
563,Vector Lattice,0.25,+9%
564,Sonic Resonator,0.25,+9%
565,Bionic Grafts,0.0,+7%
566,Bionic Polariser,0.375,+10%
567,Sonic Shield,0.25,+9%
568,Lightning Polariser,0.125,+8%
569,Uranium Polariser,0.0,+7%
570,Uranium Bulwark,0.0,+7%
571,Lightning Bulwark,0.25,+9%
572,Vector Bulwark,0.25,+9%
573,Bionic Grafts,0.5,+11%
574,Lightning Shield,0.0,+7%
575,Uranium Grafts,0.125,+8%
576,Uranium Bulwark,0.125,+8%
577,Lightning Bulwark,0.125,+8%
578,Uranium Armour,0.375,+10%
579,Sonic Armour,0.5,+11%
580,Bionic Shield,0.0,+7%
581,Lightning Grafts,0.375,+10%
582,Uranium Resonator,0.5,+11%
583,Bionic Resonator,0.5,+11%
584,Bionic Armour,0.125,+8%
585,Bionic Armour,0.375,+10%
586,Sonic Resonator,0.0,+7%
587,Bionic Resonator,0.75,+13%
588,Bionic Polariser,0.25,+9%
