Seed	Name	Perfection	Ship_Armour_Shield_Strength
0	M-Field Grafts	0.6	+24%
1	M-Field Grafts	0.067	+16%
2	Induction Battery	0.267	+19%
3	Deionised Padding	0.067	+16%
4	Deionised Padding	0.8	+27%
5	Neutron Bulwark	0.133	+17%
6	Induction Resonator	0.0	+15%
7	M-Field Padding	0.467	+22%
8	Nuclear Battery	0.733	+26%
9	Nuclear Bulwark	0.067	+16%
10	Neutron Bulwark	0.067	+16%
11	Deionised Grafts	0.0	+15%
12	Deionised Battery	0.467	+22%
13	Nuclear Shield	0.133	+17%
14	Nuclear Armour	0.0	+15%
15	Deionised Armour	0.2	+18%
16	Induction Shield	0.867	+28%
17	Neutron Buffer	0.867	+28%
18	Neutron Lattice	0.6	+24%
19	Induction Grafts	0.0	+15%
20	Nuclear Buffer	0.933	+29%
21	Neutron Battery	0.733	+26%
22	Deionised Padding	0.8	+27%
23	M-Field Padding	0.067	+16%
24	Induction Buffer	0.067	+16%
25	Neutron Armour	0.067	+16%
26	Neutron Buffer	0.6	+24%
27	M-Field Lattice	0.0	+15%
28	Neutron Armour	0.067	+16%
29	Neutron Battery	0.0	+15%
30	Nuclear Battery	0.2	+18%
31	Nuclear Shield	0.333	+20%
32	M-Field Padding	0.667	+25%
33	Nuclear Armour	0.6	+24%
34	M-Field Lattice	0.067	+16%
35	M-Field Buffer	0.267	+19%
36	Neutron Buffer	0.4	+21%
37	Induction Shield	0.933	+29%
38	Deionised Polariser	0.0	+15%
39	M-Field Grafts	0.0	+15%
40	M-Field Padding	0.533	+23%
41	M-Field Resonator	0.6	+24%
42	Neutron Buffer	0.867	+28%
43	M-Field Resonator	0.933	+29%
44	Nuclear Lattice	0.8	+27%
45	Nuclear Battery	0.0	+15%
46	M-Field Buffer	0.2	+18%
47	Deionised Grafts	0.0	+15%
48	Neutron Lattice	0.067	+16%
49	Induction Padding	0.067	+16%
50	Induction Shield	0.8	+27%
51	Deionised Padding	0.067	+16%
52	Induction Battery	0.067	+16%
53	Deionised Grafts	0.0	+15%
54	Deionised Buffer	0.0	+15%
55	Deionised Padding	0.067	+16%
56	Deionised Armour	0.133	+17%
57	M-Field Resonator	0.533	+23%
58	Neutron Shield	0.467	+22%
59	Nuclear Padding	0.067	+16%
60	Nuclear Buffer	0.667	+25%
61	M-Field Resonator	0.133	+17%
62	M-Field Battery	0.533	+23%
63	Deionised Polariser	0.267	+19%
64	Deionised Resonator	0.933	+29%
65	Induction Battery	0.333	+20%
66	Neutron Polariser	0.533	+23%
67	Induction Padding	0.467	+22%
68	Induction Grafts	0.267	+19%
69	Neutron Padding	0.133	+17%
70	Neutron Resonator	0.333	+20%
71	Nuclear Armour	0.0	+15%
72	Neutron Bulwark	0.067	+16%
73	Neutron Shield	0.0	+15%
