sep=,
Seed,Name,Perfection,Ship_Armour_Shield_Strength
0,Nanite Grafts,1.0,+30%
1,Nanite Grafts,1.0,+30%
2,Harmonic Battery,1.0,+30%
3,Q-Field Padding,1.0,+30%
4,Q-Field Padding,1.0,+30%
5,Lumen Bulwark,1.0,+30%
6,Harmonic Resonator,1.0,+30%
7,Nanite Padding,1.0,+30%
8,Lorentz Battery,1.0,+30%
9,Lorentz Bulwark,1.0,+30%
10,Lumen Bulwark,1.0,+30%
11,Q-Field Grafts,1.0,+30%
12,Q-Field Battery,1.0,+30%
13,Lorentz Shield,1.0,+30%
14,Lorentz Armour,1.0,+30%
15,Q-Field Armour,1.0,+30%
16,Harmonic Shield,1.0,+30%
17,Lumen Buffer,1.0,+30%
18,Lumen Lattice,1.0,+30%
19,Harmonic Grafts,1.0,+30%
20,Lorentz Buffer,1.0,+30%
21,Lumen Battery,1.0,+30%
22,Q-Field Padding,1.0,+30%
23,Nanite Padding,1.0,+30%
24,Harmonic Buffer,1.0,+30%
25,Lumen Armour,1.0,+30%
26,Lumen Buffer,1.0,+30%
27,Nanite Lattice,1.0,+30%
28,Lumen Armour,1.0,+30%
29,Lumen Battery,1.0,+30%
30,Lorentz Battery,1.0,+30%
31,Lorentz Shield,1.0,+30%
32,Nanite Padding,1.0,+30%
33,Lorentz Armour,1.0,+30%
34,Nanite Lattice,1.0,+30%
35,Nanite Buffer,1.0,+30%
36,Lumen Buffer,1.0,+30%
37,Harmonic Shield,1.0,+30%
38,Q-Field Polariser,1.0,+30%
39,Nanite Grafts,1.0,+30%
40,Nanite Padding,1.0,+30%
41,Nanite Resonator,1.0,+30%
42,Lumen Buffer,1.0,+30%
43,Nanite Resonator,1.0,+30%
44,Lorentz Lattice,1.0,+30%
45,Lorentz Battery,1.0,+30%
46,Nanite Buffer,1.0,+30%
47,Q-Field Grafts,1.0,+30%
48,Lumen Lattice,1.0,+30%
49,Harmonic Padding,1.0,+30%
50,Harmonic Shield,1.0,+30%
51,Q-Field Padding,1.0,+30%
52,Harmonic Battery,1.0,+30%
53,Q-Field Grafts,1.0,+30%
54,Q-Field Buffer,1.0,+30%
55,Q-Field Padding,1.0,+30%
56,Q-Field Armour,1.0,+30%
57,Nanite Resonator,1.0,+30%
58,Lumen Shield,1.0,+30%
59,Lorentz Padding,1.0,+30%
60,Lorentz Buffer,1.0,+30%
