sep=,
Seed,Name,Perfection,Vehicle_GunDamage,Vehicle_GunRate
0,Reinforced Liquid Ignitors,0.5,+2%,
1,Reinforced Liquid Ignitors,0.5,,+2%
2,Re-sealed Power Array,0.5,,+2%
3,Well-Made Purifier Unit,0.0,,+1%
4,Well-Made Purifier Unit,0.0,+1%,
5,Efficient Saline Beam,0.5,,+2%
6,Re-sealed Lux Stabiliser,0.5,,+2%
7,Reinforced Purifier Unit,0.5,+2%,
8,Uncorroded Power Array,0.5,+2%,
9,Uncorroded Saline Beam,0.5,,+2%
10,Efficient Saline Beam,0.5,,+2%
11,Well-Made Liquid Ignitors,0.5,,+2%
12,Well-Made Power Array,0.0,+1%,
13,Uncorroded Sonic Batteries,0.5,,+2%
14,Uncorroded Ion Coils,0.0,,+1%
15,Well-Made Ion Coils,0.5,,+2%
16,Re-sealed Sonic Batteries,0.0,+1%,
17,Efficient Pressure Nozzle,0.0,+1%,
18,Efficient Sonar Array,0.0,+1%,
19,Re-sealed Liquid Ignitors,1.0,,+3%
20,Uncorroded Pressure Nozzle,0.0,+1%,
21,Efficient Power Array,0.0,+1%,
22,Well-Made Purifier Unit,0.0,+1%,
23,Reinforced Purifier Unit,0.5,,+2%
24,Re-sealed Pressure Nozzle,0.5,,+2%
25,Efficient Ion Coils,0.5,,+2%
26,Efficient Pressure Nozzle,0.0,+1%,
27,Reinforced Sonar Array,0.5,,+2%
28,Efficient Ion Coils,0.5,,+2%
29,Efficient Power Array,0.5,,+2%
30,Uncorroded Power Array,0.5,,+2%
31,Uncorroded Sonic Batteries,0.0,+1%,
32,Reinforced Purifier Unit,0.5,+2%,
33,Uncorroded Ion Coils,0.5,+2%,
34,Reinforced Sonar Array,0.5,,+2%
35,Reinforced Pressure Nozzle,0.5,+2%,
36,Efficient Pressure Nozzle,0.0,+1%,
37,Re-sealed Sonic Batteries,0.5,+2%,
38,Well-Made Hyperthermal Pump,0.5,,+2%
39,Reinforced Liquid Ignitors,0.5,,+2%
40,Reinforced Purifier Unit,0.5,+2%,
41,Reinforced Lux Stabiliser,0.0,+1%,
42,Efficient Pressure Nozzle,0.0,+1%,
43,Reinforced Lux Stabiliser,0.0,+1%,
44,Uncorroded Sonar Array,0.5,+2%,
45,Uncorroded Power Array,0.5,,+2%
46,Reinforced Pressure Nozzle,0.5,,+2%
47,Well-Made Liquid Ignitors,0.5,,+2%
48,Efficient Sonar Array,0.5,,+2%
49,Re-sealed Purifier Unit,0.5,,+2%
50,Re-sealed Sonic Batteries,0.5,+2%,
51,Well-Made Purifier Unit,1.0,,+3%
52,Re-sealed Power Array,0.5,,+2%
53,Well-Made Liquid Ignitors,0.5,,+2%
54,Well-Made Pressure Nozzle,0.5,,+2%
55,Well-Made Purifier Unit,0.5,,+2%
56,Well-Made Ion Coils,0.5,,+2%
57,Reinforced Lux Stabiliser,0.0,+1%,
58,Efficient Sonic Batteries,0.5,+2%,
59,Uncorroded Purifier Unit,1.0,,+3%
60,Uncorroded Pressure Nozzle,0.0,+1%,
61,Reinforced Lux Stabiliser,0.5,,+2%
62,Reinforced Power Array,0.0,+1%,
63,Well-Made Hyperthermal Pump,0.5,,+2%
64,Well-Made Lux Stabiliser,0.0,+1%,
65,Re-sealed Power Array,0.5,+2%,
66,Efficient Hyperthermal Pump,0.5,+2%,
67,Re-sealed Purifier Unit,0.0,+1%,
68,Re-sealed Liquid Ignitors,0.0,+1%,
69,Efficient Purifier Unit,0.5,,+2%
70,Efficient Lux Stabiliser,0.0,+1%,
71,Uncorroded Ion Coils,1.0,,+3%
72,Efficient Saline Beam,1.0,,+3%
73,Efficient Sonic Batteries,0.5,,+2%
74,Re-sealed Power Array,0.0,+1%,
75,Efficient Sonar Array,0.5,,+2%
76,Re-sealed Power Array,0.5,,+2%
77,Uncorroded Purifier Unit,0.0,+1%,
78,Efficient Power Array,0.5,,+2%
79,Reinforced Sonic Batteries,0.0,+1%,
80,Reinforced Hyperthermal Pump,0.5,,+2%
81,Efficient Purifier Unit,0.0,+1%,
82,Re-sealed Pressure Nozzle,0.0,+1%,
83,Re-sealed Hyperthermal Pump,0.0,+1%,
84,Reinforced Hyperthermal Pump,0.5,,+2%
85,Well-Made Saline Beam,0.5,,+2%
86,Uncorroded Pressure Nozzle,0.5,,+2%
87,Efficient Sonar Array,0.5,+2%,
88,Well-Made Pressure Nozzle,0.5,+2%,
89,Efficient Purifier Unit,0.0,+1%,
90,Well-Made Lux Stabiliser,0.0,+1%,
91,Re-sealed Liquid Ignitors,0.5,,+2%
92,Reinforced Lux Stabiliser,0.5,,+2%
93,Reinforced Ion Coils,0.5,,+2%
94,Uncorroded Purifier Unit,0.5,,+2%
95,Reinforced Liquid Ignitors,0.5,+2%,
96,Reinforced Sonar Array,0.5,,+2%
97,Efficient Liquid Ignitors,0.5,,+2%
98,Uncorroded Lux Stabiliser,1.0,,+3%
99,Well-Made Hyperthermal Pump,0.5,,+2%
100,Well-Made Power Array,0.5,,+2%
101,Reinforced Sonic Batteries,0.0,+1%,
102,Efficient Liquid Ignitors,0.5,+2%,
103,Uncorroded Saline Beam,0.0,+1%,
104,Uncorroded Power Array,0.5,,+2%
105,Uncorroded Liquid Ignitors,0.5,,+2%
106,Uncorroded Liquid Ignitors,0.5,,+2%
107,Uncorroded Pressure Nozzle,0.5,+2%,
108,Reinforced Pressure Nozzle,0.0,+1%,
109,Uncorroded Saline Beam,0.5,,+2%
110,Efficient Power Array,0.5,,+2%
111,Re-sealed Ion Coils,0.0,+1%,
112,Reinforced Liquid Ignitors,0.5,+2%,
113,Well-Made Purifier Unit,0.0,+1%,
114,Re-sealed Power Array,0.5,,+2%
115,Reinforced Power Array,0.5,,+2%
116,Reinforced Lux Stabiliser,0.5,,+2%
117,Well-Made Power Array,0.5,,+2%
118,Reinforced Lux Stabiliser,0.5,,+2%
119,Uncorroded Purifier Unit,0.5,,+2%
120,Reinforced Sonar Array,1.0,,+3%
121,Reinforced Lux Stabiliser,0.0,+1%,
122,Reinforced Purifier Unit,0.0,+1%,
123,Uncorroded Lux Stabiliser,0.5,,+2%
124,Re-sealed Purifier Unit,0.0,+1%,
125,Efficient Hyperthermal Pump,0.5,,+2%
126,Re-sealed Ion Coils,0.5,+2%,
127,Reinforced Saline Beam,0.5,,+2%
128,Uncorroded Hyperthermal Pump,0.5,+2%,
129,Well-Made Hyperthermal Pump,0.5,,+2%
130,Well-Made Lux Stabiliser,0.5,,+2%
131,Uncorroded Liquid Ignitors,0.0,+1%,
132,Uncorroded Lux Stabiliser,1.0,,+3%
133,Re-sealed Lux Stabiliser,0.0,+1%,
134,Reinforced Sonic Batteries,0.5,+2%,
135,Efficient Hyperthermal Pump,0.5,,+2%
136,Reinforced Power Array,0.5,,+2%
137,Uncorroded Hyperthermal Pump,0.5,+2%,
138,Reinforced Sonar Array,0.5,,+2%
139,Uncorroded Sonic Batteries,0.0,+1%,
140,Reinforced Ion Coils,0.5,+2%,
141,Re-sealed Pressure Nozzle,1.0,+3%,
142,Reinforced Ion Coils,0.5,,+2%
143,Well-Made Power Array,0.5,+2%,
144,Uncorroded Hyperthermal Pump,1.0,,+3%
145,Well-Made Saline Beam,0.5,,+2%
146,Efficient Sonar Array,0.5,,+2%
147,Uncorroded Purifier Unit,0.5,+2%,
148,Well-Made Liquid Ignitors,0.5,,+2%
149,Re-sealed Sonic Batteries,0.5,,+2%
150,Well-Made Sonar Array,0.5,+2%,
151,Re-sealed Sonic Batteries,0.0,+1%,
152,Re-sealed Liquid Ignitors,0.5,,+2%
153,Well-Made Pressure Nozzle,1.0,,+3%
154,Well-Made Lux Stabiliser,0.5,,+2%
155,Efficient Lux Stabiliser,0.5,+2%,
156,Re-sealed Purifier Unit,0.0,+1%,
157,Uncorroded Sonar Array,0.0,+1%,
158,Re-sealed Pressure Nozzle,0.0,+1%,
159,Uncorroded Liquid Ignitors,1.0,,+3%
