sep=,
Seed,Name,Perfection,Suit_Energy,Suit_Energy_Regen
0,Gas Purifier,0.357,+15%,
1,Gas Purifier,0.056,,+2%
2,Carbon Tanks,0.333,,+7%
3,Ammonium Drain,0.5,,+10%
4,Ammonium Drain,0.107,+8%,
5,Nitrogen Stabiliser,0.278,,+6%
6,Carbon Harvester,0.278,,+6%
7,Gas Drain,0.357,+15%,
8,Oxygen Tanks,0.179,+10%,
9,Oxygen Stabiliser,0.056,,+2%
10,Nitrogen Stabiliser,0.056,,+2%
11,Ammonium Purifier,0.389,,+8%
12,Ammonium Tanks,0.0,+5%,
13,Oxygen Generator Unit,0.056,,+2%
14,Oxygen Recycler,0.5,,+10%
15,Ammonium Recycler,0.056,,+2%
16,Carbon Generator Unit,0.0,+5%,
17,Nitrogen Sieve,0.133,+5%,+4%
18,Nitrogen Filter,0.0,+5%,
19,Carbon Purifier,0.129,+8%,+1%
20,Oxygen Sieve,0.486,+7%,+10%
21,Nitrogen Tanks,0.036,+6%,
22,Ammonium Drain,0.071,+7%,
23,Gas Drain,0.056,,+2%
24,Carbon Sieve,0.167,,+4%
25,Nitrogen Recycler,0.333,,+7%
26,Nitrogen Sieve,0.107,+8%,
27,Gas Filter,0.056,,+2%
28,Nitrogen Recycler,0.167,,+4%
29,Nitrogen Tanks,0.333,,+7%
30,Oxygen Tanks,0.056,,+2%
31,Oxygen Generator Unit,0.306,+8%,+5%
32,Gas Drain,0.214,+11%,
33,Oxygen Recycler,0.475,+14%,+3%
34,Gas Filter,0.111,,+3%
35,Gas Sieve,0.214,+11%,
36,Nitrogen Sieve,0.0,+5%,
37,Carbon Generator Unit,0.464,+18%,
38,Ammonium Pump,0.216,+9%,+2%
39,Gas Purifier,0.389,,+8%
40,Gas Drain,0.143,+9%,
41,Gas Harvester,0.071,+7%,
42,Nitrogen Sieve,0.0,+5%,
43,Gas Harvester,0.071,+7%,
44,Oxygen Filter,0.321,+14%,
45,Oxygen Tanks,0.87,+17%,+9%
46,Gas Sieve,0.167,,+4%
47,Ammonium Purifier,0.389,,+8%
48,Nitrogen Filter,0.167,,+4%
49,Carbon Drain,0.056,,+2%
50,Carbon Generator Unit,0.179,+10%,
51,Ammonium Drain,0.056,,+2%
52,Carbon Tanks,0.056,,+2%
53,Ammonium Purifier,0.111,,+3%
54,Ammonium Sieve,0.044,+5%,+2%
55,Ammonium Drain,0.13,+7%,+2%
56,Ammonium Recycler,0.056,,+2%
57,Gas Harvester,0.071,+7%,
58,Nitrogen Generator Unit,0.214,+11%,
59,Oxygen Drain,0.056,,+2%
60,Oxygen Sieve,0.036,+6%,
61,Gas Harvester,0.111,,+3%
62,Gas Tanks,0.036,+6%,
63,Ammonium Pump,0.056,,+2%
64,Ammonium Harvester,0.0,+5%,
65,Carbon Tanks,0.429,+17%,
66,Nitrogen Pump,0.179,+10%,
67,Carbon Drain,0.0,+5%,
68,Carbon Purifier,0.071,+7%,
69,Nitrogen Drain,0.167,,+4%
70,Nitrogen Harvester,0.0,+5%,
71,Oxygen Recycler,0.056,,+2%
72,Nitrogen Stabiliser,0.056,,+2%
73,Nitrogen Generator Unit,0.111,,+3%
74,Carbon Tanks,0.0,+5%,
75,Nitrogen Filter,0.111,,+3%
76,Carbon Tanks,0.056,,+2%
77,Oxygen Drain,0.222,+5%,+6%
78,Nitrogen Tanks,0.056,,+2%
79,Gas Generator Unit,0.0,+5%,
80,Gas Pump,0.278,,+6%
81,Nitrogen Drain,0.036,+6%,
82,Carbon Sieve,0.036,+6%,
83,Carbon Pump,0.071,+7%,
84,Gas Pump,0.444,,+9%
85,Ammonium Stabiliser,0.111,,+3%
86,Oxygen Sieve,0.167,,+4%
87,Nitrogen Filter,0.517,+15%,+3%
88,Ammonium Sieve,0.286,+13%,
89,Nitrogen Drain,0.0,+5%,
90,Ammonium Harvester,0.071,+7%,
91,Carbon Purifier,0.056,,+2%
92,Gas Harvester,0.278,,+6%
93,Gas Recycler,0.056,,+2%
94,Oxygen Drain,0.056,,+2%
95,Gas Purifier,0.357,+15%,
96,Gas Filter,0.333,,+7%
97,Nitrogen Purifier,0.056,,+2%
98,Oxygen Harvester,0.43,+14%,+2%
99,Ammonium Pump,0.056,,+2%
100,Ammonium Tanks,0.167,,+4%
101,Gas Generator Unit,0.0,+5%,
102,Nitrogen Purifier,0.214,+11%,
103,Oxygen Stabiliser,0.071,+7%,
104,Oxygen Tanks,0.389,,+8%
105,Oxygen Purifier,0.056,,+2%
106,Oxygen Purifier,0.056,,+2%
107,Oxygen Sieve,0.357,+15%,
108,Gas Sieve,0.036,+6%,
109,Oxygen Stabiliser,0.056,,+2%
110,Nitrogen Tanks,0.167,,+4%
111,Carbon Recycler,0.0,+5%,
112,Gas Purifier,0.393,+16%,
113,Ammonium Drain,0.036,+6%,
114,Carbon Tanks,0.056,,+2%
115,Gas Tanks,0.056,,+2%
116,Gas Harvester,0.056,,+2%
117,Ammonium Tanks,0.056,,+2%
118,Gas Harvester,0.333,,+7%
119,Oxygen Drain,0.111,,+3%
120,Gas Filter,0.056,,+2%
121,Gas Harvester,0.071,+7%,
122,Gas Drain,0.0,+5%,
123,Oxygen Harvester,0.056,,+2%
124,Carbon Drain,0.0,+5%,
125,Nitrogen Pump,0.056,,+2%
126,Carbon Recycler,0.393,+16%,
127,Gas Stabiliser,0.056,,+2%
128,Oxygen Pump,0.143,+9%,
129,Ammonium Pump,0.173,+8%,+2%
130,Ammonium Harvester,0.056,,+2%
131,Oxygen Purifier,0.0,+5%,
132,Oxygen Harvester,0.056,,+2%
133,Carbon Harvester,0.071,+7%,
134,Gas Generator Unit,0.429,+17%,
135,Nitrogen Pump,0.056,,+2%
136,Gas Tanks,0.602,+18%,+2%
137,Oxygen Pump,0.464,+18%,
138,Gas Filter,0.056,,+2%
139,Oxygen Generator Unit,0.071,+7%,
140,Gas Recycler,0.393,+16%,
141,Carbon Sieve,0.5,+19%,
142,Gas Recycler,0.056,,+2%
143,Ammonium Tanks,0.179,+10%,
144,Oxygen Pump,0.056,,+2%
145,Ammonium Stabiliser,0.111,,+3%
146,Nitrogen Filter,0.056,,+2%
147,Oxygen Drain,0.25,+12%,
148,Ammonium Purifier,0.056,,+2%
149,Carbon Generator Unit,0.111,,+3%
150,Ammonium Filter,0.143,+9%,
151,Carbon Generator Unit,0.0,+5%,
152,Carbon Purifier,0.167,,+4%
153,Ammonium Sieve,0.056,,+2%
154,Ammonium Harvester,0.111,,+3%
155,Nitrogen Harvester,0.143,+9%,
156,Carbon Drain,0.036,+6%,
157,Oxygen Filter,0.132,+6%,+3%
158,Carbon Sieve,0.0,+5%,
159,Oxygen Purifier,0.056,,+2%
160,Carbon Purifier,0.393,+16%,
161,Carbon Drain,0.036,+6%,
162,Carbon Tanks,0.056,,+2%
163,Gas Filter,0.278,,+6%
164,Ammonium Purifier,0.344,+12%,+2%
165,Oxygen Drain,0.389,,+8%
166,Oxygen Tanks,0.214,+11%,
167,Gas Sieve,0.167,,+4%
168,Gas Recycler,0.0,+5%,
169,Ammonium Pump,0.056,,+2%
170,Nitrogen Stabiliser,0.393,+16%,
171,Nitrogen Recycler,0.0,+5%,
172,Carbon Stabiliser,0.0,+5%,
173,Gas Pump,0.464,+18%,
174,Carbon Harvester,0.056,,+2%
175,Oxygen Tanks,0.107,+8%,
176,Ammonium Recycler,0.5,,+10%
177,Gas Harvester,0.393,+16%,
178,Nitrogen Recycler,0.036,+6%,
179,Oxygen Pump,0.056,,+2%
180,Ammonium Stabiliser,0.321,+14%,
181,Nitrogen Pump,0.179,+10%,
182,Nitrogen Drain,0.044,+5%,+2%
183,Oxygen Generator Unit,0.179,+10%,
184,Ammonium Drain,0.214,+11%,
185,Ammonium Harvester,0.25,+12%,
186,Carbon Generator Unit,0.056,,+2%
187,Ammonium Recycler,0.173,+8%,+2%
188,Nitrogen Drain,0.354,+6%,+8%
189,Gas Stabiliser,0.111,,+3%
190,Nitrogen Stabiliser,0.087,+6%,+2%
191,Nitrogen Filter,0.056,,+2%
192,Nitrogen Sieve,0.263,+7%,+5%
193,Carbon Drain,0.4,+5%,+10%
194,Ammonium Sieve,0.056,,+2%
195,Gas Recycler,0.333,,+7%
196,Oxygen Recycler,0.056,,+2%
197,Nitrogen Harvester,0.111,,+3%
198,Nitrogen Purifier,0.036,+6%,
199,Ammonium Stabiliser,0.056,,+2%
200,Nitrogen Filter,0.0,+5%,
201,Nitrogen Harvester,0.357,+15%,
202,Oxygen Harvester,0.0,+5%,
203,Nitrogen Stabiliser,0.25,+12%,
204,Nitrogen Drain,0.389,,+8%
205,Gas Pump,0.278,,+6%
206,Oxygen Stabiliser,0.056,,+2%
207,Carbon Purifier,0.056,,+2%
208,Nitrogen Harvester,0.557,+18%,+1%
209,Oxygen Pump,0.056,,+2%
210,Oxygen Filter,0.0,+5%,
211,Oxygen Drain,0.111,,+3%
212,Gas Purifier,0.111,,+3%
213,Ammonium Stabiliser,0.036,+6%,
214,Nitrogen Filter,0.0,+5%,
215,Ammonium Pump,0.179,+10%,
216,Carbon Sieve,0.056,,+2%
217,Nitrogen Recycler,0.036,+6%,
218,Gas Drain,0.056,,+2%
219,Nitrogen Stabiliser,0.056,,+2%
220,Oxygen Generator Unit,0.444,,+9%
221,Ammonium Generator Unit,0.056,,+2%
222,Oxygen Recycler,0.036,+6%,
223,Carbon Recycler,0.056,,+2%
224,Ammonium Tanks,0.167,,+4%
225,Gas Stabiliser,0.0,+5%,
226,Nitrogen Tanks,0.306,+8%,+5%
227,Gas Generator Unit,0.071,+7%,
228,Gas Sieve,0.259,+10%,+2%
229,Nitrogen Harvester,0.111,,+3%
230,Oxygen Generator Unit,0.056,,+2%
231,Oxygen Filter,0.111,,+3%
232,Gas Purifier,0.179,+10%,
233,Ammonium Generator Unit,0.107,+8%,
234,Carbon Tanks,0.5,,+10%
235,Gas Purifier,0.107,+8%,
236,Carbon Recycler,0.5,,+10%
237,Oxygen Stabiliser,0.111,,+3%
238,Oxygen Drain,0.216,+9%,+2%
239,Carbon Sieve,0.333,,+7%
240,Oxygen Sieve,0.056,,+2%
241,Nitrogen Purifier,0.0,+5%,
242,Oxygen Harvester,0.056,,+2%
243,Carbon Harvester,0.278,,+6%
244,Ammonium Sieve,0.056,,+2%
245,Carbon Harvester,0.333,,+7%
246,Ammonium Recycler,0.0,+5%,
247,Nitrogen Sieve,0.0,+5%,
248,Gas Purifier,0.481,+10%,+7%
249,Oxygen Tanks,0.111,,+3%
250,Gas Tanks,0.43,+14%,+2%
251,Nitrogen Purifier,0.036,+6%,
252,Carbon Generator Unit,0.222,,+5%
253,Ammonium Stabiliser,0.286,+13%,
254,Oxygen Recycler,0.179,+10%,
255,Carbon Sieve,0.321,+14%,
256,Gas Stabiliser,0.143,+9%,
257,Gas Sieve,0.056,,+2%
258,Nitrogen Tanks,0.056,,+2%
259,Oxygen Tanks,0.0,+5%,
260,Oxygen Tanks,0.056,,+2%
261,Gas Filter,0.056,,+2%
262,Gas Purifier,0.056,,+2%
263,Oxygen Generator Unit,0.346,+11%,+3%
264,Gas Purifier,0.056,,+2%
265,Carbon Pump,0.107,+8%,
266,Gas Tanks,0.0,+5%,
267,Ammonium Filter,0.056,,+2%
268,Gas Pump,0.214,+11%,
269,Carbon Generator Unit,0.387,+13%,+2%
270,Oxygen Recycler,0.0,+5%,
271,Gas Drain,0.0,+5%,
272,Oxygen Pump,0.056,,+2%
273,Oxygen Filter,0.216,+9%,+2%
274,Oxygen Harvester,0.056,,+2%
275,Carbon Harvester,0.143,+9%,
276,Carbon Stabiliser,0.222,+5%,+6%
277,Ammonium Pump,0.056,,+2%
278,Carbon Filter,0.087,+6%,+2%
279,Nitrogen Recycler,0.214,+11%,
280,Ammonium Purifier,0.0,+5%,
281,Carbon Drain,0.429,+17%,
282,Gas Drain,0.444,,+9%
283,Gas Stabiliser,0.286,+13%,
284,Gas Drain,0.357,+15%,
285,Oxygen Recycler,0.167,,+4%
286,Gas Tanks,0.056,,+2%
287,Gas Harvester,0.056,,+2%
288,Gas Sieve,0.179,+10%,
289,Oxygen Sieve,0.389,,+8%
290,Ammonium Generator Unit,0.0,+5%,
291,Carbon Generator Unit,0.179,+10%,
292,Ammonium Sieve,0.278,,+6%
293,Carbon Tanks,0.036,+6%,
294,Ammonium Generator Unit,0.475,+14%,+3%
295,Ammonium Generator Unit,0.7,+12%,+10%
296,Gas Pump,0.044,+5%,+2%
297,Carbon Purifier,0.044,+5%,+2%
298,Ammonium Sieve,0.056,,+2%
299,Carbon Recycler,0.071,+7%,
300,Nitrogen Recycler,0.5,,+10%
301,Oxygen Tanks,0.395,+8%,+7%
302,Nitrogen Stabiliser,0.0,+5%,
303,Nitrogen Filter,0.071,+7%,
304,Oxygen Recycler,0.056,,+2%
305,Carbon Pump,0.111,,+3%
306,Carbon Stabiliser,0.357,+15%,
307,Carbon Pump,0.644,+19%,+2%
308,Oxygen Sieve,0.056,,+2%
309,Nitrogen Sieve,0.056,,+2%
310,Ammonium Purifier,0.036,+6%,
311,Ammonium Drain,0.321,+14%,
312,Nitrogen Drain,0.167,,+4%
313,Gas Tanks,0.393,+16%,
314,Nitrogen Purifier,0.179,+10%,
315,Carbon Drain,0.111,,+3%
316,Nitrogen Stabiliser,0.737,+17%,+6%
317,Gas Stabiliser,0.559,+17%,+2%
318,Ammonium Purifier,0.286,+13%,
319,Gas Harvester,0.036,+6%,
320,Ammonium Generator Unit,0.167,,+4%
321,Gas Purifier,0.087,+6%,+2%
322,Ammonium Sieve,0.056,,+2%
323,Carbon Drain,0.464,+18%,
324,Ammonium Generator Unit,0.5,+19%,
325,Nitrogen Generator Unit,0.349,+9%,+5%
326,Nitrogen Pump,0.0,+5%,
327,Carbon Filter,0.056,,+2%
328,Oxygen Tanks,0.0,+5%,
329,Oxygen Pump,0.056,,+2%
330,Nitrogen Pump,0.056,,+2%
331,Carbon Recycler,0.056,,+2%
332,Oxygen Generator Unit,0.0,+5%,
333,Oxygen Recycler,0.0,+5%,
334,Gas Purifier,0.056,,+2%
335,Nitrogen Harvester,0.044,+5%,+2%
336,Carbon Purifier,0.321,+14%,
337,Nitrogen Sieve,0.036,+6%,
338,Ammonium Sieve,0.056,,+2%
339,Gas Generator Unit,0.0,+5%,
340,Carbon Tanks,0.036,+6%,
341,Ammonium Sieve,0.333,,+7%
342,Carbon Drain,0.221,+6%,+5%
343,Oxygen Tanks,0.036,+6%,
344,Oxygen Filter,0.056,,+2%
