Seed	Name	Perfection	Suit_Energy	Suit_Energy_Regen
0	High-Volume Purifier	0.345	+40%	
1	High-Volume Purifier	0.383	+41%	+2%
2	Microbe Tanks	0.792	+49%	+15%
3	Biofuel Drain	0.69	+31%	+25%
4	Biofuel Drain	0.183	+27%	+4%
5	Alkaloid Stabiliser	0.647	+43%	+13%
6	Microbe Harvester	0.302	+23%	+13%
7	High-Volume Drain	0.824	+40%	+24%
8	Organic Tanks	0.44	+31%	+13%
9	Organic Stabiliser	0.0	+20%	+1%
10	Alkaloid Stabiliser	0.262	+34%	+2%
11	Biofuel Purifier	0.444	+24%	+19%
12	Biofuel Tanks	0.038	+21%	+2%
13	Organic Generator Unit	0.0	+20%	+1%
14	Organic Recycler	0.545	+25%	+23%
15	Biofuel Recycler	0.507	+47%	+3%
16	Microbe Generator Unit	0.038	+21%	+2%
17	Alkaloid Sieve	0.142	+21%	+7%
18	Alkaloid Filter	0.5	+20%	+25%
19	Microbe Purifier	0.121	+27%	
20	Organic Sieve	0.548	+24%	+24%
21	Alkaloid Tanks	0.034	+22%	
22	Biofuel Drain	0.399	+25%	+16%
23	High-Volume Drain	0.073	+23%	+2%
24	Microbe Sieve	0.267	+27%	+8%
25	Alkaloid Recycler	0.292	+20%	+15%
26	Alkaloid Sieve	0.537	+27%	+21%
27	High-Volume Filter	0.0	+20%	+1%
28	Alkaloid Recycler	0.449	+40%	+6%
29	Alkaloid Tanks	0.292	+20%	+15%
30	Organic Tanks	0.0	+20%	+1%
31	Organic Generator Unit	0.308	+27%	+10%
32	High-Volume Drain	0.557	+33%	+17%
33	Organic Recycler	0.373	+38%	+4%
34	High-Volume Filter	0.131	+24%	+4%
35	High-Volume Sieve	0.519	+32%	+16%
36	Alkaloid Sieve	0.517	+21%	+25%
37	Microbe Generator Unit	0.49	+46%	+3%
38	Biofuel Pump	0.176	+29%	+2%
39	High-Volume Purifier	0.461	+25%	+19%
40	High-Volume Drain	0.155	+29%	+1%
41	High-Volume Harvester	0.111	+24%	+3%
42	Alkaloid Sieve	0.017	+21%	+1%
43	High-Volume Harvester	0.069	+24%	+1%
44	Organic Filter	0.31	+38%	+1%
45	Organic Tanks	0.851	+44%	+22%
46	High-Volume Sieve	0.277	+30%	+6%
47	Biofuel Purifier	0.53	+29%	+19%
48	Alkaloid Filter	0.439	+37%	+8%
49	Microbe Drain	0.103	+26%	+1%
50	Microbe Generator Unit	0.193	+30%	+2%
51	Biofuel Drain	0.103	+26%	
52	Microbe Tanks	0.228	+32%	+2%
53	Biofuel Purifier	0.097	+22%	+4%
54	Biofuel Sieve	0.0	+20%	+1%
55	Biofuel Drain	0.086	+25%	+1%
56	Biofuel Recycler	0.172	+30%	+1%
57	High-Volume Harvester	0.086	+25%	+1%
58	Alkaloid Generator Unit	0.311	+32%	+6%
59	Organic Drain	0.034	+22%	
60	Organic Sieve	0.18	+22%	+8%
61	High-Volume Harvester	0.101	+21%	+5%
62	High-Volume Tanks	0.43	+22%	+20%
63	Biofuel Pump	0.241	+34%	+1%
64	Biofuel Harvester	0.0	+20%	+1%
65	Microbe Tanks	0.889	+45%	+23%
66	Alkaloid Pump	0.631	+30%	+23%
67	Microbe Drain	0.309	+21%	+15%
68	Microbe Purifier	0.111	+24%	+3%
69	Alkaloid Drain	0.125	+20%	+7%
70	Alkaloid Harvester	0.312	+20%	+16%
71	Organic Recycler	0.293	+37%	+1%
72	Alkaloid Stabiliser	0.086	+25%	+1%
73	Alkaloid Generator Unit	0.483	+42%	+6%
74	Microbe Tanks	0.0	+20%	+1%
75	Alkaloid Filter	0.363	+35%	+6%
76	Microbe Tanks	0.448	+46%	+1%
77	Organic Drain	0.25	+20%	+13%
78	Alkaloid Tanks	0.279	+35%	+2%
79	High-Volume Generator Unit	0.0	+20%	+1%
80	High-Volume Pump	0.35	+27%	+12%
81	Alkaloid Drain	0.139	+22%	+6%
82	Microbe Sieve	0.055	+22%	+2%
83	Microbe Pump	0.232	+25%	+8%
