Seed,Name,Perfection,Suit_Armour_Shield_Strength,Suit_Armour_Health
0,High-Frequency Grafts,0.4,+94%,
1,High-Frequency Grafts,0.5,,+33%
2,Supercharged Battery,0.5,,+33%
3,Dioxite Padding,0.5,,+33%
4,Dioxite Padding,0.3,+93%,
5,Sodium Bulwark,0.5,,+33%
6,Supercharged Resonator,0.5,,+33%
7,High-Frequency Padding,0.4,+94%,
8,Secondary Battery,0.4,+94%,
9,Secondary Bulwark,0.5,,+33%
10,Sodium Bulwark,0.5,,+33%
11,Dioxite Grafts,0.5,,+33%
12,Dioxite Battery,0.1,+91%,
13,Secondary Shield,0.5,,+33%
14,Secondary Armour,0.5,,+33%
15,Dioxite Armour,0.5,,+33%
16,Supercharged Shield,0.2,+92%,
17,Sodium Buffer,0.7,+92%,+33%
18,Sodium Lattice,0.1,+91%,
19,Supercharged Grafts,0.8,+93%,+33%
20,Secondary Buffer,0.8,+93%,+33%
21,Sodium Battery,0.2,+92%,
22,Dioxite Padding,0.3,+93%,
23,High-Frequency Padding,0.5,,+33%
24,Supercharged Buffer,0.5,,+33%
25,Sodium Armour,0.5,,+33%
26,Sodium Buffer,0.3,+93%,
27,High-Frequency Lattice,0.5,,+33%
28,Sodium Armour,0.5,,+33%
29,Sodium Battery,0.5,,+33%
30,Secondary Battery,0.5,,+33%
31,Secondary Shield,0.8,+93%,+33%
32,High-Frequency Padding,0.4,+94%,
33,Secondary Armour,0.9,+94%,+33%
34,High-Frequency Lattice,0.5,,+33%
35,High-Frequency Buffer,0.4,+94%,
36,Sodium Buffer,0.1,+91%,
37,Supercharged Shield,0.4,+94%,
38,Dioxite Polariser,0.9,+94%,+33%
39,High-Frequency Grafts,0.5,,+33%
40,High-Frequency Padding,0.3,+93%,
41,High-Frequency Resonator,0.3,+93%,
42,Sodium Buffer,0.1,+91%,
43,High-Frequency Resonator,0.3,+93%,
44,Secondary Lattice,0.4,+94%,
45,Secondary Battery,0.9,+94%,+33%
46,High-Frequency Buffer,0.5,,+33%
47,Dioxite Grafts,0.5,,+33%
48,Sodium Lattice,0.5,,+33%
49,Supercharged Padding,0.5,,+33%
50,Supercharged Shield,0.4,+94%,
51,Dioxite Padding,0.5,,+33%
52,Supercharged Battery,0.5,,+33%
53,Dioxite Grafts,0.5,,+33%
54,Dioxite Buffer,0.6,+91%,+33%
55,Dioxite Padding,0.8,+93%,+33%
56,Dioxite Armour,0.5,,+33%
57,High-Frequency Resonator,0.3,+93%,
58,Sodium Shield,0.4,+94%,
59,Secondary Padding,0.5,,+33%
60,Secondary Buffer,0.2,+92%,
61,High-Frequency Resonator,0.5,,+33%
62,High-Frequency Battery,0.2,+92%,
63,Dioxite Polariser,0.5,,+33%
64,Dioxite Resonator,0.0,+90%,
65,Supercharged Battery,0.4,+94%,
66,Sodium Polariser,0.4,+94%,
67,Supercharged Padding,0.2,+92%,
68,Supercharged Grafts,0.3,+93%,
69,Sodium Padding,0.5,,+33%
70,Sodium Resonator,0.1,+91%,
71,Secondary Armour,0.5,,+33%
72,Sodium Bulwark,0.5,,+33%
73,Sodium Shield,0.5,,+33%
74,Supercharged Battery,0.1,+91%,
75,Sodium Lattice,0.5,,+33%
76,Supercharged Battery,0.5,,+33%
77,Secondary Padding,0.5,+90%,+33%
78,Sodium Battery,0.5,,+33%
79,High-Frequency Shield,0.1,+91%,
80,High-Frequency Polariser,0.5,,+33%
81,Sodium Padding,0.2,+92%,
82,Supercharged Buffer,0.2,+92%,
83,Supercharged Polariser,0.3,+93%,
84,High-Frequency Polariser,0.5,,+33%
85,Dioxite Bulwark,0.5,,+33%
86,Secondary Buffer,0.5,,+33%
87,Sodium Lattice,0.9,+94%,+33%
88,Dioxite Buffer,0.4,+94%,
89,Sodium Padding,0.0,+90%,
90,Dioxite Resonator,0.3,+93%,
91,Supercharged Grafts,0.5,,+33%
92,High-Frequency Resonator,0.5,,+33%
93,High-Frequency Armour,0.5,,+33%
94,Secondary Padding,0.5,,+33%
95,High-Frequency Grafts,0.4,+94%,
96,High-Frequency Lattice,0.5,,+33%
97,Sodium Grafts,0.5,,+33%
98,Secondary Resonator,0.9,+94%,+33%
99,Dioxite Polariser,0.5,,+33%
100,Dioxite Battery,0.5,,+33%
101,High-Frequency Shield,0.0,+90%,
102,Sodium Grafts,0.4,+94%,
103,Secondary Bulwark,0.3,+93%,
104,Secondary Battery,0.5,,+33%
105,Secondary Grafts,0.5,,+33%
106,Secondary Grafts,0.5,,+33%
107,Secondary Buffer,0.4,+94%,
108,High-Frequency Buffer,0.2,+92%,
109,Secondary Bulwark,0.5,,+33%
110,Sodium Battery,0.5,,+33%
111,Supercharged Armour,0.2,+92%,
112,High-Frequency Grafts,0.4,+94%,
113,Dioxite Padding,0.2,+92%,
114,Supercharged Battery,0.5,,+33%
115,High-Frequency Battery,0.5,,+33%
116,High-Frequency Resonator,0.5,,+33%
117,Dioxite Battery,0.5,,+33%
118,High-Frequency Resonator,0.5,,+33%
119,Secondary Padding,0.5,,+33%
120,High-Frequency Lattice,0.5,,+33%
121,High-Frequency Resonator,0.3,+93%,
122,High-Frequency Padding,0.0,+90%,
123,Secondary Resonator,0.5,,+33%
124,Supercharged Padding,0.1,+91%,
125,Sodium Polariser,0.5,,+33%
126,Supercharged Armour,0.4,+94%,
127,High-Frequency Bulwark,0.5,,+33%
128,Secondary Polariser,0.4,+94%,
129,Dioxite Polariser,0.8,+93%,+33%
130,Dioxite Resonator,0.5,,+33%
131,Secondary Grafts,0.1,+91%,
