sep=,
Seed,Name,Perfection,Suit_Armour_Shield_Strength,Suit_Armour_Health
0,Lightning Grafts,0.375,+18%,
1,Lightning Grafts,0.792,+18%,+33%
2,Vector Battery,0.5,,+33%
3,Sonic Padding,0.5,,+33%
4,Sonic Padding,0.125,+16%,
5,Bionic Bulwark,0.5,,+33%
6,Vector Resonator,0.5,,+33%
7,Lightning Padding,0.375,+18%,
8,Uranium Battery,0.375,+16%,+33%
9,Uranium Bulwark,0.5,,+33%
10,Bionic Bulwark,0.5,,+33%
11,Sonic Grafts,0.5,,+33%
12,Sonic Battery,0.167,+15%,+33%
13,Uranium Shield,0.5,,+33%
14,Uranium Armour,0.5,,+33%
15,Sonic Armour,0.5,,+33%
16,Vector Shield,0.0,+15%,
17,Bionic Buffer,0.167,+15%,+33%
18,Bionic Lattice,0.167,+15%,+33%
19,Vector Grafts,0.375,+16%,+33%
20,Uranium Buffer,0.167,+15%,+33%
21,Bionic Battery,0.167,+15%,+33%
22,Sonic Padding,0.0,+15%,
23,Lightning Padding,0.5,,+33%
24,Vector Buffer,0.5,,+33%
25,Bionic Armour,0.5,,+33%
26,Bionic Buffer,0.125,+16%,
27,Lightning Lattice,0.5,,+33%
28,Bionic Armour,0.792,+18%,+33%
29,Bionic Battery,0.5,,+33%
30,Uranium Battery,0.5,,+33%
31,Uranium Shield,0.375,+16%,+33%
32,Lightning Padding,0.25,+17%,
33,Uranium Armour,0.792,+18%,+33%
34,Lightning Lattice,0.5,,+33%
35,Lightning Buffer,0.25,+17%,
36,Bionic Buffer,0.0,+15%,
37,Vector Shield,0.5,+19%,
38,Sonic Polariser,0.375,+16%,+33%
39,Lightning Grafts,0.5,,+33%
40,Lightning Padding,0.125,+16%,
41,Lightning Resonator,0.0,+15%,
42,Bionic Buffer,0.0,+15%,
43,Lightning Resonator,0.167,+15%,+33%
44,Uranium Lattice,0.375,+18%,
45,Uranium Battery,1.0,+19%,+33%
46,Lightning Buffer,0.5,,+33%
47,Sonic Grafts,0.5,,+33%
48,Bionic Lattice,0.5,,+33%
49,Vector Padding,0.5,,+33%
50,Vector Shield,0.125,+16%,
51,Sonic Padding,0.5,,+33%
52,Vector Battery,0.5,,+33%
53,Sonic Grafts,0.5,,+33%
54,Sonic Buffer,0.167,+15%,+33%
55,Sonic Padding,0.167,+15%,+33%
56,Sonic Armour,0.5,,+33%
57,Lightning Resonator,0.0,+15%,
58,Bionic Shield,0.25,+17%,
59,Uranium Padding,0.5,,+33%
60,Uranium Buffer,0.0,+15%,
61,Lightning Resonator,0.5,,+33%
62,Lightning Battery,0.0,+15%,
63,Sonic Polariser,0.5,,+33%
64,Sonic Resonator,0.0,+15%,
65,Vector Battery,0.5,+19%,
66,Bionic Polariser,0.125,+16%,
67,Vector Padding,0.0,+15%,
68,Vector Grafts,0.0,+15%,
69,Bionic Padding,0.167,+15%,+33%
70,Bionic Resonator,0.0,+15%,
71,Uranium Armour,0.5,,+33%
72,Bionic Bulwark,0.5,,+33%
73,Bionic Shield,0.5,,+33%
74,Vector Battery,0.0,+15%,
75,Bionic Lattice,0.5,,+33%
76,Vector Battery,0.5,,+33%
77,Uranium Padding,0.167,+15%,+33%
78,Bionic Battery,0.5,,+33%
79,Lightning Shield,0.167,+15%,+33%
80,Lightning Polariser,0.5,,+33%
81,Bionic Padding,0.0,+15%,
82,Vector Buffer,0.0,+15%,
83,Vector Polariser,0.0,+15%,
84,Lightning Polariser,0.5,,+33%
85,Sonic Bulwark,0.5,,+33%
86,Uranium Buffer,0.5,,+33%
87,Bionic Lattice,0.792,+18%,+33%
88,Sonic Buffer,0.583,+17%,+33%
89,Bionic Padding,0.0,+15%,
90,Sonic Resonator,0.0,+15%,
91,Vector Grafts,0.5,,+33%
92,Lightning Resonator,0.5,,+33%
93,Lightning Armour,0.5,,+33%
94,Uranium Padding,0.5,,+33%
95,Lightning Grafts,0.375,+18%,
96,Lightning Lattice,0.5,,+33%
97,Bionic Grafts,0.5,,+33%
98,Uranium Resonator,0.792,+18%,+33%
99,Sonic Polariser,0.5,,+33%
100,Sonic Battery,1.0,+19%,+33%
101,Lightning Shield,0.0,+15%,
102,Bionic Grafts,0.25,+17%,
103,Uranium Bulwark,0.0,+15%,
104,Uranium Battery,0.5,,+33%
105,Uranium Grafts,0.5,,+33%
106,Uranium Grafts,0.5,,+33%
107,Uranium Buffer,0.375,+18%,
108,Lightning Buffer,0.0,+15%,
109,Uranium Bulwark,0.167,+15%,+33%
110,Bionic Battery,0.167,+15%,+33%
111,Vector Armour,0.167,+15%,+33%
112,Lightning Grafts,0.375,+18%,
113,Sonic Padding,0.0,+15%,
114,Vector Battery,0.5,,+33%
115,Lightning Battery,0.5,,+33%
116,Lightning Resonator,0.5,,+33%
117,Sonic Battery,0.5,,+33%
118,Lightning Resonator,0.5,,+33%
119,Uranium Padding,0.5,,+33%
120,Lightning Lattice,0.5,,+33%
121,Lightning Resonator,0.167,+15%,+33%
122,Lightning Padding,0.0,+15%,
