Seed,Name,Perfection,Weapon_Grenade_Damage,Weapon_Grenade_Bounce,Weapon_Grenade_Radius,Weapon_Grenade_Speed
0,Secondary Gas Expander,0.5,,+33%,,
1,Secondary Gas Expander,0.177,,,,+135%
2,Tertiary Heat Pump,0.056,+11%,,,
3,Lubricated Core,0.0,,,,+100%
4,Lubricated Core,0.0,+10%,,,
5,Efficient Release Mechanism,0.389,+17%,,,
6,Tertiary Timing Loom,0.5,,+33%,,
7,Secondary Core,0.111,+12%,,,
8,Boosted Heat Pump,0.444,+18%,,,
9,Boosted Release Mechanism,0.0,,,+1%,
10,Efficient Release Mechanism,0.005,,,,+101%
11,Lubricated Gas Expander,0.5,,+33%,,
12,Lubricated Heat Pump,0.5,,+33%,,
13,Boosted Launch System,0.101,,,,+120%
14,Boosted Injector Plugs,0.5,,+33%,,
15,Lubricated Injector Plugs,0.056,+11%,,,
16,Tertiary Launch System,0.5,,+33%,,
17,Efficient Coils,0.5,,+33%,+1%,
18,Efficient Compressor,0.0,,,+1%,
19,Tertiary Gas Expander,0.5,,+33%,+1%,
20,Boosted Coils,0.25,+10%,,+3%,
21,Efficient Heat Pump,0.5,,+33%,,
22,Lubricated Core,0.0,+10%,,,
23,Secondary Core,0.0,,,+1%,
24,Tertiary Coils,0.0,+10%,,,
25,Efficient Injector Plugs,0.03,,,,+106%
26,Efficient Coils,0.0,+10%,,,
27,Secondary Compressor,0.5,,+33%,,
28,Efficient Injector Plugs,0.333,+16%,,,
29,Efficient Heat Pump,0.5,,+33%,,
30,Boosted Heat Pump,0.0,,,,+100%
31,Boosted Launch System,0.111,+12%,,,+100%
32,Secondary Core,0.0,+10%,,,
33,Boosted Injector Plugs,0.778,+15%,+33%,,
34,Secondary Compressor,0.5,,,+5%,
35,Secondary Coils,0.111,+12%,,,
36,Efficient Coils,0.0,,,,+100%
37,Tertiary Launch System,0.0,+10%,,,
38,Lubricated Shell Loader,0.268,,,+1%,+153%
39,Secondary Gas Expander,0.5,,+33%,,
40,Secondary Core,0.02,,,,+104%
41,Secondary Timing Loom,0.0,+10%,,,
42,Efficient Coils,0.5,,+33%,,
43,Secondary Timing Loom,0.0,,,+1%,
44,Boosted Compressor,0.5,,+33%,,
45,Boosted Heat Pump,0.5,,+33%,,+100%
46,Secondary Coils,0.167,+13%,,,
47,Lubricated Gas Expander,0.126,,,,+125%
48,Efficient Compressor,0.0,,,,+100%
49,Tertiary Core,0.375,,,+4%,
50,Tertiary Launch System,0.125,,,+2%,
51,Lubricated Core,0.5,,+33%,,
52,Tertiary Heat Pump,0.03,,,,+106%
53,Lubricated Gas Expander,0.5,,,+5%,
54,Lubricated Coils,0.75,,+33%,+3%,
55,Lubricated Core,0.53,,,+5%,+106%
56,Lubricated Injector Plugs,0.25,,,+3%,
57,Secondary Timing Loom,0.217,,,,+143%
58,Efficient Launch System,0.222,+14%,,,
59,Boosted Core,0.02,,,,+104%
60,Boosted Coils,0.25,,,+3%,
61,Secondary Timing Loom,0.125,,,+2%,
62,Secondary Heat Pump,0.0,,,,+100%
63,Lubricated Shell Loader,0.056,+11%,,,
64,Lubricated Timing Loom,0.5,,+33%,,
65,Tertiary Heat Pump,0.0,+10%,,,
66,Efficient Shell Loader,0.056,+11%,,,
67,Tertiary Core,0.0,,,,+100%
68,Tertiary Gas Expander,0.0,+10%,,,
69,Efficient Core,0.005,,,,+101%
70,Efficient Timing Loom,0.0,,,,+100%
71,Boosted Injector Plugs,0.0,,,+1%,
72,Efficient Release Mechanism,0.0,,,,+100%
73,Efficient Launch System,0.0,,,,+100%
74,Tertiary Heat Pump,0.5,,+33%,,
75,Efficient Compressor,0.5,+19%,,,
76,Tertiary Heat Pump,0.268,,,,+153%
77,Boosted Core,0.5,,+33%,,+100%
78,Efficient Heat Pump,0.157,,,,+131%
79,Secondary Launch System,0.5,,+33%,,
80,Secondary Shell Loader,0.222,+14%,,,
81,Efficient Core,0.0,,,,+100%
82,Tertiary Coils,0.5,,+33%,,
83,Tertiary Shell Loader,0.444,+18%,,,
84,Secondary Shell Loader,0.162,,,,+132%
85,Lubricated Release Mechanism,0.121,,,,+124%
86,Boosted Coils,0.005,,,,+101%
87,Efficient Compressor,0.5,+10%,+33%,,
88,Lubricated Coils,0.167,+13%,,,
89,Efficient Core,0.5,,+33%,,
90,Lubricated Timing Loom,0.5,,,+5%,
91,Tertiary Gas Expander,0.0,,,+1%,
92,Secondary Timing Loom,0.167,+13%,,,
93,Secondary Injector Plugs,0.0,,,+1%,
94,Boosted Core,0.375,,,+4%,
95,Secondary Gas Expander,0.0,+10%,,,
96,Secondary Compressor,0.0,+10%,,,
97,Efficient Gas Expander,0.125,,,+2%,
98,Boosted Timing Loom,0.25,,,+3%,+100%
99,Lubricated Shell Loader,0.0,,,+1%,
100,Lubricated Heat Pump,0.111,+12%,,,
101,Secondary Launch System,0.5,,+33%,,
102,Efficient Gas Expander,0.0,+10%,,,
103,Boosted Release Mechanism,0.0,+10%,,,
104,Boosted Heat Pump,0.5,,+33%,,
105,Boosted Gas Expander,0.0,,,,+100%
106,Boosted Gas Expander,0.121,,,,+124%
107,Boosted Coils,0.0,+10%,,,
108,Secondary Coils,0.5,,+33%,,
109,Boosted Release Mechanism,0.5,,+33%,,
110,Efficient Heat Pump,0.0,,,,+100%
111,Tertiary Injector Plugs,0.131,,,,+126%
112,Secondary Gas Expander,0.0,+10%,,,
113,Lubricated Core,0.278,+15%,,,
114,Tertiary Heat Pump,0.0,,,+1%,
115,Secondary Heat Pump,0.0,,,+1%,
116,Secondary Timing Loom,0.5,,,+5%,
117,Lubricated Heat Pump,0.02,,,,+104%
118,Secondary Timing Loom,0.419,,,,+183%
119,Boosted Core,0.354,,,,+170%
120,Secondary Compressor,0.5,,+33%,,
121,Secondary Timing Loom,0.0,,,+1%,
122,Secondary Core,0.125,,,+2%,
123,Boosted Timing Loom,0.01,,,,+102%
124,Tertiary Core,0.5,,+33%,,
125,Efficient Shell Loader,0.5,,,+5%,
126,Tertiary Injector Plugs,0.5,+19%,,,
127,Secondary Release Mechanism,0.25,,,+3%,
128,Boosted Shell Loader,0.0,,,+1%,
129,Lubricated Shell Loader,0.177,,,+1%,+135%
130,Lubricated Timing Loom,0.308,,,,+161%
131,Boosted Gas Expander,0.0,,,+1%,
132,Boosted Timing Loom,0.091,,,,+118%
133,Tertiary Timing Loom,0.0,,,,+100%
134,Secondary Launch System,0.5,,+33%,,
135,Efficient Shell Loader,0.0,+10%,,,
136,Secondary Heat Pump,1.0,,+33%,+5%,
137,Boosted Shell Loader,0.5,,+33%,,
138,Secondary Compressor,0.0,,,+1%,
139,Boosted Launch System,0.0,+10%,,,
140,Secondary Injector Plugs,0.5,,+33%,,
141,Tertiary Coils,0.444,+18%,,,
142,Secondary Injector Plugs,0.045,,,,+109%
143,Lubricated Heat Pump,0.0,+10%,,,
144,Boosted Shell Loader,0.0,,,+1%,
145,Lubricated Release Mechanism,0.0,+10%,,,
146,Efficient Compressor,0.237,,,,+147%
147,Boosted Core,0.5,+19%,,,
148,Lubricated Gas Expander,0.5,,,+5%,
149,Tertiary Launch System,0.071,,,,+114%
150,Lubricated Compressor,0.278,+15%,,,
151,Tertiary Launch System,0.5,,+33%,,
152,Tertiary Gas Expander,0.5,,+33%,,
153,Lubricated Coils,0.0,,,+1%,
154,Lubricated Timing Loom,0.125,,,+2%,
155,Efficient Timing Loom,0.5,+19%,,,
156,Tertiary Core,0.375,,,+4%,
157,Boosted Compressor,0.625,,+33%,+2%,
158,Tertiary Coils,0.375,,,+4%,
159,Boosted Gas Expander,0.01,,,,+102%
160,Tertiary Gas Expander,0.5,,+33%,,
161,Tertiary Core,0.0,,,+1%,
162,Tertiary Heat Pump,0.0,,,+1%,
163,Secondary Compressor,0.005,,,,+101%
164,Lubricated Gas Expander,0.556,+11%,+33%,,
165,Boosted Core,0.167,+13%,,,
166,Boosted Heat Pump,0.5,,+33%,,
167,Secondary Coils,0.005,,,,+101%
168,Secondary Injector Plugs,0.005,,,,+101%
169,Lubricated Shell Loader,0.25,,,+3%,
170,Efficient Release Mechanism,0.0,+10%,,,
171,Efficient Injector Plugs,0.005,,,,+101%
172,Tertiary Release Mechanism,0.5,,+33%,,
