sep=,
Seed,Name,Perfection,Weapon_Grenade_Damage,Weapon_Grenade_Bounce,Weapon_Grenade_Radius,Weapon_Grenade_Speed
0,Unstable Gas Expander,0.02,,+35%,,
1,Unstable Gas Expander,0.34,,,+6%,+204%
2,Linear Heat Pump,0.053,+43%,,,
3,Polarised Core,0.0,,,,+100%
4,Polarised Core,0.0,+40%,,,
5,Kinetic Release Mechanism,0.263,+55%,,,
6,Linear Timing Loom,0.323,,+65%,,
7,Unstable Core,0.07,+44%,,,
8,Pugneum Heat Pump,0.482,+56%,,+7%,
9,Pugneum Release Mechanism,0.0,,,+6%,
10,Kinetic Release Mechanism,0.008,,,,+105%
11,Polarised Gas Expander,0.061,,+39%,,
12,Polarised Heat Pump,0.006,,+35%,,+100%
13,Pugneum Launch System,0.119,,,,+171%
14,Pugneum Injector Plugs,0.01,,+34%,,
15,Polarised Injector Plugs,0.035,+42%,,,
16,Linear Launch System,0.02,,+35%,,
17,Kinetic Coils,0.264,,+48%,+6%,
18,Kinetic Compressor,0.282,,+49%,+6%,
19,Linear Gas Expander,0.475,,+33%,+6%,+213%
20,Pugneum Coils,0.028,+41%,,+6%,
21,Kinetic Heat Pump,0.476,,+60%,+6%,
22,Polarised Core,0.0,+40%,,,
23,Unstable Core,0.0,,,+6%,
24,Linear Coils,0.0,+40%,,,
25,Kinetic Injector Plugs,0.042,,,,+125%
26,Kinetic Coils,0.0,+40%,,,
27,Unstable Compressor,0.01,,+34%,,
28,Kinetic Injector Plugs,0.392,+52%,,,+216%
29,Kinetic Heat Pump,0.212,,+54%,,
30,Pugneum Heat Pump,0.0,,,,+100%
31,Pugneum Launch System,0.013,+44%,,,+100%
32,Unstable Core,0.0,+40%,,,
33,Pugneum Injector Plugs,0.284,+51%,+38%,+6%,
34,Unstable Compressor,0.25,,,+9%,
35,Unstable Coils,0.07,+44%,,,
36,Kinetic Coils,0.0,,,,+100%
37,Linear Launch System,0.0,+40%,,,
38,Polarised Shell Loader,0.448,,,+6%,+237%
39,Unstable Gas Expander,0.283,,+61%,,
40,Unstable Core,0.028,,,,+117%
41,Unstable Timing Loom,0.0,+40%,,,
42,Kinetic Coils,0.101,,+43%,,
43,Unstable Timing Loom,0.0,+40%,,+6%,
44,Pugneum Compressor,0.313,,+64%,,
45,Pugneum Heat Pump,0.0,,+33%,+6%,+100%
46,Unstable Coils,0.105,+46%,,,
47,Polarised Gas Expander,0.136,,,,+181%
48,Kinetic Compressor,0.002,,,,+101%
49,Linear Core,0.083,,,+7%,
50,Linear Launch System,0.0,,,+6%,
51,Polarised Core,0.071,,+40%,,
52,Linear Heat Pump,0.042,,,,+125%
53,Polarised Gas Expander,0.167,,,+8%,
54,Polarised Coils,0.813,,+48%,+6%,+278%
55,Polarised Core,0.231,+59%,,+9%,+128%
56,Polarised Injector Plugs,0.0,,,+6%,
57,Unstable Timing Loom,0.199,,,,+219%
58,Kinetic Launch System,0.14,+48%,,,
59,Pugneum Core,0.027,,,,+116%
60,Pugneum Coils,0.0,,,+6%,
61,Unstable Timing Loom,0.0,,,+6%,
62,Unstable Heat Pump,0.0,,,,+100%
63,Polarised Shell Loader,0.035,+42%,,,
64,Polarised Timing Loom,0.232,,+56%,,
65,Linear Heat Pump,0.0,+40%,,,
66,Kinetic Shell Loader,0.053,+43%,,,
67,Linear Core,0.0,,,,+100%
68,Linear Gas Expander,0.018,+41%,,,
69,Kinetic Core,0.018,+40%,,,+106%
70,Kinetic Timing Loom,0.002,,,,+101%
71,Pugneum Injector Plugs,0.0,,,+6%,
72,Kinetic Release Mechanism,0.0,,,,+100%
73,Kinetic Launch System,0.002,,,,+101%
74,Linear Heat Pump,0.04,,+37%,,
75,Kinetic Compressor,0.316,+58%,,,
76,Linear Heat Pump,0.229,,,,+237%
77,Pugneum Core,0.006,,+35%,,+100%
78,Kinetic Heat Pump,0.159,,,,+195%
79,Unstable Launch System,0.159,,+42%,+6%,
80,Unstable Shell Loader,0.14,+48%,,,
81,Kinetic Core,0.0,,,,+100%
82,Linear Coils,0.192,,+52%,,
83,Linear Shell Loader,0.298,+57%,,,
84,Unstable Shell Loader,0.162,,,,+197%
85,Polarised Release Mechanism,0.132,,,,+179%
86,Pugneum Coils,0.007,,,,+104%
87,Kinetic Compressor,0.293,+40%,+56%,,
88,Polarised Coils,0.155,+47%,+38%,,
89,Kinetic Core,0.04,,+37%,,
90,Polarised Timing Loom,0.25,,,+9%,
91,Linear Gas Expander,0.0,,,+6%,
92,Unstable Timing Loom,0.123,+47%,,,
93,Unstable Injector Plugs,0.0,,,+6%,
94,Pugneum Core,0.083,,,+7%,
95,Unstable Gas Expander,0.018,+41%,,,
96,Unstable Compressor,0.018,+41%,,,
97,Kinetic Gas Expander,0.0,,,+6%,
98,Pugneum Timing Loom,0.003,,,+6%,+101%
99,Polarised Shell Loader,0.0,,,+6%,
100,Polarised Heat Pump,0.016,+45%,,,+100%
101,Unstable Launch System,0.0,,+33%,,
102,Kinetic Gas Expander,0.0,+40%,,,
103,Pugneum Release Mechanism,0.0,+40%,,,
104,Pugneum Heat Pump,0.0,,+33%,,
105,Pugneum Gas Expander,0.0,,,,+100%
106,Pugneum Gas Expander,0.136,,,,+181%
107,Pugneum Coils,0.018,+41%,,,
108,Unstable Coils,0.051,,+38%,,
109,Pugneum Release Mechanism,0.159,,+42%,+6%,
110,Kinetic Heat Pump,0.048,+55%,,,+100%
111,Linear Injector Plugs,0.255,,+37%,,+185%
112,Unstable Gas Expander,0.0,+40%,,,
113,Polarised Core,0.193,+51%,,,
114,Linear Heat Pump,0.0,,,+6%,
115,Unstable Heat Pump,0.0,,,+6%,
116,Unstable Timing Loom,0.167,,,+8%,
117,Polarised Heat Pump,0.032,,,,+119%
118,Unstable Timing Loom,0.302,,,,+280%
119,Pugneum Core,0.271,,,,+262%
120,Unstable Compressor,0.01,,+34%,,
121,Unstable Timing Loom,0.533,+59%,,+6%,
122,Unstable Core,0.0,,,+6%,
123,Pugneum Timing Loom,0.033,,,+6%,+110%
124,Linear Core,0.121,,+45%,,
125,Kinetic Shell Loader,0.25,,,+9%,
126,Linear Injector Plugs,0.316,+58%,,,
127,Unstable Release Mechanism,0.0,,,+6%,
128,Pugneum Shell Loader,0.0,,,+6%,
129,Polarised Shell Loader,0.34,,,+6%,+204%
130,Polarised Timing Loom,0.25,,,,+249%
131,Pugneum Gas Expander,0.211,,+45%,+6%,
132,Pugneum Timing Loom,0.107,,,,+164%
133,Linear Timing Loom,0.002,,,,+101%
134,Unstable Launch System,0.0,,+33%,,
135,Kinetic Shell Loader,0.0,+40%,,,
136,Unstable Heat Pump,0.085,,+33%,+10%,
137,Pugneum Shell Loader,0.0,,+33%,,
138,Unstable Compressor,0.0,,,+6%,
139,Pugneum Launch System,0.0,+40%,,,
140,Unstable Injector Plugs,0.202,,+53%,,
141,Linear Coils,0.281,+56%,,,
142,Unstable Injector Plugs,0.064,,,,+138%
143,Polarised Heat Pump,0.0,+40%,,,
144,Pugneum Shell Loader,0.0,,,+6%,
145,Polarised Release Mechanism,0.0,+40%,,,
146,Kinetic Compressor,0.213,,,,+227%
147,Pugneum Core,0.316,+58%,,,
148,Polarised Gas Expander,0.167,,,+8%,
149,Linear Launch System,0.087,,,,+152%
150,Polarised Compressor,0.175,+50%,,,
151,Linear Launch System,0.01,,+34%,,
152,Linear Gas Expander,0.182,,+51%,,
153,Polarised Coils,0.0,,,+6%,
154,Polarised Timing Loom,0.0,,,+6%,
155,Kinetic Timing Loom,0.316,+58%,,,
156,Linear Core,0.083,,,+7%,
157,Pugneum Compressor,0.53,+55%,+48%,+6%,
158,Linear Coils,0.083,,,+7%,
159,Pugneum Gas Expander,0.018,,,,+111%
160,Linear Gas Expander,0.222,,+55%,,
161,Linear Core,0.056,+42%,,+6%,
162,Linear Heat Pump,0.0,,,+6%,
163,Unstable Compressor,0.007,,,,+104%
164,Polarised Gas Expander,0.064,+42%,+36%,,
165,Pugneum Core,0.105,+46%,,,
166,Pugneum Heat Pump,0.155,+49%,+36%,,
167,Unstable Coils,0.005,,,,+103%
168,Unstable Injector Plugs,0.008,,,,+105%
169,Polarised Shell Loader,0.0,,,+6%,
170,Kinetic Release Mechanism,0.127,+41%,+42%,,
171,Kinetic Injector Plugs,0.008,,,,+105%
172,Linear Release Mechanism,0.182,,+51%,,
173,Unstable Shell Loader,0.061,,+39%,,
174,Linear Timing Loom,0.543,,,+6%,+266%
175,Pugneum Heat Pump,0.0,,,,+100%
176,Polarised Injector Plugs,0.246,,,,+247%
177,Unstable Timing Loom,0.035,+42%,,,
178,Kinetic Injector Plugs,0.006,+41%,,,+101%
179,Pugneum Shell Loader,0.02,,+35%,,
180,Polarised Release Mechanism,0.0,,+33%,,
181,Kinetic Shell Loader,0.16,+50%,,,+142%
182,Kinetic Core,0.354,,+65%,+8%,+149%
183,Pugneum Launch System,0.0,+40%,,+6%,
