Seed	Name	Perfection	Weapon_Laser_Damage	Weapon_Laser_ChargeTime
0	Plasma Recycler	0.85	+3%	-17%
1	Plasma Recycler	0.55	+3%	-11%
2	Parallel Capacitors	0.55	+3%	-11%
3	Superb Core	0.55	+3%	-11%
4	Superb Core	0.55	+3%	-11%
5	Superconductive Plating	0.55	+3%	-11%
6	Parallel Stabiliser	0.55	+3%	-11%
7	Plasma Core	0.55	+3%	-11%
8	Emeril Capacitors	0.55	+3%	-11%
9	Emeril Plating	0.55	+3%	-11%
10	Superconductive Plating	0.55	+3%	-11%
11	Superb Recycler	0.55	+3%	-11%
12	Superb Capacitors	0.55	+3%	-11%
13	Emeril Mass Chamber	0.7	+3%	-14%
14	Emeril Injectors	0.55	+3%	-11%
15	Superb Injectors	0.55	+3%	-11%
16	Parallel Mass Chamber	0.55	+3%	-11%
17	Superconductive Magnets	0.55	+3%	-11%
18	Superconductive Accelerator	0.55	+3%	-11%
19	Parallel Recycler	1.0	+3%	-20%
20	Emeril Magnets	0.55	+3%	-11%
21	Superconductive Capacitors	0.9	+3%	-18%
22	Superb Core	0.55	+3%	-11%
23	Plasma Core	0.55	+3%	-11%
24	Parallel Magnets	0.55	+3%	-11%
25	Superconductive Injectors	0.55	+3%	-11%
26	Superconductive Magnets	0.55	+3%	-11%
27	Plasma Accelerator	0.6	+3%	-12%
28	Superconductive Injectors	0.55	+3%	-11%
29	Superconductive Capacitors	0.55	+3%	-11%
30	Emeril Capacitors	0.6	+3%	-12%
31	Emeril Mass Chamber	0.55	+3%	-11%
32	Plasma Core	0.55	+3%	-11%
33	Emeril Injectors	0.55	+3%	-11%
34	Plasma Accelerator	0.55	+3%	-11%
35	Plasma Magnets	0.55	+3%	-11%
36	Superconductive Magnets	0.55	+3%	-11%
37	Parallel Mass Chamber	0.55	+3%	-11%
38	Superb Generator Unit	0.55	+3%	-11%
39	Plasma Recycler	0.55	+3%	-11%
40	Plasma Core	0.7	+3%	-14%
41	Plasma Stabiliser	0.55	+3%	-11%
42	Superconductive Magnets	0.6	+3%	-12%
43	Plasma Stabiliser	0.6	+3%	-12%
44	Emeril Accelerator	0.55	+3%	-11%
45	Emeril Capacitors	0.55	+3%	-11%
46	Plasma Magnets	0.55	+3%	-11%
47	Superb Recycler	0.55	+3%	-11%
48	Superconductive Accelerator	0.55	+3%	-11%
49	Parallel Core	0.55	+3%	-11%
50	Parallel Mass Chamber	0.55	+3%	-11%
51	Superb Core	0.9	+3%	-18%
52	Parallel Capacitors	0.55	+3%	-11%
53	Superb Recycler	0.55	+3%	-11%
54	Superb Magnets	0.7	+3%	-14%
55	Superb Core	0.6	+3%	-12%
56	Superb Injectors	0.6	+3%	-12%
57	Plasma Stabiliser	0.65	+3%	-13%
58	Superconductive Mass Chamber	0.55	+3%	-11%
59	Emeril Core	0.9	+3%	-18%
60	Emeril Magnets	0.55	+3%	-11%
61	Plasma Stabiliser	0.55	+3%	-11%
62	Plasma Capacitors	0.55	+3%	-11%
63	Superb Generator Unit	0.55	+3%	-11%
64	Superb Stabiliser	0.7	+3%	-14%
65	Parallel Capacitors	0.55	+3%	-11%
66	Superconductive Generator Unit	0.55	+3%	-11%
67	Parallel Core	0.55	+3%	-11%
68	Parallel Recycler	0.55	+3%	-11%
69	Superconductive Core	0.55	+3%	-11%
70	Superconductive Stabiliser	0.55	+3%	-11%
71	Emeril Injectors	0.7	+3%	-14%
72	Superconductive Plating	0.8	+3%	-16%
73	Superconductive Mass Chamber	0.55	+3%	-11%
74	Parallel Capacitors	0.55	+3%	-11%
75	Superconductive Accelerator	0.55	+3%	-11%
76	Parallel Capacitors	0.55	+3%	-11%
77	Emeril Core	0.55	+3%	-11%
78	Superconductive Capacitors	0.55	+3%	-11%
79	Plasma Mass Chamber	0.7	+3%	-14%
80	Plasma Generator Unit	0.55	+3%	-11%
81	Superconductive Core	0.55	+3%	-11%
82	Parallel Magnets	0.55	+3%	-11%
83	Parallel Generator Unit	0.55	+3%	-11%
84	Plasma Generator Unit	0.55	+3%	-11%
85	Superb Plating	0.55	+3%	-11%
86	Emeril Magnets	0.55	+3%	-11%
87	Superconductive Accelerator	0.55	+3%	-11%
88	Superb Magnets	0.55	+3%	-11%
89	Superconductive Core	0.65	+3%	-13%
90	Superb Stabiliser	0.55	+3%	-11%
91	Parallel Recycler	0.65	+3%	-13%
92	Plasma Stabiliser	0.55	+3%	-11%
93	Plasma Injectors	0.65	+3%	-13%
94	Emeril Core	0.55	+3%	-11%
95	Plasma Recycler	0.55	+3%	-11%
96	Plasma Accelerator	0.55	+3%	-11%
97	Superconductive Recycler	0.55	+3%	-11%
98	Emeril Stabiliser	0.8	+3%	-16%
99	Superb Generator Unit	0.55	+3%	-11%
100	Superb Capacitors	0.55	+3%	-11%
101	Plasma Mass Chamber	0.6	+3%	-12%
102	Superconductive Recycler	0.55	+3%	-11%
103	Emeril Plating	0.55	+3%	-11%
104	Emeril Capacitors	0.55	+3%	-11%
105	Emeril Recycler	0.6	+3%	-12%
106	Emeril Recycler	0.55	+3%	-11%
107	Emeril Magnets	0.55	+3%	-11%
108	Plasma Magnets	0.55	+3%	-11%
109	Emeril Plating	0.7	+3%	-14%
110	Superconductive Capacitors	0.55	+3%	-11%
111	Parallel Injectors	0.55	+3%	-11%
112	Plasma Recycler	0.55	+3%	-11%
113	Superb Core	0.55	+3%	-11%
114	Parallel Capacitors	0.55	+3%	-11%
115	Plasma Capacitors	0.6	+3%	-12%
116	Plasma Stabiliser	0.7	+3%	-14%
117	Superb Capacitors	0.65	+3%	-13%
118	Plasma Stabiliser	0.55	+3%	-11%
119	Emeril Core	0.55	+3%	-11%
120	Plasma Accelerator	0.85	+3%	-17%
121	Plasma Stabiliser	0.55	+3%	-11%
122	Plasma Core	0.55	+3%	-11%
123	Emeril Stabiliser	0.55	+3%	-11%
124	Parallel Core	0.55	+3%	-11%
125	Superconductive Generator Unit	0.55	+3%	-11%
126	Parallel Injectors	0.55	+3%	-11%
127	Plasma Plating	0.55	+3%	-11%
128	Emeril Generator Unit	0.55	+3%	-11%
129	Superb Generator Unit	0.55	+3%	-11%
130	Superb Stabiliser	0.55	+3%	-11%
131	Emeril Recycler	0.55	+3%	-11%
132	Emeril Stabiliser	0.9	+3%	-18%
133	Parallel Stabiliser	0.55	+3%	-11%
134	Plasma Mass Chamber	0.55	+3%	-11%
135	Superconductive Generator Unit	0.55	+3%	-11%
136	Plasma Capacitors	0.6	+3%	-12%
137	Emeril Generator Unit	0.65	+3%	-13%
138	Plasma Accelerator	0.6	+3%	-12%
139	Emeril Mass Chamber	0.55	+3%	-11%
140	Plasma Injectors	0.85	+3%	-17%
141	Parallel Magnets	0.55	+3%	-11%
142	Plasma Injectors	0.6	+3%	-12%
143	Superb Capacitors	0.55	+3%	-11%
144	Emeril Generator Unit	0.8	+3%	-16%
145	Superb Plating	0.55	+3%	-11%
146	Superconductive Accelerator	0.55	+3%	-11%
147	Emeril Core	0.55	+3%	-11%
148	Superb Recycler	0.65	+3%	-13%
149	Parallel Mass Chamber	0.55	+3%	-11%
150	Superb Accelerator	0.55	+3%	-11%
151	Parallel Mass Chamber	0.65	+3%	-13%
152	Parallel Recycler	0.55	+3%	-11%
153	Superb Magnets	0.75	+3%	-15%
154	Superb Stabiliser	0.55	+3%	-11%
155	Superconductive Stabiliser	0.55	+3%	-11%
156	Parallel Core	0.55	+3%	-11%
157	Emeril Accelerator	0.55	+3%	-11%
158	Parallel Magnets	0.55	+3%	-11%
159	Emeril Recycler	0.75	+3%	-15%
160	Parallel Recycler	0.7	+3%	-14%
161	Parallel Core	0.6	+3%	-12%
162	Parallel Capacitors	0.75	+3%	-15%
163	Plasma Accelerator	0.55	+3%	-11%
164	Superb Recycler	0.65	+3%	-13%
165	Emeril Core	0.55	+3%	-11%
166	Emeril Capacitors	0.6	+3%	-12%
167	Plasma Magnets	0.55	+3%	-11%
168	Plasma Injectors	0.55	+3%	-11%
169	Superb Generator Unit	0.65	+3%	-13%
170	Superconductive Plating	0.55	+3%	-11%
171	Superconductive Injectors	0.55	+3%	-11%
172	Parallel Plating	0.55	+3%	-11%
173	Plasma Generator Unit	0.65	+3%	-13%
174	Parallel Stabiliser	0.55	+3%	-11%
175	Emeril Capacitors	0.85	+3%	-17%
176	Superb Injectors	0.55	+3%	-11%
177	Plasma Stabiliser	0.55	+3%	-11%
178	Superconductive Injectors	0.6	+3%	-12%
179	Emeril Generator Unit	0.9	+3%	-18%
180	Superb Plating	0.75	+3%	-15%
181	Superconductive Generator Unit	0.55	+3%	-11%
182	Superconductive Core	0.8	+3%	-16%
183	Emeril Mass Chamber	0.65	+3%	-13%
184	Superb Core	0.55	+3%	-11%
185	Superb Stabiliser	0.55	+3%	-11%
186	Parallel Mass Chamber	0.55	+3%	-11%
187	Superb Injectors	0.55	+3%	-11%
188	Superconductive Core	0.55	+3%	-11%
189	Plasma Plating	0.55	+3%	-11%
190	Superconductive Plating	0.55	+3%	-11%
191	Superconductive Accelerator	0.55	+3%	-11%
192	Superconductive Magnets	0.55	+3%	-11%
193	Parallel Core	0.55	+3%	-11%
194	Superb Magnets	0.55	+3%	-11%
195	Plasma Injectors	0.55	+3%	-11%
196	Emeril Injectors	0.7	+3%	-14%
197	Superconductive Stabiliser	0.55	+3%	-11%
198	Superconductive Recycler	0.55	+3%	-11%
199	Superb Plating	0.9	+3%	-18%
200	Superconductive Accelerator	0.85	+3%	-17%
201	Superconductive Stabiliser	0.55	+3%	-11%
202	Emeril Stabiliser	0.55	+3%	-11%
203	Superconductive Plating	0.55	+3%	-11%
