sep=,
Seed,Name,Perfection,Weapon_Laser_Damage,Weapon_Laser_ChargeTime
0,Antimatter Recycler,0.899,+4%,-19%
1,Antimatter Recycler,0.293,+4%,-13%
2,Vectorised Capacitors,0.091,+4%,-11%
3,Quantum Core,0.091,+4%,-11%
4,Quantum Core,0.192,+4%,-12%
5,Faultless Plating,0.091,+4%,-11%
6,Vectorised Stabiliser,0.091,+4%,-11%
7,Antimatter Core,0.091,+4%,-11%
8,Indium Capacitors,0.091,+4%,-11%
9,Indium Plating,0.394,+4%,-14%
10,Faultless Plating,0.293,+4%,-13%
11,Quantum Recycler,0.091,+4%,-11%
12,Quantum Capacitors,0.293,+4%,-13%
13,Indium Mass Chamber,0.697,+4%,-17%
14,Indium Injectors,0.091,+4%,-11%
15,Quantum Injectors,0.192,+4%,-12%
16,Vectorised Mass Chamber,0.293,+4%,-13%
17,Faultless Magnets,0.091,+4%,-11%
18,Faultless Accelerator,0.091,+4%,-11%
19,Vectorised Recycler,1.0,+4%,-20%
20,Indium Magnets,0.091,+4%,-11%
21,Faultless Capacitors,1.0,+4%,-20%
22,Quantum Core,0.091,+4%,-11%
23,Antimatter Core,0.293,+4%,-13%
24,Vectorised Magnets,0.091,+4%,-11%
25,Faultless Injectors,0.091,+4%,-11%
26,Faultless Magnets,0.091,+4%,-11%
27,Antimatter Accelerator,0.495,+4%,-15%
28,Faultless Injectors,0.091,+4%,-11%
29,Faultless Capacitors,0.091,+4%,-11%
30,Indium Capacitors,0.495,+4%,-15%
31,Indium Mass Chamber,0.091,+4%,-11%
32,Antimatter Core,0.091,+4%,-11%
33,Indium Injectors,0.192,+4%,-12%
34,Antimatter Accelerator,0.192,+4%,-12%
35,Antimatter Magnets,0.091,+4%,-11%
36,Faultless Magnets,0.091,+4%,-11%
37,Vectorised Mass Chamber,0.192,+4%,-12%
38,Quantum Generator Unit,0.293,+4%,-13%
39,Antimatter Recycler,0.091,+4%,-11%
40,Antimatter Core,0.798,+4%,-18%
41,Antimatter Stabiliser,0.192,+4%,-12%
42,Faultless Magnets,0.596,+4%,-16%
43,Antimatter Stabiliser,0.596,+4%,-16%
44,Indium Accelerator,0.495,+4%,-15%
45,Indium Capacitors,0.091,+4%,-11%
46,Antimatter Magnets,0.091,+4%,-11%
47,Quantum Recycler,0.091,+4%,-11%
48,Faultless Accelerator,0.091,+4%,-11%
49,Vectorised Core,0.394,+4%,-14%
50,Vectorised Mass Chamber,0.293,+4%,-13%
51,Quantum Core,0.899,+4%,-19%
52,Vectorised Capacitors,0.293,+4%,-13%
53,Quantum Recycler,0.192,+4%,-12%
54,Quantum Magnets,0.798,+4%,-18%
55,Quantum Core,0.495,+4%,-15%
56,Quantum Injectors,0.495,+4%,-15%
57,Antimatter Stabiliser,0.596,+4%,-16%
58,Faultless Mass Chamber,0.091,+4%,-11%
59,Indium Core,1.0,+4%,-20%
60,Indium Magnets,0.091,+4%,-11%
61,Antimatter Stabiliser,0.192,+4%,-12%
62,Antimatter Capacitors,0.091,+4%,-11%
63,Quantum Generator Unit,0.495,+4%,-15%
64,Quantum Stabiliser,0.798,+4%,-18%
65,Vectorised Capacitors,0.091,+4%,-11%
66,Faultless Generator Unit,0.091,+4%,-11%
67,Vectorised Core,0.091,+4%,-11%
68,Vectorised Recycler,0.192,+4%,-12%
69,Faultless Core,0.091,+4%,-11%
70,Faultless Stabiliser,0.091,+4%,-11%
71,Indium Injectors,0.798,+4%,-18%
72,Faultless Plating,0.899,+4%,-19%
73,Faultless Mass Chamber,0.192,+4%,-12%
74,Vectorised Capacitors,0.394,+4%,-14%
75,Faultless Accelerator,0.192,+4%,-12%
76,Vectorised Capacitors,0.394,+4%,-14%
77,Indium Core,0.091,+4%,-11%
78,Faultless Capacitors,0.293,+4%,-13%
79,Antimatter Mass Chamber,0.798,+4%,-18%
80,Antimatter Generator Unit,0.091,+4%,-11%
81,Faultless Core,0.192,+4%,-12%
82,Vectorised Magnets,0.293,+4%,-13%
83,Vectorised Generator Unit,0.091,+4%,-11%
