Seed	Name	Perfection	Weapon_Scan_Radius	Weapon_Scan_Discovery_Creature	Weapon_Scan_Discovery_Flora
0	Waveform Detector	0.1	+6%		
1	Waveform Detector	0.36		+1,720%	
2	Analog Probe	0.5	+10%		
3	Precision Scope	0.194			+1,388%
4	Precision Scope	0.177		+1,354%	
5	Overclocked Processor	0.4	+9%		
6	Analog Sweep Ray	0.063			+1,125%
7	Waveform Scope	0.5	+10%		
8	Low-Heat Probe	0.4	+9%		
9	Low-Heat Processor	0.0		+1,000%	
10	Overclocked Processor	0.233			+1,466%
11	Precision Detector	0.075			+1,150%
12	Precision Probe	0.115			+1,230%
13	Low-Heat Analysis Unit	0.001			+1,001%
14	Low-Heat Computer	0.092			+1,183%
15	Precision Computer	0.5	+10%		
16	Analog Analysis Unit	0.125		+1,249%	
17	Overclocked Visualiser	0.261		+1,522%	
18	Overclocked Siphon	0.499		+1,997%	
19	Analog Detector	0.126		+1,243%	+1,009%
20	Low-Heat Visualiser	0.584	+6%	+1,967%	
21	Overclocked Probe	0.001		+1,001%	
22	Precision Scope	0.396		+1,791%	
23	Waveform Scope	0.061			+1,121%
24	Analog Visualiser	0.132			+1,263%
25	Overclocked Computer	0.007			+1,014%
26	Overclocked Visualiser	0.5	+10%		
27	Waveform Siphon	0.006		+1,012%	
28	Overclocked Computer	0.345			+1,689%
29	Overclocked Probe	0.002			+1,004%
30	Low-Heat Probe	0.0			+1,000%
31	Low-Heat Analysis Unit	0.516	+7%		+1,631%
32	Waveform Scope	0.5	+10%		
33	Low-Heat Computer	0.475	+7%	+1,550%	
34	Waveform Siphon	0.078			+1,156%
35	Waveform Visualiser	0.4	+9%		
36	Overclocked Visualiser	0.494			+1,988%
37	Analog Analysis Unit	0.2	+7%		
38	Precision Prediction Unit	0.156		+1,312%	
39	Waveform Detector	0.091			+1,181%
40	Waveform Scope	0.1	+6%		
41	Waveform Sweep Ray	0.159		+1,317%	
42	Overclocked Visualiser	0.029		+1,058%	
43	Waveform Sweep Ray	0.037		+1,073%	
44	Low-Heat Siphon	0.1	+6%		
45	Low-Heat Probe	0.41		+1,010%	+1,809%
46	Waveform Visualiser	0.2	+7%		
47	Precision Detector	0.157			+1,314%
48	Overclocked Siphon	0.289			+1,578%
49	Analog Scope	0.114		+1,227%	
50	Analog Analysis Unit	0.2	+7%		
51	Precision Scope	0.116		+1,231%	
52	Analog Probe	0.208		+1,416%	
53	Precision Detector	0.043			+1,086%
54	Precision Visualiser	0.242		+1,014%	+1,469%
55	Precision Scope	0.285		+1,191%	+1,379%
56	Precision Computer	0.167			+1,333%
57	Waveform Sweep Ray	0.027		+1,053%	
58	Overclocked Analysis Unit	0.3	+8%		
59	Low-Heat Scope	0.033		+1,066%	
60	Low-Heat Visualiser	0.273		+1,546%	
61	Waveform Sweep Ray	0.1	+6%		
62	Waveform Probe	0.436		+1,872%	
63	Precision Prediction Unit	0.244			+1,488%
64	Precision Sweep Ray	0.011		+1,021%	
65	Analog Probe	0.5	+10%		
66	Overclocked Prediction Unit	0.5	+10%		
67	Analog Scope	0.385		+1,769%	
68	Analog Detector	0.171			+1,342%
69	Overclocked Scope	0.1	+6%		
70	Overclocked Sweep Ray	0.394			+1,788%
71	Low-Heat Computer	0.293		+1,585%	
72	Overclocked Processor	0.09		+1,179%	
73	Overclocked Analysis Unit	0.379			+1,757%
74	Analog Probe	0.072		+1,144%	
75	Overclocked Siphon	0.252			+1,503%
76	Analog Probe	0.438		+1,875%	
77	Low-Heat Scope	0.358			+1,715%
78	Overclocked Probe	0.263		+1,525%	
79	Waveform Analysis Unit	0.013		+1,026%	
80	Waveform Prediction Unit	0.2	+7%		
81	Overclocked Scope	0.232		+1,464%	
82	Analog Visualiser	0.109		+1,217%	
83	Analog Prediction Unit	0.279			+1,558%
84	Waveform Prediction Unit	0.32			+1,639%
85	Precision Processor	0.1	+6%		
86	Low-Heat Visualiser	0.1	+6%		
87	Overclocked Siphon	0.3	+8%		
88	Precision Visualiser	0.2	+7%		
89	Overclocked Scope	0.018			+1,035%
90	Precision Sweep Ray	0.107		+1,214%	
91	Analog Detector	0.245		+1,489%	
92	Waveform Sweep Ray	0.212			+1,423%
93	Waveform Computer	0.219			+1,437%
94	Low-Heat Scope	0.055			+1,110%
95	Waveform Detector	0.5	+10%		
96	Waveform Siphon	0.125			+1,250%
97	Overclocked Detector	0.005			+1,010%
98	Low-Heat Sweep Ray	0.609	+8%		+1,617%
99	Precision Prediction Unit	0.0		+1,000%	
100	Precision Probe	0.5	+10%		
101	Waveform Analysis Unit	0.053		+1,105%	
102	Overclocked Detector	0.5	+10%		
103	Low-Heat Processor	0.175			+1,350%
104	Low-Heat Probe	0.0			+1,000%
105	Low-Heat Detector	0.05		+1,100%	
106	Low-Heat Detector	0.357		+1,714%	
107	Low-Heat Visualiser	0.4	+9%		
108	Waveform Visualiser	0.072		+1,144%	
109	Low-Heat Processor	0.015		+1,030%	
110	Overclocked Probe	0.1	+6%		
111	Analog Computer	0.381			+1,761%
112	Waveform Detector	0.3	+8%		
113	Precision Scope	0.162			+1,323%
114	Analog Probe	0.044			+1,088%
115	Waveform Probe	0.497		+1,993%	
116	Waveform Sweep Ray	0.152		+1,303%	
117	Precision Probe	0.011			+1,021%
118	Waveform Sweep Ray	0.04			+1,079%
119	Low-Heat Scope	0.43			+1,860%
120	Waveform Siphon	0.031		+1,061%	
121	Waveform Sweep Ray	0.122		+1,244%	
122	Waveform Scope	0.256		+1,511%	
123	Low-Heat Sweep Ray	0.306		+1,612%	
