sep=,
Seed,Name,Perfection,Weapon_Projectile_Damage,Weapon_Projectile_ReloadTime,Weapon_Projectile_Rate
0,Salvaged Dynamo,0.095,+1%,-5%,
1,Salvaged Capacitor,0.0,+1%,,
2,Anomalous Refractor,0.0,+1%,,
3,Polymorphous Polariser,0.0,+1%,,
4,Impossible Dynamo,0.112,+1%,-2%,+6%
5,Forsaken Capacitor,0.0,+1%,,
6,Released Gravitiser,0.0,,-1%,
7,Rescued Filament,0.048,+1%,-3%,
8,Haunted Annihilator,0.401,+1%,-9%,+13%
9,Haunted Polariser,0.018,,,+2%
10,Nanite-Marked De-limiter,0.0,+1%,,
11,Polymorphous Obliterator,0.048,,-3%,
12,Watery Accelerator,0.137,,-6%,+2%
13,Haunted Mirror,0.024,,-2%,
14,Haunted Splitter,0.167,,-8%,
15,Writhing Annihilator,0.0,+1%,,
16,Anomalous Annihilator,0.201,+1%,-5%,+7%
17,Non-compliant Injector,0.041,+1%,-2%,+2%
18,Cursed Atomiser,0.059,,-2%,+3%
19,Anomalous Neutraliser,0.238,,-11%,
20,Haunted Oscillator,0.199,+1%,-2%,+11%
21,Cursed Obliterator,0.164,+1%,-2%,+9%
22,Writhing Furnace,0.065,+1%,-3%,+2%
23,Salvaged Resonator,0.035,,,+3%
24,Anomalous Capacitor,0.1,+1%,-3%,+4%
25,Nanite-Marked Mirror,0.024,,-2%,
26,Forsaken Polariser,0.07,+1%,,+5%
27,Doomed Splitter,0.143,,-7%,
28,Cursed Refractor,0.0,+1%,,
29,Forsaken Injector,0.024,,-2%,
30,Aeronic Mirror,0.119,,-6%,
31,Aeronic Resonator,0.0,+1%,,
32,Salvaged Resonator,0.333,+1%,-15%,
33,Crimson Polariser,0.071,+1%,-4%,
34,Doomed Dynamo,0.316,,,+19%
35,Salvaged Gravitiser,0.0,+1%,,
36,Non-compliant Resonator,0.018,,,+2%
37,Relinquished Obliterator,0.381,+1%,-3%,+20%
38,Watery Neutraliser,0.0,+1%,,
39,Salvaged Dynamo,0.024,,-2%,
40,Anointed Atomiser,0.105,+1%,,+7%
41,Salvaged Splitter,0.175,+1%,,+11%
42,Non-compliant Refractor,0.234,+1%,-2%,+13%
43,Salvaged Accelerator,0.154,+1%,-6%,+3%
44,Haunted Neutraliser,0.065,+1%,-3%,+2%
45,Glassy De-limiter,0.0,+1%,,
46,Salvaged Amplifier,0.0,+1%,,
47,Impossible Gravitiser,0.0,+1%,,
48,Nanite-Marked Atomiser,0.0,+1%,,
49,Extinguished Capacitor,0.228,,,+14%
50,Anomalous Refractor,0.194,+1%,-4%,+8%
51,Polymorphous Filament,0.048,,-3%,
52,Extinguished Mirror,0.0,+1%,,
53,Watery Neutraliser,0.281,,,+17%
54,Polymorphous Filament,0.024,,-2%,
55,Writhing Polariser,0.024,,-2%,
56,Writhing Splitter,0.158,,,+10%
57,Anointed De-limiter,0.263,+1%,,+16%
58,Cursed Annihilator,0.018,+1%,,+2%
59,Glassy Amplifier,0.024,,-2%,
60,Crimson Amplifier,0.288,,-5%,+12%
61,Doomed Resonator,0.07,,,+5%
62,Doomed Boundary Hunter,0.208,,-9%,+2%
63,Impossible Capacitor,0.0,+1%,,
64,Polymorphous Annihilator,0.076,+1%,-2%,+4%
65,Extinguished Obliterator,0.0,+1%,,
66,Nanite-Marked Capacitor,0.018,+1%,,+2%
67,Released Splitter,0.113,,-5%,+2%
68,Extinguished Obliterator,0.0,+1%,,
69,Non-compliant Boundary Hunter,0.048,,-3%,
70,Cursed Capacitor,0.035,,,+3%
71,Haunted Accelerator,0.059,+1%,-2%,+3%
72,Forsaken Obliterator,0.214,,-10%,
73,Non-compliant Gravitiser,0.0,+1%,,
74,Relinquished Amplifier,0.089,,-4%,+2%
75,Cursed Boundary Hunter,0.333,+2%,,
76,Extinguished Amplifier,0.0,+1%,,
77,Crimson Atomiser,0.154,,-6%,+3%
78,Nanite-Marked Accelerator,0.0,+1%,,
79,Anointed Accelerator,0.217,+1%,-2%,+12%
80,Doomed Atomiser,0.0,+1%,,
81,Cursed Mirror,0.041,,-2%,+2%
