Seed	Name	Perfection	Weapon_Projectile_Damage	Weapon_Projectile_ReloadTime	Weapon_Projectile_BurstCap
0	Copper Wiring	0.67	+1%	-10%
1	Copper Wiring	0.67	+1%		+1.0
2	Reinforced Launch System	0.67	+1%		+1.0
3	Enhanced Dynamo	0.67	+1%		+1.0
4	Enhanced Dynamo	0.4	+1%	-6%
5	Pressurised Muzzle	0.67	+1%		+1.0
6	Reinforced Compression Unit	0.67	+1%		+1.0
7	Copper Dynamo	0.4	+1%	-6%
8	Gold-Plated Launch System	0.4	+1%	-6%
9	Gold-Plated Muzzle	0.67	+1%		+1.0
10	Pressurised Muzzle	0.67	+1%		+1.0
11	Enhanced Wiring	0.67	+1%		+1.0
12	Enhanced Launch System	0.47	+1%	-7%
13	Gold-Plated Shells	0.67	+1%		+1.0
14	Gold-Plated Trigger	0.67	+1%		+1.0
15	Enhanced Trigger	0.67	+1%		+1.0
16	Reinforced Shells	0.47	+1%	-7%
17	Pressurised Internals	0.73	+1%	-6%	+1.0
18	Pressurised Barrel	0.4	+1%	-6%
19	Reinforced Wiring	1.0	+1%	-10%	+1.0
20	Gold-Plated Internals	0.73	+1%	-6%	+1.0
21	Pressurised Launch System	0.67	+1%	-10%
22	Enhanced Dynamo	0.4	+1%	-6%
23	Copper Dynamo	0.67	+1%		+1.0
24	Reinforced Internals	0.67	+1%		+1.0
25	Pressurised Trigger	0.67	+1%		+1.0
26	Pressurised Internals	0.4	+1%	-6%
27	Copper Barrel	0.67	+1%		+1.0
28	Pressurised Trigger	0.67	+1%		+1.0
29	Pressurised Launch System	0.67	+1%		+1.0
30	Gold-Plated Launch System	0.67	+1%		+1.0
31	Gold-Plated Shells	0.73	+1%	-6%	+1.0
32	Copper Dynamo	0.4	+1%	-6%
33	Gold-Plated Trigger	0.73	+1%	-6%	+1.0
34	Copper Barrel	0.67	+1%		+1.0
35	Copper Internals	0.4	+1%	-6%
36	Pressurised Internals	0.4	+1%	-6%
37	Reinforced Shells	0.4	+1%	-6%
38	Enhanced Heat Pump	0.73	+1%	-6%	+1.0
39	Copper Wiring	0.67	+1%		+1.0
40	Copper Dynamo	0.6	+1%	-9%
41	Copper Compression Unit	0.4	+1%	-6%
42	Pressurised Internals	0.53	+1%	-8%
43	Copper Compression Unit	0.53	+1%	-8%
44	Gold-Plated Barrel	0.53	+1%	-8%
45	Gold-Plated Launch System	1.0	+1%	-10%	+1.0
46	Copper Internals	0.67	+1%		+1.0
47	Enhanced Wiring	0.67	+1%		+1.0
48	Pressurised Barrel	0.67	+1%		+1.0
49	Reinforced Dynamo	0.67	+1%		+1.0
50	Reinforced Shells	0.47	+1%	-7%
51	Enhanced Dynamo	0.67	+1%		+1.0
52	Reinforced Launch System	0.67	+1%		+1.0
53	Enhanced Wiring	0.67	+1%		+1.0
54	Enhanced Internals	0.73	+1%	-6%	+1.0
55	Enhanced Dynamo	0.73	+1%	-6%	+1.0
56	Enhanced Trigger	0.67	+1%		+1.0
57	Copper Compression Unit	0.53	+1%	-8%
58	Pressurised Shells	0.4	+1%	-6%
59	Gold-Plated Dynamo	0.67	+1%		+1.0
60	Gold-Plated Internals	0.4	+1%	-6%
61	Copper Compression Unit	0.67	+1%		+1.0
62	Copper Launch System	0.4	+1%	-6%
