sep=,
Seed,Name,Perfection,Weapon_Projectile_Damage,Weapon_Projectile_Rate,Weapon_Projectile_ClipSize
0,Infrared Solidifier,0.5,+1%,,
1,Infrared Solidifier,0.188,,+5%,
2,Ion Capture Cell,0.5,+1%,,
3,Sunlight Resonator,0.5,,,+12.0
4,Sunlight Resonator,0.0,,+2%,
5,Beam Injector,0.5,+1%,,
6,Ion Projector,0.5,,,+12.0
7,Infrared Resonator,0.5,+1%,,
8,Plasma Capture Cell,0.5,+1%,,
9,Plasma Injector,0.0,,+2%,
10,Beam Injector,0.5,,,+12.0
11,Sunlight Solidifier,0.5,,,+12.0
12,Sunlight Capture Cell,0.5,,,+12.0
13,Plasma Amplifier,0.5,,,+12.0
14,Plasma Accelerator,0.5,,,+12.0
15,Sunlight Accelerator,0.5,+1%,,
16,Ion Amplifier,0.0,,+2%,
17,Beam Battery,0.562,+1%,+3%,
18,Beam Excitor,0.5,,+10%,
19,Ion Solidifier,0.5,,+2%,+12.0
20,Plasma Battery,1.0,+1%,+10%,
21,Beam Capture Cell,0.0,,+2%,
22,Sunlight Resonator,0.25,,+6%,
23,Infrared Resonator,0.5,,,+12.0
24,Ion Battery,0.5,,,+12.0
25,Beam Accelerator,0.5,,,+12.0
26,Beam Battery,0.5,+1%,,
27,Infrared Excitor,0.0,,+2%,
28,Beam Accelerator,0.5,,,+12.0
29,Beam Capture Cell,0.5,,,+12.0
30,Plasma Capture Cell,0.5,,,+12.0
31,Plasma Amplifier,1.0,+1%,,+12.0
32,Infrared Resonator,0.5,+1%,,
33,Plasma Accelerator,0.562,+1%,+3%,
34,Infrared Excitor,0.5,,,+12.0
35,Infrared Battery,0.5,+1%,,
36,Beam Battery,0.5,,,+12.0
37,Ion Amplifier,0.5,+1%,,
38,Sunlight Energiser,0.5,,+2%,+12.0
39,Infrared Solidifier,0.5,,,+12.0
40,Infrared Resonator,0.5,+1%,,
41,Infrared Projector,0.0,,+2%,
42,Beam Battery,0.0,,+2%,
43,Infrared Projector,0.0,,+2%,
44,Plasma Excitor,0.5,+1%,,
45,Plasma Capture Cell,0.5,,+2%,+12.0
46,Infrared Battery,0.5,+1%,,
47,Sunlight Solidifier,0.5,,,+12.0
48,Beam Excitor,0.5,,,+12.0
49,Ion Resonator,0.0,,+2%,
50,Ion Amplifier,0.5,+1%,,
51,Sunlight Resonator,0.0,,+2%,
52,Ion Capture Cell,0.0,,+2%,
53,Sunlight Solidifier,0.5,,,+12.0
54,Sunlight Battery,0.5,,+2%,+12.0
55,Sunlight Resonator,0.5,,+2%,+12.0
56,Sunlight Accelerator,0.5,,,+12.0
57,Infrared Projector,0.0,,+2%,
58,Beam Amplifier,0.5,+1%,,
59,Plasma Resonator,0.0,,+2%,
60,Plasma Battery,0.062,,+3%,
61,Infrared Projector,0.5,+1%,,
62,Infrared Capture Cell,0.312,,+7%,
63,Sunlight Energiser,0.5,,,+12.0
64,Sunlight Projector,0.0,,+2%,
65,Ion Capture Cell,0.5,+1%,,
66,Beam Energiser,0.5,+1%,,
67,Ion Resonator,0.188,,+5%,
68,Ion Solidifier,0.5,,,+12.0
69,Beam Resonator,0.5,+1%,,
70,Beam Projector,0.5,,,+12.0
71,Plasma Accelerator,0.062,,+3%,
72,Beam Injector,0.0,,+2%,
73,Beam Amplifier,0.5,,,+12.0
74,Ion Capture Cell,0.0,,+2%,
75,Beam Excitor,0.5,,,+12.0
76,Ion Capture Cell,0.312,,+7%,
77,Plasma Resonator,1.0,+1%,,+12.0
78,Beam Capture Cell,0.062,,+3%,
79,Infrared Amplifier,0.0,,+2%,
80,Infrared Energiser,0.5,+1%,,
81,Beam Resonator,0.0,,+2%,
82,Ion Battery,0.0,,+2%,
83,Ion Energiser,0.5,,,+12.0
84,Infrared Energiser,0.5,,,+12.0
85,Sunlight Injector,0.5,+1%,,
86,Plasma Battery,0.5,+1%,,
87,Beam Excitor,1.0,+1%,,+12.0
88,Sunlight Battery,0.5,+1%,,
89,Beam Resonator,0.5,,,+12.0
90,Sunlight Projector,0.0,,+2%,
91,Ion Solidifier,0.062,,+3%,
92,Infrared Projector,0.5,,,+12.0
93,Infrared Accelerator,0.5,,,+12.0
94,Plasma Resonator,0.5,,,+12.0
95,Infrared Solidifier,0.5,+1%,,
96,Infrared Excitor,0.5,,,+12.0
97,Beam Solidifier,0.5,,,+12.0
98,Plasma Projector,1.0,+1%,,+12.0
99,Sunlight Energiser,0.0,,+2%,
100,Sunlight Capture Cell,0.5,+1%,,
101,Infrared Amplifier,0.0,,+2%,
102,Beam Solidifier,0.5,+1%,,
