sep=,
Seed,Name,Perfection,Weapon_Projectile_Damage,Weapon_Projectile_Rate,Weapon_Projectile_ReloadTime,Weapon_Projectile_ClipSize
0,Overloaded Solidifier,0.037,+1%,+2%,,
1,Overloaded Solidifier,0.333,,,-2%,+12.0
2,Flow Capture Cell,0.333,+1%,,,+12.0
3,Atomic Resonator,0.37,,+2%,,+12.0
4,Atomic Resonator,0.0,+1%,,-2%,
5,Waveform Injector,0.333,+1%,,,+12.0
6,Flow Projector,0.667,,+10%,,+12.0
7,Overloaded Resonator,0.037,+1%,+2%,,
8,Surge Capture Cell,0.0,+1%,,-2%,
9,Surge Injector,0.167,+1%,,-6%,
10,Waveform Injector,0.333,,,-2%,+12.0
11,Atomic Solidifier,0.37,,+2%,,+12.0
12,Atomic Capture Cell,0.37,,+2%,,+12.0
13,Surge Amplifier,0.333,,,-2%,+12.0
14,Surge Accelerator,0.37,,+2%,,+12.0
15,Atomic Accelerator,0.0,+1%,,-2%,
16,Flow Amplifier,0.037,,+2%,-2%,
17,Waveform Battery,0.241,+1%,+3%,-6%,
18,Waveform Excitor,0.153,,+4%,-3%,
19,Flow Solidifier,0.37,,+2%,-2%,+12.0
20,Surge Battery,0.037,+1%,+2%,-2%,
21,Waveform Capture Cell,0.259,,+8%,-2%,
22,Atomic Resonator,0.042,+1%,,-3%,
23,Overloaded Resonator,0.375,,,-3%,+12.0
24,Flow Battery,0.333,+1%,,,+12.0
25,Waveform Accelerator,0.333,+1%,,,+12.0
26,Waveform Battery,0.0,+1%,,-2%,
27,Overloaded Excitor,0.245,,+2%,-7%,
28,Waveform Accelerator,0.333,+1%,,,+12.0
29,Waveform Capture Cell,0.481,,+5%,,+12.0
30,Surge Capture Cell,0.333,,,-2%,+12.0
31,Surge Amplifier,0.519,+1%,+6%,,+12.0
32,Overloaded Resonator,0.0,+1%,+1%,,
33,Surge Accelerator,0.12,+1%,+2%,-4%,
34,Overloaded Excitor,0.333,,,-2%,+12.0
35,Overloaded Battery,0.333,+1%,,,+12.0
36,Waveform Battery,0.593,,+8%,,+12.0
37,Flow Amplifier,0.037,+1%,+2%,,
38,Atomic Energiser,0.495,,+2%,-5%,+12.0
