Seed,Name,Perfection,Weapon_Grenade_Damage,Weapon_Grenade_Radius,Weapon_Grenade_Speed
0,Secondary Gas Expander,0.0,+10%,,
1,Secondary Gas Expander,0.778,,+18%,
2,Tertiary Heat Pump,1.0,+19%,,
3,Lubricated Core,0.071,,,+107%
4,Lubricated Core,0.333,,+14%,
5,Efficient Release Mechanism,0.778,+17%,,
6,Tertiary Timing Loom,0.01,,,+101%
7,Secondary Core,1.0,+19%,,
8,Boosted Heat Pump,0.778,+17%,,
9,Boosted Release Mechanism,0.0,,+11%,
10,Efficient Release Mechanism,0.111,,,+111%
11,Lubricated Gas Expander,0.01,,,+101%
12,Lubricated Heat Pump,0.02,,,+102%
13,Boosted Launch System,0.0,,,+100%
14,Boosted Injector Plugs,0.01,,,+101%
15,Lubricated Injector Plugs,1.0,+19%,,
16,Tertiary Launch System,0.222,,+13%,
17,Efficient Coils,0.556,,+16%,
18,Efficient Compressor,1.0,,+20%,
19,Tertiary Gas Expander,0.222,,+13%,
20,Boosted Coils,1.0,,+20%,
21,Efficient Heat Pump,0.0,,+11%,
22,Lubricated Core,0.778,,+18%,
23,Secondary Core,0.01,,,+101%
24,Tertiary Coils,0.03,,,+103%
25,Efficient Injector Plugs,0.0,,,+100%
26,Efficient Coils,1.0,+19%,,
27,Secondary Compressor,0.0,,+11%,
28,Efficient Injector Plugs,0.303,,,+130%
29,Efficient Heat Pump,0.0,,,+100%
30,Boosted Heat Pump,0.0,,,+100%
31,Boosted Launch System,0.242,,,+124%
32,Secondary Core,0.889,+18%,,
33,Boosted Injector Plugs,0.333,+13%,,
34,Secondary Compressor,0.01,,,+101%
35,Secondary Coils,0.778,+17%,,
36,Efficient Coils,0.96,,,+195%
37,Tertiary Launch System,0.333,+13%,,
38,Lubricated Shell Loader,0.333,,+14%,
39,Secondary Gas Expander,0.01,,,+101%
40,Secondary Core,0.0,+10%,,
41,Secondary Timing Loom,0.333,,+14%,
42,Efficient Coils,0.0,,+11%,
43,Secondary Timing Loom,0.0,,+11%,
44,Boosted Compressor,0.111,+11%,,
45,Boosted Heat Pump,0.495,,,+149%
46,Secondary Coils,0.333,+13%,,
47,Lubricated Gas Expander,0.04,,,+104%
48,Efficient Compressor,0.192,,,+119%
49,Tertiary Core,0.222,,+13%,
50,Tertiary Launch System,0.222,+12%,,
51,Lubricated Core,0.222,,+13%,
52,Tertiary Heat Pump,0.444,,+15%,
53,Lubricated Gas Expander,0.0,,,+100%
54,Lubricated Coils,0.0,,+11%,
55,Lubricated Core,0.111,,+12%,
56,Lubricated Injector Plugs,0.051,,,+105%
57,Secondary Timing Loom,0.0,,+11%,
58,Efficient Launch System,0.444,+14%,,
59,Boosted Core,0.0,,+11%,
60,Boosted Coils,0.556,,+16%,
61,Secondary Timing Loom,0.0,+10%,,
62,Secondary Heat Pump,0.889,,+19%,
63,Lubricated Shell Loader,0.121,,,+112%
64,Lubricated Timing Loom,0.0,,+11%,
65,Tertiary Heat Pump,1.0,+19%,,
66,Efficient Shell Loader,1.0,+19%,,
67,Tertiary Core,0.778,,+18%,
68,Tertiary Gas Expander,0.051,,,+105%
69,Efficient Core,0.0,+10%,,
70,Efficient Timing Loom,0.455,,,+145%
71,Boosted Injector Plugs,0.556,,+16%,
72,Efficient Release Mechanism,0.111,,+12%,
73,Efficient Launch System,0.404,,,+140%
74,Tertiary Heat Pump,0.111,,+12%,
75,Efficient Compressor,0.131,,,+113%
76,Tertiary Heat Pump,0.889,,+19%,
77,Boosted Core,0.343,,,+134%
78,Efficient Heat Pump,0.556,,+16%,
79,Secondary Launch System,0.0,,+11%,
80,Secondary Shell Loader,0.222,+12%,,
81,Efficient Core,0.444,,+15%,
82,Tertiary Coils,0.222,,+13%,
83,Tertiary Shell Loader,0.172,,,+117%
84,Secondary Shell Loader,0.242,,,+124%
85,Lubricated Release Mechanism,0.111,+11%,,
86,Boosted Coils,0.0,+10%,,
87,Efficient Compressor,0.444,+14%,,
88,Lubricated Coils,0.333,+13%,,
89,Efficient Core,0.0,,,+100%
90,Lubricated Timing Loom,0.222,,+13%,
91,Tertiary Gas Expander,0.444,,+15%,
92,Secondary Timing Loom,0.081,,,+108%
93,Secondary Injector Plugs,0.091,,,+109%
94,Boosted Core,0.0,,,+100%
95,Secondary Gas Expander,1.0,+19%,,
96,Secondary Compressor,0.03,,,+103%
97,Efficient Gas Expander,0.0,,,+100%
98,Boosted Timing Loom,0.222,,,+122%
99,Lubricated Shell Loader,0.0,,+11%,
100,Lubricated Heat Pump,1.0,+19%,,
101,Secondary Launch System,0.111,,+12%,
102,Efficient Gas Expander,1.0,+19%,,
103,Boosted Release Mechanism,0.051,,,+105%
104,Boosted Heat Pump,0.0,,,+100%
105,Boosted Gas Expander,0.111,,+12%,
106,Boosted Gas Expander,0.778,,+18%,
107,Boosted Coils,0.667,+16%,,
108,Secondary Coils,0.111,,+12%,
109,Boosted Release Mechanism,0.0,,+11%,
110,Efficient Heat Pump,0.111,+11%,,
111,Tertiary Injector Plugs,0.414,,,+141%
112,Secondary Gas Expander,0.556,+15%,,
113,Lubricated Core,0.051,,,+105%
114,Tertiary Heat Pump,0.0,,,+100%
115,Secondary Heat Pump,1.0,,+20%,
116,Secondary Timing Loom,0.333,,+14%,
117,Lubricated Heat Pump,0.0,,,+100%
118,Secondary Timing Loom,0.0,,,+100%
119,Boosted Core,0.606,,,+160%
120,Secondary Compressor,0.0,,+11%,
121,Secondary Timing Loom,0.222,,+13%,
122,Secondary Core,0.556,,+16%,
123,Boosted Timing Loom,0.667,,+17%,
124,Tertiary Core,0.222,,+13%,
125,Efficient Shell Loader,0.02,,,+102%
126,Tertiary Injector Plugs,0.667,+16%,,
127,Secondary Release Mechanism,0.0,,,+100%
128,Boosted Shell Loader,0.222,+12%,,
129,Lubricated Shell Loader,0.03,,,+103%
130,Lubricated Timing Loom,1.0,,+20%,
131,Boosted Gas Expander,0.333,,+14%,
132,Boosted Timing Loom,0.0,,,+100%
133,Tertiary Timing Loom,0.02,,,+102%
134,Secondary Launch System,0.111,+11%,,
135,Efficient Shell Loader,0.424,,,+142%
136,Secondary Heat Pump,0.889,,+19%,
137,Boosted Shell Loader,0.0,+10%,,
138,Secondary Compressor,0.889,,+19%,
139,Boosted Launch System,0.889,,+19%,
140,Secondary Injector Plugs,0.0,+10%,,
141,Tertiary Coils,0.222,+12%,,
142,Secondary Injector Plugs,0.0,,,+100%
143,Lubricated Heat Pump,0.444,+14%,,
144,Boosted Shell Loader,0.667,,+17%,
145,Lubricated Release Mechanism,0.303,,,+130%
146,Efficient Compressor,0.778,,+18%,
147,Boosted Core,0.222,+12%,,
148,Lubricated Gas Expander,0.444,,+15%,
149,Tertiary Launch System,0.596,,,+159%
150,Lubricated Compressor,0.333,+13%,,
151,Tertiary Launch System,0.0,,+11%,
152,Tertiary Gas Expander,0.02,,,+102%
153,Lubricated Coils,0.333,,+14%,
154,Lubricated Timing Loom,0.0,,,+100%
155,Efficient Timing Loom,0.222,+12%,,
156,Tertiary Core,0.333,,+14%,
157,Boosted Compressor,0.333,,+14%,
158,Tertiary Coils,0.778,,+18%,
159,Boosted Gas Expander,0.0,,,+100%
160,Tertiary Gas Expander,0.0,+10%,,
161,Tertiary Core,0.111,,+12%,
162,Tertiary Heat Pump,0.333,,+14%,
163,Secondary Compressor,0.111,+11%,,
164,Lubricated Gas Expander,0.0,+10%,,
165,Boosted Core,0.101,,,+110%
166,Boosted Heat Pump,0.111,+11%,,
167,Secondary Coils,0.02,,,+102%
168,Secondary Injector Plugs,0.333,,,+133%
169,Lubricated Shell Loader,0.162,,,+116%
170,Efficient Release Mechanism,0.556,+15%,,
171,Efficient Injector Plugs,0.162,,,+116%
172,Tertiary Release Mechanism,0.0,,,+100%
173,Secondary Shell Loader,0.0,+10%,,
174,Tertiary Timing Loom,0.0,,,+100%
175,Boosted Heat Pump,0.0,,+11%,
176,Lubricated Injector Plugs,0.343,,,+134%
177,Secondary Timing Loom,0.333,+13%,,
178,Efficient Injector Plugs,0.0,,+11%,
179,Boosted Shell Loader,0.0,,+11%,
180,Lubricated Release Mechanism,0.0,+10%,,
181,Efficient Shell Loader,0.667,+16%,,
182,Efficient Core,0.0,,+11%,
183,Boosted Launch System,0.0,+10%,,
184,Lubricated Core,0.111,+11%,,
185,Lubricated Timing Loom,0.111,+11%,,
186,Tertiary Launch System,1.0,,+20%,
187,Lubricated Injector Plugs,0.222,,+13%,
188,Efficient Core,0.576,,,+157%
189,Secondary Release Mechanism,0.0,,,+100%
190,Efficient Release Mechanism,0.0,,,+100%
191,Efficient Compressor,0.0,,+11%,
192,Efficient Coils,0.667,,+17%,
193,Tertiary Core,1.0,,+20%,
194,Lubricated Coils,0.667,,+17%,
195,Secondary Injector Plugs,0.212,,,+121%
196,Boosted Injector Plugs,0.0,,+11%,
197,Efficient Timing Loom,0.0,,,+100%
198,Efficient Gas Expander,0.111,,+12%,
199,Lubricated Release Mechanism,0.333,,+14%,
200,Efficient Compressor,0.0,,+11%,
201,Efficient Timing Loom,0.222,+12%,,
202,Boosted Timing Loom,0.04,,,+104%
203,Efficient Release Mechanism,0.444,+14%,,
204,Efficient Core,0.121,,,+112%
205,Secondary Shell Loader,0.172,,,+117%
206,Boosted Release Mechanism,0.131,,,+113%
207,Tertiary Gas Expander,0.0,+10%,,
208,Efficient Timing Loom,0.0,+10%,,
209,Boosted Shell Loader,0.0,,,+100%
210,Boosted Compressor,0.313,,,+131%
211,Boosted Core,0.0,,,+100%
212,Secondary Gas Expander,0.0,,,+100%
213,Lubricated Release Mechanism,0.0,,+11%,
214,Efficient Compressor,0.0,,,+100%
215,Lubricated Shell Loader,0.333,+13%,,
216,Tertiary Coils,0.556,,+16%,
217,Efficient Injector Plugs,0.111,,+12%,
218,Secondary Core,0.111,,+12%,
219,Efficient Release Mechanism,0.778,,+18%,
220,Boosted Launch System,0.848,,,+184%
221,Lubricated Launch System,0.152,,,+115%
222,Boosted Injector Plugs,0.0,,+11%,
223,Tertiary Injector Plugs,0.0,,+11%,
224,Lubricated Heat Pump,0.061,,,+106%
225,Secondary Release Mechanism,0.0,,,+100%
226,Efficient Heat Pump,0.02,,,+102%
227,Secondary Launch System,1.0,,+20%,
228,Secondary Coils,0.0,+10%,,
229,Efficient Timing Loom,0.0,,,+100%
230,Boosted Launch System,0.222,,+13%,
231,Boosted Compressor,0.051,,,+105%
232,Secondary Gas Expander,0.778,+17%,,
233,Lubricated Launch System,0.333,,+14%,
234,Tertiary Heat Pump,0.02,,,+102%
235,Secondary Gas Expander,0.111,+11%,,
236,Tertiary Injector Plugs,0.0,,,+100%
237,Boosted Release Mechanism,0.121,,,+112%
238,Boosted Core,0.222,,+13%,
239,Tertiary Coils,0.061,,,+106%
240,Boosted Coils,0.556,,,+155%
241,Efficient Gas Expander,0.0,,+11%,
242,Boosted Timing Loom,0.0,,+11%,
243,Tertiary Timing Loom,0.424,,,+142%
244,Lubricated Coils,0.111,,+12%,
245,Tertiary Timing Loom,0.556,+15%,,
246,Lubricated Injector Plugs,0.768,,,+176%
247,Efficient Coils,0.333,,+14%,
248,Secondary Gas Expander,0.071,,,+107%
