Seed	Name	Perfection	Weapon_Grenade_Damage	Weapon_Grenade_Radius	Weapon_Grenade_Speed
0	Geometric Gas Expander	0.0	+30%
1	Geometric Gas Expander	0.28		+41%
2	Gyroscopic Heat Pump	0.45	+39%
3	Nonlinear Core	0.19			+177%
4	Nonlinear Core	0.08		+33%
5	Nanite Release Mechanism	0.35	+37%
6	Gyroscopic Timing Loom	0.06			+125%
7	Geometric Core	0.45	+39%
8	Supercritical Heat Pump	0.35	+37%
9	Supercritical Release Mechanism	0.03		+31%
10	Nanite Release Mechanism	0.23			+193%
11	Nonlinear Gas Expander	0.08			+130%
12	Nonlinear Heat Pump	0.11			+146%
13	Supercritical Launch System	0.0			+100%
14	Supercritical Injector Plugs	0.09			+136%
15	Nonlinear Injector Plugs	0.45	+39%
16	Gyroscopic Launch System	0.05		+32%
17	Nanite Coils	0.15	+30%	+36%
18	Nanite Compressor	0.5		+50%
19	Gyroscopic Gas Expander	0.05		+32%	+101%
20	Supercritical Coils	0.47	+30%	+49%
21	Nanite Heat Pump	0.03		+31%
22	Nonlinear Core	0.33		+43%
23	Geometric Core	0.06			+124%
24	Gyroscopic Coils	0.13			+152%
25	Nanite Injector Plugs	0.01			+102%
26	Nanite Coils	0.45	+39%
27	Geometric Compressor	0.03		+31%
28	Nanite Injector Plugs	0.34			+237%
29	Nanite Heat Pump	0.0			+100%
30	Supercritical Heat Pump	0.0			+100%
31	Supercritical Launch System	0.41	+32%		+226%
32	Geometric Core	0.4	+38%
33	Supercritical Injector Plugs	0.33	+33%	+37%
34	Geometric Compressor	0.08			+131%
35	Geometric Coils	0.35	+37%
36	Nanite Coils	0.49			+297%
37	Gyroscopic Launch System	0.15	+33%
38	Nonlinear Shell Loader	0.46		+32%	+265%
39	Geometric Gas Expander	0.09			+136%
40	Geometric Core	0.0	+30%
41	Geometric Timing Loom	0.08		+33%
42	Nanite Coils	0.03		+31%
43	Geometric Timing Loom	0.03		+31%
44	Supercritical Compressor	0.05	+31%
45	Supercritical Heat Pump	0.43		+31%	+261%
46	Geometric Coils	0.15	+33%
47	Nonlinear Gas Expander	0.16			+162%
48	Nanite Compressor	0.29			+215%
49	Gyroscopic Core	0.05		+32%
50	Gyroscopic Launch System	0.1	+32%
51	Nonlinear Core	0.05		+32%
52	Gyroscopic Heat Pump	0.1		+34%
53	Nonlinear Gas Expander	0.04			+117%
54	Nonlinear Coils	0.26		+31%	+193%
55	Nonlinear Core	0.21		+31%	+175%
56	Nonlinear Injector Plugs	0.16			+166%
57	Geometric Timing Loom	0.03		+31%
58	Nanite Launch System	0.2	+34%
59	Supercritical Core	0.03		+31%
60	Supercritical Coils	0.15		+36%
61	Geometric Timing Loom	0.0	+30%
62	Geometric Heat Pump	0.4		+46%
63	Nonlinear Shell Loader	0.24			+197%
64	Nonlinear Timing Loom	0.03		+31%
65	Gyroscopic Heat Pump	0.45	+39%
66	Nanite Shell Loader	0.45	+39%
67	Gyroscopic Core	0.3		+42%
68	Gyroscopic Gas Expander	0.17			+168%
69	Nanite Core	0.0	+30%
70	Nanite Timing Loom	0.39			+257%
71	Supercritical Injector Plugs	0.17		+37%
72	Nanite Release Mechanism	0.03		+31%
73	Nanite Launch System	0.38			+251%
74	Gyroscopic Heat Pump	0.03		+31%
75	Nanite Compressor	0.25			+200%
76	Gyroscopic Heat Pump	0.4		+46%
77	Supercritical Core	0.36	+30%		+243%
78	Nanite Heat Pump	0.15		+36%
79	Geometric Launch System	0.03		+31%
80	Geometric Shell Loader	0.1	+32%
81	Nanite Core	0.12		+35%
82	Gyroscopic Coils	0.03		+31%
83	Gyroscopic Shell Loader	0.28			+211%
84	Geometric Shell Loader	0.32			+227%
85	Nonlinear Release Mechanism	0.05	+31%
86	Supercritical Coils	0.0	+30%
87	Nanite Compressor	0.22	+34%		+107%
88	Nonlinear Coils	0.15	+33%
89	Nanite Core	0.02			+107%
90	Nonlinear Timing Loom	0.03		+31%
91	Gyroscopic Gas Expander	0.12		+35%
92	Geometric Timing Loom	0.21			+184%
93	Geometric Injector Plugs	0.22			+187%
94	Supercritical Core	0.05			+122%
95	Geometric Gas Expander	0.45	+39%
96	Geometric Compressor	0.12			+150%
97	Nanite Gas Expander	0.01			+102%
98	Supercritical Timing Loom	0.51	+34%		+223%
99	Nonlinear Shell Loader	0.03		+31%
100	Nonlinear Heat Pump	0.45	+39%
101	Geometric Launch System	0.03		+31%
102	Nanite Gas Expander	0.45	+39%
103	Supercritical Release Mechanism	0.17			+170%
104	Supercritical Heat Pump	0.0			+100%
105	Supercritical Gas Expander	0.03		+31%
106	Supercritical Gas Expander	0.28		+41%
107	Supercritical Coils	0.3	+36%
108	Geometric Coils	0.03		+31%
109	Supercritical Release Mechanism	0.03		+31%
110	Nanite Heat Pump	0.05	+31%
111	Gyroscopic Injector Plugs	0.38			+252%
112	Geometric Gas Expander	0.25	+35%
113	Nonlinear Core	0.16			+164%
114	Gyroscopic Heat Pump	0.04			+117%
115	Geometric Heat Pump	0.5		+50%
116	Geometric Timing Loom	0.05		+32%
117	Nonlinear Heat Pump	0.01			+104%
118	Geometric Timing Loom	0.04			+115%
119	Supercritical Core	0.43			+272%
120	Geometric Compressor	0.03		+31%
121	Geometric Timing Loom	0.05		+32%
122	Geometric Core	0.15		+36%
123	Supercritical Timing Loom	0.2		+38%
124	Gyroscopic Core	0.03		+31%
125	Nanite Shell Loader	0.12			+147%
126	Gyroscopic Injector Plugs	0.3	+36%
127	Geometric Release Mechanism	0.02			+106%
128	Supercritical Shell Loader	0.1	+32%
129	Nonlinear Shell Loader	0.4		+41%	+151%
130	Nonlinear Timing Loom	0.5		+50%
131	Supercritical Gas Expander	0.08		+33%
132	Supercritical Timing Loom	0.04			+115%
133	Gyroscopic Timing Loom	0.11			+145%
134	Geometric Launch System	0.05	+31%
135	Nanite Shell Loader	0.38			+253%
136	Geometric Heat Pump	0.88		+46%	+290%
137	Supercritical Shell Loader	0.0	+30%
138	Geometric Compressor	0.35		+44%
139	Supercritical Launch System	0.4		+46%
140	Geometric Injector Plugs	0.0	+30%
141	Gyroscopic Coils	0.1	+32%
142	Geometric Injector Plugs	0.03			+111%
143	Nonlinear Heat Pump	0.2	+34%
144	Supercritical Shell Loader	0.22		+39%
145	Nonlinear Release Mechanism	0.34			+237%
146	Nanite Compressor	0.3		+42%
147	Supercritical Core	0.1	+32%
148	Nonlinear Gas Expander	0.1		+34%
149	Gyroscopic Launch System	0.43			+271%
150	Nonlinear Compressor	0.15	+33%
151	Gyroscopic Launch System	0.03		+31%
152	Gyroscopic Gas Expander	0.1			+139%
153	Nonlinear Coils	0.08		+33%
154	Nonlinear Timing Loom	0.0			+100%
155	Nanite Timing Loom	0.1	+32%
156	Gyroscopic Core	0.08		+33%
157	Supercritical Compressor	0.23	+33%	+33%
158	Gyroscopic Coils	0.33		+43%
159	Supercritical Gas Expander	0.02			+109%
160	Gyroscopic Gas Expander	0.0	+30%
161	Gyroscopic Core	0.03		+31%
162	Gyroscopic Heat Pump	0.08		+33%
163	Geometric Compressor	0.05	+31%
164	Nonlinear Gas Expander	0.03	+30%	+31%
165	Supercritical Core	0.23			+192%
166	Supercritical Heat Pump	0.05	+31%
167	Geometric Coils	0.11			+144%
168	Geometric Injector Plugs	0.35			+241%
169	Nonlinear Shell Loader	0.28			+210%
170	Nanite Release Mechanism	0.25	+35%
171	Nanite Injector Plugs	0.28			+210%
172	Gyroscopic Release Mechanism	0.05			+122%
173	Geometric Shell Loader	0.0	+30%
174	Gyroscopic Timing Loom	0.0			+101%
